0: [[9, 13, 7, 12], [3, 5, 1], [6, 8, 4, 10, 11, 2]]
1: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
2: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
3: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
4: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
5: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
6: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
7: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
8: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
9: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
10: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
11: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
12: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
13: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
14: [[9, 13, 7, 12], [3, 5, 1], [2, 6, 8, 4, 10, 11]]
15: [[9, 13, 7, 12], [3, 5, 1, 2], [6, 8, 4, 10, 11]]
16: [[9, 13, 7, 12], [3, 5, 1, 2], [6, 8, 4, 10, 11]]
17: [[9, 13, 7, 12], [3, 5, 1, 2], [6, 8, 4, 10, 11]]
18: [[9, 13, 7, 12], [3, 5, 1, 2], [6, 8, 4, 10, 11]]
19: [[9, 13, 7, 12], [3, 5, 1, 2], [6, 8, 4, 10, 11]]
20: [[9, 13, 7, 12], [3, 5], [1, 2, 6, 8, 4, 10, 11]]
21: [[9, 13, 7], [12, 3, 5, 1], [2, 6, 8, 4, 10, 11]]
22: [[9, 13, 7], [12, 3, 5, 1], [2, 6, 8, 4, 10, 11]]
23: [[9, 13, 7], [12, 3, 5, 1], [2, 6, 8, 4, 10, 11]]
24: [[9, 13, 7], [12, 3, 5, 1], [2, 6, 8, 4, 10, 11]]
25: [[9, 13, 7, 12], [3, 5, 1, 2, 6], [8, 4, 10, 11]]
26: [[9, 13, 7], [12, 3, 5], [1, 2, 6, 8, 4, 10, 11]]
27: [[9, 13, 7], [12, 3, 5], [1, 2, 6, 8, 4, 10, 11]]
