0: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
1: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
2: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
3: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
4: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
5: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
6: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
7: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
8: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
9: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
10: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
11: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
12: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
13: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
14: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
15: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
16: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
17: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
18: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
19: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
20: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
21: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
22: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
23: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
24: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
25: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
26: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
27: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
28: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
29: [[18, 24, 2, 19, 17, 9], [1, 6, 3, 5, 4, 8, 10, 12], [11, 15, 7, 13, 14], [16, 22, 23, 28], [21, 25, 20, 27, 26, 29]]
