0: [[7, 2, 5], [1, 3, 11], [14, 4], [12, 13, 9], [10, 8], [16, 6, 15], [17, 19, 18, 20]]
1: [[7, 2, 5], [1, 3, 11], [14, 4], [12, 13, 9], [10, 8], [16, 6, 15], [17, 19, 18, 20]]
2: [[7, 2, 5], [1, 3, 11], [14, 4], [13, 9, 6], [10, 8], [12, 16, 15], [17, 19, 18, 20]]
3: [[7, 2, 5], [1, 3, 11], [14, 4], [13, 9, 6], [10, 8], [12, 16, 15], [17, 19, 18, 20]]
4: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 8, 9], [12, 16, 17, 15], [19, 18, 20]]
5: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 8, 9], [12, 16, 17, 15], [19, 18, 20]]
6: [[7, 2, 5], [1, 3, 11], [14, 13, 4, 6], [10, 8, 9], [12, 16, 17, 15], [19, 18, 20]]
7: [[7, 2, 5], [1, 3, 11], [14, 13, 4, 6], [10, 8, 9], [12, 16, 17, 15], [19, 18, 20]]
8: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 8, 9], [12, 15, 16, 17, 19, 18, 20]]
9: [[7, 2, 5], [1, 3], [11, 14, 4], [13, 9], [10, 8], [12, 16, 6, 15], [17, 19, 18, 20]]
10: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 9], [8, 12, 16, 15], [17, 19, 18, 20]]
11: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 9], [8, 12, 16, 15], [17, 19, 18, 20]]
12: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 9], [8, 12, 16, 15], [17, 19, 18, 20]]
13: [[7, 5, 2], [1, 3, 11], [14, 9, 4, 6], [13, 10, 8], [12, 15, 16], [17, 19, 18, 20]]
14: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 12, 9], [8, 15, 16, 17, 19, 18, 20]]
15: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 9], [10, 8, 12], [16, 17, 15], [19, 18, 20]]
16: [[7, 2, 5], [1, 3], [11, 14, 4, 6], [12, 13], [8, 10, 9], [16, 17, 15], [19, 18, 20]]
17: [[7, 2, 5], [1, 3], [11, 14, 4, 6], [13, 12], [10, 8, 9], [16, 17, 15], [19, 18, 20]]
18: [[7, 2, 5], [1, 3], [11, 14, 4, 6], [12, 13], [8, 10, 9], [16, 17, 15], [19, 18, 20]]
19: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 8, 12, 15, 16, 17, 9], [19, 18, 20]]
20: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 9], [12, 8, 15, 16, 17, 19, 18, 20]]
21: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 8, 9], [12, 16, 15], [17, 19], [18, 20]]
22: [[7, 2, 5], [1, 3, 11], [14, 13, 4, 6], [10, 12, 9], [8, 15, 16, 17, 19, 18, 20]]
23: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 9], [8, 12], [16, 17, 15], [19, 18, 20]]
24: [[7, 2, 5], [1, 3, 11], [14, 13, 4, 6], [10, 12, 9], [8, 15, 16, 17, 19, 18, 20]]
25: [[7, 2, 5], [1, 3, 11], [14, 4], [13, 9, 6], [10, 12, 8], [16, 17, 15], [19, 18, 20]]
26: [[7, 2, 5], [1, 3, 11], [14, 4], [13, 9, 6], [10, 8, 12], [16, 17, 15], [19, 18, 20]]
27: [[7, 2, 5], [1, 3, 11], [14, 13, 10, 8, 12, 9, 4, 6], [15, 16, 17, 19, 18, 20]]
28: [[7, 2, 5], [1, 3, 11], [14, 4], [13, 9, 6], [10, 8, 12], [16, 17, 15], [19, 18, 20]]
29: [[7, 2, 5], [1, 3, 11, 14], [13, 4, 6], [10, 8, 9], [12, 16, 15], [17, 19, 18, 20]]
30: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 9], [8, 12, 16, 15], [17, 19], [18, 20]]
31: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 9], [12, 8], [16, 17, 19, 15], [18, 20]]
32: [[7, 2, 5], [1, 3], [11, 14, 4], [13, 9], [10, 8, 12], [16, 17, 6, 15], [19, 18, 20]]
33: [[7, 2, 5], [1, 3, 11, 14], [13, 4, 6], [10, 8, 12, 9], [16, 17, 15], [19, 18, 20]]
34: [[7, 2, 5], [1, 3], [11, 14, 13, 10, 9, 4, 6], [12, 8, 15, 16, 17, 19, 18, 20]]
35: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 12, 8, 15, 16, 17, 19, 18, 20, 9]]
36: [[7, 2, 5], [1, 3, 11], [14, 4, 6], [13, 10, 8, 12, 15, 16, 17, 19, 18, 20, 9]]
37: [[7, 2, 5, 1], [3, 11, 14], [13, 10, 8, 12, 9, 4, 6], [15, 16, 17, 19, 18, 20]]
38: [[7, 2, 5], [1, 3, 11, 14], [6, 13, 9, 10, 8, 12, 15, 16, 17, 4], [19, 18, 20]]
39: [[7, 2, 5], [1, 3, 11, 14], [6, 13, 8, 4], [10, 12, 16, 17, 9, 15], [19, 18, 20]]
40: [[7, 2], [5, 1, 3, 11], [14, 12, 4], [13, 9], [10, 8], [16, 17, 6, 15], [19, 18, 20]]
41: [[7, 2, 5], [1, 3, 11, 14, 4, 6, 13], [9, 10, 8, 12, 15, 16, 17, 19, 18, 20]]
