0: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [11, 13, 12, 9], [15, 14, 19, 16, 17, 18, 20]]
1: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
2: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
3: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
4: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
5: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
6: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
7: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
8: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
9: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
10: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
11: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
12: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
13: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
14: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
15: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
16: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
17: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
18: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
19: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
20: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
21: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
22: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
23: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
24: [[3, 2, 1, 8, 6, 4], [5, 7, 10, 9], [11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
25: [[3, 2, 1, 8, 6, 4], [5, 7, 10, 9], [11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
26: [[3, 2, 1, 8, 6, 4], [5, 7, 10, 9], [11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
27: [[3, 2, 1, 8, 6, 4], [5, 7, 10, 9], [11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
28: [[3, 2, 1, 8, 6, 4], [5, 7, 10, 9], [11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
29: [[3, 2, 1, 8, 4], [5, 7, 10, 6], [9, 11, 13, 12], [15, 14, 19, 16, 17, 18, 20]]
30: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13], [12, 15, 14, 19, 16, 17, 18, 20]]
31: [[3, 2, 1, 8, 4, 6, 5], [7, 10, 9], [11, 13, 12], [14, 19, 16, 17, 18, 20, 15]]
32: [[3, 2, 1, 8, 4, 6, 5], [7, 10, 9], [11, 13, 12], [14, 19, 16, 17, 18, 20, 15]]
33: [[3, 2, 1, 8, 4, 6, 5], [7, 10, 9], [11, 13, 12], [14, 19, 16, 17, 18, 20, 15]]
34: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12, 15], [14, 19, 16, 17, 18, 20]]
35: [[3, 2, 1, 8, 4, 6], [5, 7, 10], [9, 11, 13, 12, 15], [14, 19, 16, 17, 18, 20]]
36: [[3, 2, 1, 8, 4, 6], [5, 7, 10, 9], [11, 13, 12, 15], [14, 19, 16, 17, 18, 20]]
37: [[3, 2, 1, 8, 4, 6], [5, 7], [10, 9, 11, 13], [12, 15, 14, 19, 16, 17, 18, 20]]
38: [[3, 2, 1, 8, 4, 5, 6], [7, 10], [11, 13, 9], [12, 15, 14, 19, 16, 17, 18, 20]]
39: [[3, 2, 1, 8, 4, 6], [5, 7, 10, 9, 11], [13, 12, 15], [14, 19, 16, 17, 18, 20]]
40: [[3, 2, 1, 8, 4], [5, 7, 6], [10, 9, 11, 13], [12, 15, 14, 19, 16, 17, 18, 20]]
41: [[3, 2, 1, 8, 4, 5, 6], [7, 10], [11, 13, 12, 15, 9], [14, 19, 16, 17, 18, 20]]
