0: [[13, 8, 4], [2, 5, 10, 7, 9, 6], [3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
1: [[13, 8, 4], [2, 5, 10, 7, 9, 6], [3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
2: [[13, 8, 4], [2, 5, 10, 7, 9, 6], [3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
3: [[13, 8, 4], [2, 5, 10, 7], [9, 6], [3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
4: [[13, 8, 4], [2, 5, 10], [7, 9, 6], [3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
5: [[13, 8, 4], [2, 5, 10, 7, 9], [6, 3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
6: [[13, 8, 4], [2, 5, 10], [7, 9, 6], [3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
7: [[13, 8, 4], [2, 5, 10, 7], [9, 6, 3, 1], [14, 15, 16], [18, 11, 12, 20, 17, 19]]
8: [[13, 8, 4], [2, 5], [10, 7, 9], [6, 3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
9: [[13, 8], [4, 2], [5, 10, 7, 9], [6, 3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
10: [[13, 8], [4, 2], [5, 10], [7, 9, 6], [3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
11: [[13, 8, 4], [2, 5], [10, 7, 9], [6, 3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
12: [[13, 8], [4, 2, 5], [10, 7, 9], [6, 3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
13: [[13, 8], [4, 2, 5], [10, 7, 9], [6, 3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
14: [[13, 8], [4, 2, 5], [10, 7, 9], [6, 3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
15: [[13, 8, 4], [2, 5], [10, 7], [9, 6, 3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
16: [[13, 8, 4], [2, 5], [10, 7], [9, 6, 3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
17: [[13, 8, 4], [2, 5], [10, 7], [9, 6], [3, 1], [14, 15, 16], [18, 11, 12, 20, 17, 19]]
18: [[13, 8, 4], [2, 5], [10, 7], [9, 6], [3, 1], [14, 15, 16], [18, 11, 12, 20, 17, 19]]
19: [[13, 8, 4], [2, 5], [10, 7], [9, 6], [3, 1], [14, 15, 16], [18, 11, 12, 20, 17, 19]]
20: [[13, 8], [4, 2, 5], [10, 7], [9, 6, 3, 1], [14, 15, 16], [18, 11, 12], [20, 17, 19]]
21: [[13, 8, 4, 2], [5, 10, 7, 9, 6], [3, 1, 14], [15, 16, 18, 11, 12, 20, 17, 19]]
22: [[13, 8, 4], [2, 5], [10, 7], [9, 6, 3, 1], [14, 15, 16], [18, 11, 12, 20, 17, 19]]
23: [[13, 8, 4], [2, 5], [10, 7], [9, 6], [3, 1, 14], [15, 16], [18, 11, 12], [20, 17, 19]]
24: [[13, 8, 4], [2, 5, 10], [7, 9, 6], [3, 1, 14], [15, 16, 18, 11, 12, 20, 17, 19]]
25: [[13, 8], [4, 2, 5], [10, 7], [9, 6], [3, 1, 14], [15, 16, 18], [11, 12], [20, 17, 19]]
26: [[13, 8, 4, 2], [5, 10, 7], [9, 6, 3], [1, 14, 15], [16, 18, 11, 12, 20, 17, 19]]
27: [[13, 8, 4], [2, 5, 10], [7, 9, 6, 3, 1, 14], [15, 16, 18, 11, 12, 20, 17, 19]]
28: [[13, 8, 4], [2, 5, 10], [7, 9, 6], [3, 1, 14], [15, 16, 18], [11, 12, 20, 17, 19]]
29: [[13, 8, 4], [2, 5, 10, 7, 9, 6, 3, 1, 14], [15, 16, 18, 11, 12, 20, 17, 19]]
30: [[13, 8, 4, 2, 5, 10, 7, 9], [6, 3, 1, 14, 15, 16, 18, 11, 12], [20, 17, 19]]
31: [[13, 8, 4], [2, 5, 10], [7, 9, 6], [3, 1, 14], [15, 16, 18], [11, 12, 20, 17, 19]]
32: [[13, 8, 4], [2, 5, 10, 7, 9, 6, 3, 1, 14, 15, 16], [18, 11, 12], [20, 17, 19]]
33: [[13, 8], [4, 2, 5], [10, 7, 9], [6, 3, 1], [14, 15, 16, 18, 11, 12, 20, 17, 19]]
34: [[13, 8], [4, 2, 5, 10], [7, 9, 6], [3, 1, 14], [15, 16, 18], [11, 12, 20, 17, 19]]
35: [[13, 8, 4], [2, 5], [10, 7], [9, 6, 3], [1, 14, 15], [16, 18, 11, 12, 20, 17, 19]]
36: [[13, 8], [4, 2], [5, 10, 7, 9, 6], [3, 1, 14, 15, 16, 18, 11, 12, 20, 17, 19]]
37: [[13, 8, 4], [2, 5, 10], [7, 9, 6], [3, 1], [14, 15], [16, 18, 11], [12, 20], [17, 19]]
38: [[13, 8], [4, 2, 5], [10, 7, 9], [6, 3, 1, 14, 15, 16, 18, 11, 12, 20], [17, 19]]
39: [[13, 8, 4], [2, 5, 10], [7, 9, 6, 3, 1, 14, 15, 16, 18, 11, 12, 20, 17, 19]]
