0: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15, 18], [17, 20], [21, 23, 24]]
1: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15, 18], [17, 20], [21, 23, 24]]
2: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15, 18], [17, 20], [21, 23, 24]]
3: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15, 18], [17, 20], [21, 23, 24]]
4: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
5: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
6: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
7: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
8: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
9: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
10: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
11: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
12: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
13: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
14: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
15: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
16: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
17: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
18: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
19: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
20: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
21: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
22: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
23: [[7, 11, 22], [3, 19, 16], [9, 1, 2], [4, 12, 5], [14, 6, 10], [8, 13, 15], [18, 17, 20], [21, 23, 24]]
