0: [[73], [3, 24, 5], [4, 36], [9], [1, 31, 48, 13, 23], [2, 17, 12, 22], [11, 21, 6, 34], [7, 18], [29, 27], [38, 16], [19], [49, 59], [14, 15, 63], [56, 45], [20, 32, 42], [35, 30], [40], [25], [47, 26, 28, 37, 33], [51, 57], [41, 46, 60], [50], [52, 53], [55, 54, 58], [62, 43], [66], [44, 69, 39, 8, 10], [61, 64, 67], [65], [70, 68, 72], [71, 74], [75, 77, 78], [80, 76], [79, 82], [84, 86], [81, 87], [83, 85, 88]]
1: [[73], [3, 24, 5], [4, 36], [9], [1, 31, 48, 13, 23], [2, 17, 12, 22], [11, 21, 6, 34], [7, 18], [29, 27], [38, 16], [19], [49, 59], [14, 15, 63], [56, 45], [20, 32, 42], [35, 30], [40], [25], [47, 26, 28, 37, 33], [51, 57], [41, 46, 60], [50], [52, 53], [55, 54, 58], [62, 43], [66], [44, 69, 39, 8, 10], [61, 64, 67], [65], [70, 68, 72], [71, 74], [75, 77, 78], [80, 76], [79, 82], [84, 86], [81, 87], [83, 85, 88]]
2: [[73, 22, 3, 24, 12, 4, 36, 2, 1, 13, 28], [20, 7, 9, 6, 17, 5, 8, 10, 11, 19, 31, 15, 16, 26, 18, 14, 56, 59, 23, 21, 27, 25, 45, 39, 33, 29, 34, 44, 30], [40, 32, 35, 43, 37, 46, 42, 41, 47, 38, 48, 51, 52, 49, 53, 54, 50, 55, 57, 62, 58, 60, 63, 61, 68, 81, 64], [67, 65, 70, 66, 77, 69, 78, 71, 75, 72, 74, 76, 79, 82, 84, 80, 86, 87, 83, 85, 88]]
3: [[73, 22, 3, 24, 12, 4, 36, 2, 1, 13, 28], [20, 7, 9, 6, 17, 5, 8, 10, 11, 19, 31, 15, 16, 26, 18, 14, 56, 59, 23, 21, 27, 29, 45, 39, 33, 25, 34, 44, 30], [40, 32, 35, 42, 41, 37, 46, 38, 47, 43, 63, 48, 54, 52, 55, 49, 51, 50, 58, 57, 61, 60, 53, 62, 68, 81, 64], [67, 65, 70, 66, 77, 69, 78, 71, 75, 72, 74, 76, 79, 82, 84, 80, 86, 87, 83, 85, 88]]
4: [[73, 22, 3, 24, 12, 4, 36, 2, 1, 13, 28], [20, 7, 9, 10, 17, 5, 8, 6, 11, 19, 31, 15, 16, 26, 18, 14, 56, 59, 21, 29, 27, 25, 45, 39, 33, 23, 34, 44, 30], [40, 32, 35, 38, 37, 51, 41, 42, 43, 47, 46, 62, 49, 55, 54, 48, 50, 53, 52, 58, 57, 61, 60, 63, 68, 81, 64], [67, 65, 70, 66, 77, 69, 78, 71, 75, 72, 74, 76, 79, 82, 84, 80, 86, 87, 83, 85, 88]]
5: [[73, 22, 3, 24, 12, 4, 36, 2, 1, 13, 28], [20, 7, 9, 6, 17, 5, 8, 10, 11, 19, 31, 15, 16, 26, 18, 14, 56, 59, 21, 29, 23, 27, 45, 39, 33, 25, 34, 44, 30], [40, 32, 43, 35, 38, 49, 42, 37, 53, 58, 54, 41, 48, 55, 62, 50, 46, 47, 51, 52, 61, 57, 60, 63, 68, 81, 64], [67, 65, 70, 66, 77, 69, 78, 71, 75, 72, 74, 76, 79, 82, 84, 80, 86, 87, 83, 85, 88]]
6: [[73, 22, 3, 24, 12, 4, 36, 2, 1, 13, 28], [20, 7, 9, 10, 17, 5, 8, 6, 11, 19, 31, 15, 16, 26, 18, 14, 56, 59, 23, 21, 25, 27, 45, 39, 33, 29, 34, 44, 30], [40, 32, 35, 43, 37, 38, 46, 41, 42, 47, 48, 57, 50, 52, 49, 51, 55, 53, 60, 63, 54, 58, 62, 61, 68, 81, 64], [67, 65, 70, 66, 77, 69, 78, 71, 75, 72, 74, 76, 79, 82, 84, 80, 86, 87, 83, 85, 88]]
7: [[73, 22, 3, 24, 12, 4, 36, 2, 1, 13, 28], [20, 7, 9, 6, 17, 5, 8, 10, 11, 19, 31, 15, 16, 26, 18, 14, 56, 59, 23, 21, 29, 25, 45, 39, 33, 27, 34, 44, 30], [40, 32, 43, 38, 37, 42, 35, 41, 54, 46, 47, 49, 48, 51, 57, 52, 58, 55, 61, 53, 60, 62, 50, 63, 68, 81, 64], [67, 65, 70, 66, 77, 69, 78, 71, 75, 72, 74, 76, 79, 82, 84, 80, 86, 87, 83, 85, 88]]
8: [[73, 22, 3, 24, 12, 4, 36, 2, 1, 13, 28], [20, 7, 9, 10, 17, 5, 8, 6, 11, 19, 31, 15, 16, 26, 18, 14, 56, 59, 23, 21, 27, 25, 45, 39, 33, 29, 34, 44, 30], [40, 32, 35, 38, 37, 54, 41, 43, 46, 42, 53, 48, 47, 49, 51, 50, 52, 61, 58, 55, 60, 57, 62, 63, 68, 81, 64], [67, 65, 70, 66, 77, 69, 78, 71, 75, 72, 74, 76, 79, 82, 84, 80, 86, 87, 83, 85, 88]]
9: [[73, 22, 3, 24, 4, 36, 2, 1, 28, 12, 13], [20, 7, 9, 6, 17, 5, 8, 11, 19, 31, 15, 16, 26, 18, 14, 56, 59, 21, 29, 27, 23, 45, 39, 33, 25, 34, 44, 30, 10], [40, 32, 35, 37, 38, 47, 41, 42, 43, 46, 50, 52, 63, 48, 49, 55, 51, 53, 58, 54, 57, 60, 61, 62, 68, 81, 64], [67, 65, 70, 66, 77, 69, 78, 71, 75, 72, 74, 76, 79, 82, 84, 80, 86, 87, 83, 85, 88]]
10: [[73, 22, 3, 24, 12, 4, 36, 2, 1, 13, 28], [20, 7, 9, 6, 17, 5, 8, 10, 11, 19, 31, 15, 16, 26, 18, 14, 56, 59, 23, 21, 30, 27, 45, 39, 33, 25, 34, 44, 29], [40, 32, 35, 37, 38, 55, 43, 41, 42, 47, 61, 53, 52, 49, 46, 48, 50, 57, 51, 54, 58, 60, 63, 62, 68, 81, 64], [67, 65, 70, 66, 77, 69, 78, 71, 75, 72, 74, 76, 79, 82, 84, 80, 86, 87, 83, 85, 88]]
