0: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
1: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
2: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
3: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
4: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
5: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
6: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
7: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
8: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
9: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
10: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
11: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
12: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
13: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
14: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
15: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
16: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
17: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
18: [[15, 4], [9, 8], [20, 12, 22, 13, 19, 1], [18, 16, 3], [2, 10], [6, 11], [7, 17, 5, 14], [21, 24, 23]]
