0: [[2, 10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4], [12, 13, 19], [16, 17, 18, 22, 3], [21, 23, 24]]
1: [[2, 10, 20, 1], [7, 11], [6, 14, 13], [8, 15, 9], [4, 5], [12, 19], [16, 17, 18, 22, 3], [21, 23, 24]]
2: [[2, 10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4], [12, 13], [19, 16, 17, 18, 22, 3], [21, 23, 24]]
3: [[2, 10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4], [12, 13, 19], [16, 17, 18, 3], [22, 21, 23, 24]]
4: [[2], [10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4, 12, 13, 19], [16, 17, 18, 22, 3], [21, 23, 24]]
5: [[2], [10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4, 12, 13, 19], [16, 17, 18, 22, 3], [21, 23, 24]]
6: [[2], [10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4, 12, 13, 19], [16, 17, 18, 22, 3], [21, 23, 24]]
7: [[2], [10, 20], [7, 11, 6, 14], [8, 15, 9], [5, 4], [12, 13, 19, 1], [16, 17, 18, 22, 3], [21, 23, 24]]
8: [[2], [10, 20], [7, 11, 6, 14], [8, 15], [5, 4, 12], [13, 19, 1, 9], [16, 17, 18, 22, 3], [21, 23, 24]]
9: [[9], [2], [20, 10], [7, 11], [6, 14, 8, 15], [5, 4], [12, 13, 19, 1], [16, 17, 18, 22, 3], [21, 23, 24]]
10: [[2], [10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4], [12, 13], [19, 16, 17, 18, 22, 3], [21, 23, 24]]
11: [[2], [10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4], [12, 13], [19, 16, 17, 18, 22, 3], [21, 23, 24]]
12: [[2], [10, 20, 7, 11], [6, 14], [8, 15, 9], [5, 4], [12, 13, 19, 1], [16, 17, 18, 22, 3], [21, 23, 24]]
13: [[2], [10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4, 12, 13], [19, 16, 17, 18, 22, 3], [21, 23, 24]]
14: [[2], [10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4, 12, 13], [19, 16, 17, 18, 22, 3], [21, 23, 24]]
15: [[9], [2], [20, 10], [7, 11], [6, 14, 8, 15], [5, 4, 12], [13, 19, 1], [16, 17, 18, 22, 3], [21, 23, 24]]
16: [[2], [10, 20, 7, 11], [6, 14], [8, 15], [5, 4, 12], [13, 19, 1, 9], [16, 17, 18, 22, 3], [21, 23, 24]]
17: [[2], [10, 20], [7, 11], [6, 14, 9], [8, 15], [5, 4, 12], [13, 19, 16, 17, 18, 22, 1, 3], [21, 23, 24]]
18: [[9], [2], [20, 10], [7, 11], [6, 14, 8, 15], [5, 4], [12, 13, 1], [19, 16, 17, 18, 22, 3], [21, 23, 24]]
19: [[2], [10, 20, 3], [7, 11], [6, 14, 9], [8, 15], [5, 4], [12, 13, 19, 16, 17, 1], [18, 22], [21, 23, 24]]
20: [[2], [10, 20], [7, 11], [6, 14], [8, 15, 5, 4], [12, 13, 1, 9], [19, 16, 17, 18, 22, 3], [21, 23, 24]]
21: [[2], [10, 20, 7, 11], [6, 14], [8, 15, 9], [5, 4], [12, 13, 1], [19, 16, 17, 18, 22, 3], [21, 23, 24]]
22: [[2], [10, 20, 7, 11], [6, 14], [8, 15, 9], [5, 4], [12, 13, 1], [19, 16, 17, 18, 22, 3], [21, 23, 24]]
23: [[2], [10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4, 12, 13], [19, 16, 17, 18, 3], [22, 21, 23, 24]]
24: [[2], [10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4, 12, 13], [19, 16, 17, 18, 3], [22, 21, 23, 24]]
25: [[2], [10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4, 12, 13], [19, 16, 17, 18, 3], [22, 21, 23, 24]]
26: [[2], [10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4, 12, 13], [19, 16, 17, 18, 3], [22, 21, 23, 24]]
27: [[2], [10, 20], [7, 11, 6, 14], [8, 15, 9], [5, 4], [12, 13, 1], [19, 16, 17, 18, 3], [22, 21, 23, 24]]
28: [[2], [10, 20], [7, 11], [6, 14, 9], [8, 15, 5], [4, 12], [13, 19, 16, 17, 18, 22, 1, 3], [21, 23, 24]]
29: [[2], [10, 20], [7, 11], [6, 14, 9], [8, 15], [5, 4, 12], [13, 19, 16, 17, 18, 1, 3], [22, 21, 23, 24]]
30: [[2, 10, 20, 1], [7, 11], [6, 14, 9], [8, 15], [5, 4], [12, 13], [19, 16, 17, 18, 22, 21, 3], [23, 24]]
