0: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
1: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
2: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
3: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
4: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
5: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
6: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
7: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
8: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
9: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
10: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
11: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
12: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
13: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
14: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
15: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
16: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
17: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
18: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
19: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
20: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
21: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
22: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
23: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
24: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
25: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
26: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
27: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
28: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
29: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
30: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
31: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
32: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
33: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
34: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
35: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
36: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
37: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
38: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
39: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
40: [[1, 19, 6, 2], [13, 3, 4, 5, 11, 8, 15, 10, 12], [7, 24, 9, 18, 17, 14], [22, 16, 23], [29, 20, 21, 27, 25, 26, 28]]
