0: [[17, 2, 1], [6, 5], [3, 11], [15, 7], [4, 8], [12, 22, 10, 13, 9, 14, 18, 16, 23, 19], [20, 29, 25], [21, 26, 27], [24, 28]]
1: [[17, 2, 1], [6, 5], [3, 11], [15, 7], [4, 8], [12, 22, 10], [13, 9, 14], [18, 16], [23, 19], [20, 29, 25], [21, 26, 27], [24, 28]]
2: [[17, 2, 1], [6, 5], [3, 11], [15, 7], [4, 8, 12, 18, 13, 9, 10, 14, 21, 16], [22, 19, 20], [25, 23, 29], [26, 27], [24, 28]]
3: [[17, 2, 1], [6, 5], [3, 11], [15, 7], [4, 8, 12], [22, 10], [13, 9, 14], [18, 16, 19], [20, 21, 29], [25, 23], [26, 27], [24, 28]]
4: [[17, 2, 1], [6, 5], [3, 11], [15, 7, 4, 8, 12], [22, 10, 13, 9], [18, 14, 16, 19, 20, 23, 25], [26, 21, 27, 24], [28, 29]]
5: [[17, 2, 1], [6, 5], [3, 11, 15], [7, 4, 8, 12], [22, 10, 13, 9, 18, 14], [16, 19], [20, 23], [29, 25], [21, 26], [24, 28, 27]]
6: [[17, 2, 1], [6, 5], [3, 11], [15, 7, 4, 8, 10, 14], [12, 9, 19, 22, 18, 13], [23, 16], [20, 29, 25], [21, 24, 27], [26, 28]]
7: [[17, 2, 1], [6, 5, 3], [11, 15, 7], [4, 8, 12], [22, 10], [9, 13, 14, 19, 16, 18], [21, 23, 27, 26], [20, 24, 25, 28, 29]]
8: [[17, 2, 1], [6, 5], [3, 11], [15, 7], [4, 8, 12, 22, 10], [13, 9], [18, 14, 16, 19, 20, 23], [27, 26, 21, 24, 28, 25, 29]]
9: [[17, 2, 1], [6, 5], [3, 11], [15, 7, 4, 8, 12], [22, 10, 9, 13], [18, 14, 19, 16, 21], [23, 27, 26, 20, 24, 28, 25, 29]]
10: [[17, 2, 1], [6, 5], [3, 11, 15], [7, 4, 12, 8, 13, 10, 19, 21, 9, 14, 23, 16, 18, 20, 25, 22], [29, 26, 28, 24, 27]]
11: [[17, 2, 1], [6, 5, 3], [11, 15], [7, 4], [8, 14], [22, 9], [13, 10, 18], [12, 16], [19, 20, 23], [27, 26, 21], [25, 28, 24, 29]]
12: [[17, 2, 1], [6, 5], [3, 11], [15, 7, 4, 8, 12, 22, 10], [13, 9], [18, 14, 16, 19, 21, 23], [27, 26, 20, 28, 24, 25, 29]]
13: [[17, 2, 1], [6, 5, 3], [11, 15, 7], [4, 8, 12, 22], [10, 9, 13], [14, 18], [19, 16, 20], [23, 29, 26, 21, 27], [28, 24, 25]]
