0: [[1, 2], [10, 7, 5], [8, 3], [14, 4], [12, 13, 11, 9], [16, 6, 15], [17, 18, 20, 19]]
1: [[1, 2], [10, 7, 5], [8, 3], [14, 13, 4], [12, 11, 9], [16, 6, 15], [19, 17, 18, 20]]
2: [[1, 2], [10, 7, 5], [8, 3], [14, 4], [12, 11], [13, 16, 9, 6, 15], [17, 18, 20, 19]]
3: [[1, 2], [10, 7, 5], [8, 3], [14, 4], [12, 13], [11, 16, 9, 6, 15], [17, 18, 20, 19]]
4: [[1, 2], [10, 7, 5], [8, 3], [14, 4], [13, 11, 12, 9], [16, 6, 15], [17, 18], [20, 19]]
5: [[1, 2], [10, 7, 5], [8, 3], [14, 4], [13, 12], [11, 16, 9, 6], [17, 20, 18, 19, 15]]
6: [[1, 2], [10, 7, 5], [8, 3, 14], [13, 4], [11, 12, 9], [16, 6, 15], [17, 18, 20, 19]]
7: [[1, 2], [10, 7, 5], [8, 3, 14], [13, 4], [12, 11, 9], [16, 6, 15], [19, 17, 18, 20]]
8: [[1, 2], [10, 7, 5], [8, 3], [14, 4], [12, 13], [11, 9], [16, 6], [17, 19, 15], [18, 20]]
9: [[1, 2], [10, 7, 5, 8], [3, 14, 4, 6], [13, 12, 11, 9], [16, 17, 18, 15], [20, 19]]
10: [[1, 2], [10, 7, 5], [8, 3], [14, 4], [13, 12, 11], [16, 9, 6], [17, 18, 20, 15], [19]]
11: [[1, 2], [10, 7, 5], [8, 3], [14, 4], [12, 11, 9], [13, 16, 6], [17, 18, 15], [20, 19]]
12: [[1, 2], [10, 7, 5], [8, 3], [14, 12, 4, 15], [13, 11, 9], [16, 6], [17, 18], [20, 19]]
13: [[1, 2], [10, 7, 5], [8, 3], [14, 13, 4], [12, 11], [16, 15, 17, 19, 18, 20, 9, 6]]
14: [[1, 2], [10, 7, 5], [8, 3], [14, 12, 4], [13, 11, 9], [16, 6], [17, 15], [18, 20, 19]]
15: [[1, 2, 10], [7, 5, 8], [3, 14, 4], [13, 12], [11, 9], [16, 6], [17, 18, 20, 19, 15]]
16: [[1, 2], [10, 7, 5], [8, 3, 14], [12, 13, 4], [11, 9], [16, 17, 6, 15], [18, 20, 19]]
17: [[1, 2], [10, 7, 5], [8, 3], [14, 13, 12, 4], [11, 16, 9, 6, 15], [17, 20], [18, 19]]
18: [[1, 2, 10], [7, 5], [8, 3], [14, 12, 4, 15], [13, 11, 9], [16, 6], [17, 18], [20, 19]]
19: [[1, 2, 10, 7, 5], [8, 3, 14, 12, 13, 4], [11, 16, 9, 6], [15, 17, 18, 20, 19]]
20: [[1, 2, 10, 7, 5, 8], [3, 14, 4], [13], [12, 16, 6, 9, 15], [11, 17, 18, 19, 20]]
21: [[1, 2], [10, 7, 5], [8, 3], [14, 4], [12, 11, 13, 16, 15, 17, 18, 20, 19, 9, 6]]
22: [[1, 2], [10, 7, 5], [8, 3, 14, 4], [12, 13], [11, 16, 15, 17, 18, 20, 19, 9, 6]]
23: [[1, 2], [10, 7], [5, 8], [3, 14, 4], [13, 12], [11, 9], [16, 6], [17, 15], [18, 20, 19]]
24: [[1, 2], [10, 7, 5, 8], [3, 14, 13, 12, 4], [11, 9], [16, 15, 17, 18, 20, 19, 6]]
25: [[1, 2], [10, 7, 5], [8, 3, 14], [12, 4], [11, 13, 16, 9, 6], [17, 18, 20, 19, 15]]
26: [[1, 2], [10, 7, 5], [8, 3, 14], [12, 13, 11, 4], [19, 17, 18, 15, 20, 16, 9, 6]]
27: [[1, 2], [10, 7], [5, 8, 3, 14, 4, 12, 13, 11, 16, 6, 9], [15, 17, 20, 19, 18]]
28: [[1, 2], [10, 7], [5, 8, 3], [14, 4], [13, 12], [11, 16, 9], [17, 6, 15], [18, 20, 19]]
29: [[1, 2], [10, 7], [5, 8], [3, 14, 4, 6], [12, 13], [11, 16, 9], [17, 18, 15], [20, 19]]
30: [[1, 2], [10, 7], [5, 8], [3, 14, 4, 6], [13, 9], [11, 12, 16], [18, 19], [20, 17, 15]]
31: [[1, 2], [10, 7], [5, 8, 3], [14, 4, 13, 9, 11, 12, 16, 6], [15, 17], [18, 20, 19]]
32: [[1, 2], [10, 7], [5, 8, 3], [14], [13, 12, 11], [16, 9, 6, 15], [17], [20, 4], [18, 19]]
33: [[1, 2], [10, 7, 5, 8], [3, 14, 13, 12, 4], [11, 16, 15, 19, 18, 20, 17, 9, 6]]
34: [[1, 2], [10, 7, 5, 8], [3, 14, 4, 12, 11, 9, 13, 16, 6, 15, 17, 18, 19, 20]]
35: [[1], [10, 7, 6], [5, 8, 2], [3, 14, 13, 12, 9, 4], [11, 16, 15, 17], [18, 20, 19]]
36: [[1, 2], [10, 7, 5, 8, 3, 14, 4, 12], [11, 13, 16, 6, 15, 9], [17, 18, 19, 20]]
37: [[1, 2], [10, 7], [5, 8], [3, 14, 12, 4], [13, 11, 9], [16, 6], [17, 15], [18, 20, 19]]
38: [[1, 2], [10, 7], [5, 8, 3], [14, 13, 4], [12], [17, 11, 9], [19, 16, 6, 15], [18, 20]]
39: [[1, 2], [10, 7], [5, 8], [3, 14, 4, 6], [13], [12, 11], [17, 19, 9], [16, 18, 15], [20]]
40: [[1, 2], [10, 7, 5], [8, 3, 14], [12, 4], [13, 11, 16, 15, 17, 18, 20, 19, 9, 6]]
41: [[1], [2, 10, 7, 5, 8, 3, 14, 4, 13, 12, 11, 9, 16, 6, 15, 17, 18, 20, 19]]
