0: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
1: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
2: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
3: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
4: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
5: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
6: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
7: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
8: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
9: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
10: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
11: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
12: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
13: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
14: [[1, 3], [11, 9, 7, 13, 12, 5, 2], [8, 6, 4, 10]]
15: [[1, 3], [11, 9, 7, 13, 12, 5, 2, 8, 6], [4, 10]]
16: [[1, 3], [11, 9, 7, 13, 12, 5, 2, 8, 6], [4, 10]]
17: [[1, 3], [11, 9, 7, 13, 12, 5, 2, 8], [6, 4, 10]]
18: [[1, 3], [11, 9, 7, 13, 12, 5, 2, 8], [6, 4, 10]]
19: [[1, 3], [11, 9, 7, 13, 12, 5, 2, 8], [6, 4, 10]]
20: [[1, 3], [11, 9, 7, 13, 12, 5, 2, 8], [6, 4, 10]]
21: [[1, 3], [11, 9, 7, 13, 12, 5, 2, 8], [6, 4, 10]]
22: [[1, 3], [11, 9, 7, 13, 12, 5, 2, 8], [6, 4, 10]]
23: [[1, 3], [11, 9, 7, 13, 12, 5, 2, 8], [6, 4, 10]]
24: [[1, 3], [11, 9, 7, 13, 12, 5], [2, 8, 6, 4, 10]]
25: [[1, 3], [11, 9, 7, 13, 12, 5], [2, 8, 6, 4, 10]]
26: [[1, 3], [11, 9, 7, 13, 12, 5], [2, 8, 6, 4, 10]]
27: [[1, 3], [11, 9, 7, 13, 12, 5], [2, 8, 6, 4, 10]]
