It No., Best MQ, No clusters, max clus, min clus
1,1.415064935064935,3,5,3
2,1.3984189723320157,3,6,3
3,1.3077731092436975,3,7,3
4,1.3696969696969696,3,6,3
5,1.4648268398268398,3,6,3
6,1.3246753246753247,4,5,2
7,1.46482683982684,3,6,3
8,1.3984189723320157,3,6,3
9,1.2878787878787878,3,5,4
10,1.2305555555555556,4,7,2
11,1.312169312169312,3,6,2
12,1.4166666666666667,4,4,2
13,1.3131313131313131,3,8,2
14,1.312169312169312,3,6,2
15,1.3145135566188197,3,7,3
16,1.283008658008658,3,6,2
17,1.2916666666666667,3,7,2
18,1.3152703505644683,4,6,2
19,1.5064935064935066,4,4,2
20,1.335064935064935,3,5,3
21,1.25,3,5,3
22,1.2976190476190474,3,7,2
23,1.3697089947089947,3,6,3
24,1.46482683982684,3,6,3
25,1.2660427807486632,5,4,2
26,1.3398268398268398,3,5,3
27,1.2380952380952381,3,5,4
28,1.3083333333333331,3,6,3
29,1.3172161172161172,3,5,4
30,1.218671679197995,3,5,4
31,1.2603896103896104,4,7,2
