0: [[16, 4, 5, 6, 3], [1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
1: [[16, 4, 5, 6, 3], [1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
2: [[16, 4, 5, 6, 3], [1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
3: [[16, 4, 5, 6, 3], [1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
4: [[16, 4, 5, 6, 3], [1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
5: [[16, 4, 5, 6, 3], [1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
6: [[16, 4, 5, 6, 3], [1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18], [22, 23, 21, 24]]
7: [[16, 4, 5, 6, 3], [1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18], [22, 23, 21, 24]]
8: [[16, 4, 5, 6, 3], [1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18], [22, 23, 21, 24]]
9: [[16, 4, 5, 6], [3, 1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
10: [[16, 4, 5, 6], [3, 1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
11: [[16, 4, 5, 6, 3, 1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12], [20, 19, 17, 18, 22], [23, 21, 24]]
12: [[16, 4, 5, 6, 3, 1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12], [20, 19, 17, 18, 22], [23, 21, 24]]
13: [[16, 4, 5, 6, 3, 1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12], [20, 19, 17, 18, 22], [23, 21, 24]]
14: [[16, 4, 5, 6, 3, 1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12], [20, 19, 17, 18, 22], [23, 21, 24]]
15: [[16, 4, 5, 6, 3, 1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12], [20, 19, 17, 18, 22], [23, 21, 24]]
16: [[16, 4, 5, 6, 3], [1, 9], [13, 2, 11, 7], [8, 14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
17: [[16, 4, 5, 6, 3, 1, 9, 13, 2], [11, 7], [8, 14, 10, 15], [12, 20, 19, 17, 18], [22, 23, 21, 24]]
18: [[16, 4, 5, 6, 3, 1, 9, 13, 2], [11, 7], [8, 14, 10, 15], [12, 20, 19, 17, 18], [22, 23, 21, 24]]
19: [[16, 4, 5, 6, 3, 1, 9, 13, 2], [11, 7], [8, 14, 10, 15], [12, 20, 19, 17, 18], [22, 23, 21, 24]]
20: [[16, 4, 5, 6, 3], [1, 9], [13, 2, 11, 7, 8, 14, 10, 15, 12], [20, 19, 17, 18, 22], [23, 21, 24]]
21: [[16, 4, 5, 6, 3], [1, 9], [13, 2, 11, 7, 8, 14, 10, 15, 12, 20], [19, 17, 18, 22], [23, 21, 24]]
22: [[16, 4, 5, 6, 3], [1, 9], [13, 2, 11, 7, 8, 14], [10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
23: [[16, 4, 5, 6, 3], [1, 9, 13, 2, 11], [7, 8], [14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
24: [[16, 4, 5, 6, 3], [1, 9, 13, 2, 11], [7, 8], [14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
25: [[16, 4, 5, 6, 3], [1, 9, 13, 2, 11], [7, 8], [14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
26: [[16, 4, 5, 6, 3], [1, 9, 13, 2, 11], [7, 8], [14, 10, 15, 12, 20, 19, 17, 18, 22], [23, 21, 24]]
27: [[16, 4, 5, 6, 3, 1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12], [20, 19, 17, 18], [22, 23, 21, 24]]
28: [[16, 4, 5, 6, 3, 1, 9, 13, 2], [11, 7], [8, 14, 10, 15, 12], [20, 19, 17, 18], [22, 23, 21, 24]]
