0: [[20, 3, 22, 4, 9, 1, 2], [12, 7, 5], [10, 6, 14, 37], [29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25], [21, 27], [23, 31, 30, 34, 33, 32], [35, 36]]
1: [[20, 3, 22, 4, 9, 1, 2], [12, 7, 5], [10, 6, 14, 37], [29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25], [21, 27], [23, 31, 30, 34, 33, 32], [35, 36]]
2: [[20, 3, 22, 4], [9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26], [16, 24, 18], [17, 28, 25], [21, 27, 23], [31, 30, 34, 33], [32, 35, 36]]
3: [[20, 3, 22, 4], [9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31, 30, 34, 33, 32, 35, 36]]
4: [[20, 3], [22, 4], [9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26], [16, 24, 18], [17, 28, 25], [21, 27, 23], [31, 30, 34, 33], [32, 35, 36]]
5: [[20, 3, 22, 4, 9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23], [31, 30, 34], [33, 32, 35], [36]]
6: [[20, 3], [22, 4], [9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33, 32], [35, 36]]
7: [[20, 3], [22, 4, 9], [1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17], [28, 25, 21], [27, 23, 31], [30, 34, 33], [32, 35, 36]]
8: [[20, 3, 22], [4, 9, 1], [2, 12], [7, 5, 10], [6, 14, 37, 29, 8], [11, 15], [19, 13, 26, 16], [24, 18], [17, 28, 25], [21, 27], [23, 31, 30, 34, 33, 32, 35, 36]]
9: [[20, 3, 22, 4, 9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29, 8], [11, 15, 19], [13, 26, 16], [24, 18, 17, 28], [25, 21, 27], [23, 31, 30, 34, 33, 32, 35, 36]]
10: [[20, 3, 22], [4, 9, 1, 2], [12, 7, 5], [10, 6, 14], [37, 29], [8, 11, 15], [19, 13, 26], [16, 24, 18], [17, 28, 25], [21, 27, 23], [31, 30, 34], [33, 32], [35, 36]]
