0: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
1: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
2: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
3: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
4: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
5: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
6: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
7: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
8: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
9: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
10: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
11: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
12: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
13: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
14: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
15: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
16: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
17: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
18: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
19: [[1, 11, 3], [7, 6, 10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
20: [[1, 11, 3], [7, 6, 10], [2, 8, 14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
21: [[1, 11, 3], [7, 6, 10], [2, 8, 14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
22: [[1, 11, 3], [7, 6, 10], [2, 8, 14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
23: [[1, 11, 3], [7, 6, 10], [2, 8, 14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
24: [[1, 11, 3], [7, 6, 10], [2, 8, 14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
25: [[1, 11, 3], [7, 6, 10], [2, 8, 14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
26: [[1, 11, 3], [7, 6, 10], [2, 8, 14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
27: [[1, 11, 3], [7, 6, 10], [2, 8, 14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
28: [[1, 11, 3], [7, 6, 10], [2, 8, 14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
29: [[1, 11, 3], [7, 6, 10], [2, 8, 14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
30: [[1, 11, 3], [7, 6, 10], [2, 8, 14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
31: [[1, 11, 3, 7, 6], [10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
32: [[1, 11, 3, 7, 6], [10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
33: [[1, 11, 3, 7, 6], [10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
34: [[1, 11, 3, 7, 6], [10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
35: [[1, 11, 3, 7, 6], [10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
36: [[1, 11, 3, 7, 6], [10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
37: [[1, 11, 3, 7, 6], [10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
38: [[1, 11, 3, 7, 6], [10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
39: [[1, 11, 3, 7, 6], [10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
40: [[1, 11, 3, 7, 6], [10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
41: [[1, 11, 3, 7, 6], [10, 2, 8], [14, 5, 4], [13, 12, 9], [17, 18, 16, 20, 19, 15]]
