0: [[9, 1], [16, 3, 6], [11, 2, 10, 14, 7], [8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
1: [[9, 1], [16, 3, 6], [11, 2, 10, 14, 7], [8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
2: [[9, 1, 6], [16, 3], [11, 2, 10, 14, 7], [8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
3: [[9, 6], [16, 3, 1], [11, 2, 10, 14, 7], [8, 15, 13], [4, 12, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
4: [[9, 6], [1, 16, 3], [11, 2, 7], [10, 14], [8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
5: [[9], [1, 16, 3, 6], [11, 2, 10, 14, 7], [8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
6: [[9, 1], [16, 3, 11, 2, 7, 6], [10, 14], [8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
7: [[9, 1], [16, 3, 6], [11, 2, 7], [10, 14, 8], [15, 4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
8: [[9, 1, 16, 3], [11, 2, 7, 6], [10, 14], [8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
9: [[9], [1, 16, 3, 11, 2, 6], [10, 14, 7], [8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
10: [[9, 1], [16, 3, 6], [11, 2, 7], [10, 14, 8, 15, 4, 5], [12, 13, 19], [20, 17, 18, 22], [21, 23, 24]]
11: [[9, 1, 6], [16, 3], [11, 2, 7], [10, 14], [8, 15], [4, 12, 13, 5], [19, 20, 17, 18], [22, 21, 23, 24]]
12: [[9, 1, 6], [16, 3], [11, 2, 7], [10, 14, 8, 15], [4, 12, 13, 5], [19, 20, 17, 18, 22], [21, 23, 24]]
13: [[9, 1, 16, 3], [11, 2, 7, 6], [10, 14], [8, 15], [4, 12, 13, 5], [19, 20, 17, 18, 22], [21, 23, 24]]
14: [[9, 1], [16, 3, 6], [11, 2, 10, 14, 8, 7], [15, 4, 5], [12, 13, 19, 20, 17], [18, 22], [21, 23, 24]]
15: [[9], [1, 16], [3, 11, 7, 6], [2, 10, 14], [8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
16: [[9, 1, 16, 3, 11, 6], [2, 10], [14, 8, 7], [15, 4, 5], [12, 13, 19], [20, 17, 18, 22], [21, 23, 24]]
17: [[9, 1, 16, 3, 11, 6], [2, 10], [14, 8, 7], [15, 4, 5], [12, 13, 19], [20, 17, 18, 22], [21, 23, 24]]
18: [[9, 6], [1, 16, 3], [11, 2, 7], [10, 14, 8, 15], [4, 12, 13, 19, 5], [20, 17], [18, 22], [21, 23, 24]]
19: [[9], [1, 16, 3, 6], [11, 2, 7], [10, 14, 8, 15, 4, 5], [12, 13, 19], [20, 17, 18, 22], [21, 23, 24]]
20: [[9, 1, 16], [3, 11, 7, 6], [2, 10], [14, 8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
21: [[9, 1, 16], [3, 11, 7, 6], [2, 10], [14, 8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
22: [[9, 1, 16], [3, 11, 7, 6], [2, 10], [14, 8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
23: [[9, 6], [1, 16, 3, 11], [2, 10], [14, 8, 7], [15, 4, 5], [12, 13, 19], [20, 17, 18, 22], [21, 23, 24]]
24: [[9], [1, 16, 3, 11, 7, 6], [2, 10], [14, 8, 15], [4, 12, 13, 19, 20, 5], [17, 18, 22], [21, 23, 24]]
25: [[9, 1, 16], [3, 11, 2, 7, 6], [10, 14], [8, 15], [4, 12, 13, 19, 20, 5], [17, 18, 22], [21, 23, 24]]
26: [[9, 1], [16, 3, 11, 2, 10, 7, 6], [14, 8, 15, 4, 5], [12, 13, 19], [20, 17], [18, 22], [21, 23, 24]]
27: [[9, 6], [1, 16, 3], [11, 2, 10, 14, 7], [8, 15], [4, 12, 5], [13, 19], [20, 17, 18], [22, 21, 23, 24]]
28: [[9, 6], [1, 16, 3, 11, 2], [10, 14, 8, 7], [15, 4, 5], [12, 13, 19], [20, 17], [18, 22], [21, 23, 24]]
29: [[9], [1, 16, 3, 11], [2, 10], [14, 8, 7], [15, 4, 12, 13, 5, 6], [19, 20, 17, 18, 22], [21, 23, 24]]
30: [[9], [1, 16, 6], [3, 11, 2, 10, 14, 7], [8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
31: [[9], [1, 16, 6], [3, 11, 2, 10, 14, 7], [8, 15], [4, 12, 13, 19, 5], [20, 17, 18, 22], [21, 23, 24]]
32: [[9, 1, 6], [16, 3, 11, 7], [2, 10], [14, 8], [15, 4, 12, 13, 19], [20, 17, 5], [18, 22], [21, 23, 24]]
33: [[9, 1, 16], [3, 11, 2, 10, 14, 7, 6], [8, 15, 4, 5], [12, 13, 19], [20, 17], [18, 22], [21, 23, 24]]
34: [[9], [1, 16, 3, 11, 2, 10, 6], [14, 8, 7], [15, 4, 5], [12, 13, 19, 20], [17, 18, 22], [21, 23, 24]]
35: [[9], [1, 16, 3, 11, 7, 6], [2, 10], [14, 8, 15, 4, 5], [12, 13, 19], [20, 17], [18, 22], [21, 23, 24]]
36: [[9, 6], [1, 16, 3], [11, 2, 10, 14, 8, 7], [15, 4, 5], [12, 13], [19, 20], [17, 18, 22], [21, 23, 24]]
37: [[9, 1, 6], [16, 3, 11, 7], [2, 10, 14, 8], [15, 4, 5], [12, 13], [19, 20], [17, 18, 22], [21, 23, 24]]
38: [[9, 1, 16, 3, 11, 7, 6], [2, 10], [14, 8, 15, 4, 5], [12, 13], [19, 20], [17, 18, 22], [21, 23, 24]]
39: [[9, 6], [1, 16], [3, 11, 2, 10], [14, 8, 7], [15, 4, 5], [12, 13, 19], [20, 17, 18, 22], [21, 23, 24]]
40: [[9, 6], [1, 16], [3, 11, 2, 10], [14, 8, 7], [15, 4, 5], [12, 13, 19], [20, 17, 18, 22], [21, 23, 24]]
41: [[5, 7, 6], [9, 1], [16, 3, 11, 2], [10, 14], [8, 15, 4, 12, 13], [19, 20, 17], [18, 22], [21, 23, 24]]
42: [[5, 7, 6], [9, 1], [16, 3, 11, 2], [10, 14], [8, 15, 4, 12, 13], [19, 20, 17], [18, 22], [21, 23, 24]]
43: [[9], [1, 16], [3, 11, 7, 6], [2, 10, 14, 8, 15], [4, 12, 13, 19, 20, 5], [17, 18, 22], [21, 23, 24]]
44: [[9], [1, 16, 6], [3, 11, 2, 10, 14, 7], [8, 15], [4, 12, 13, 19, 20, 5], [17, 18], [22, 21, 23, 24]]
45: [[9, 1, 6], [16, 3], [11, 2, 10, 14, 8, 7], [15, 4, 5], [12, 13, 19, 20], [17, 18], [22, 21], [23, 24]]
46: [[5], [1, 16], [3, 11, 7, 6], [2, 10], [14, 8, 15, 4, 12], [13, 19], [20, 17, 18, 22, 9], [21, 23, 24]]
47: [[9], [1, 16], [3, 11, 2, 10, 14, 8, 7, 6], [15, 4, 12, 5], [13, 19], [20, 17], [18, 22], [21, 23, 24]]
48: [[5, 9, 16, 6], [3, 11, 2, 7, 1], [10, 14], [8, 15, 4, 12], [13, 19], [20, 17], [18, 22], [21, 23, 24]]
49: [[9, 1, 6], [16, 3], [11, 2, 10, 14, 8, 15, 7], [4, 12, 13, 5], [19, 20], [17, 18], [22, 21], [23, 24]]
