0: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 12], [5, 6, 11, 13, 17, 20, 22, 23, 14], [18, 28, 24, 10], [21, 27, 25, 26, 29]]
1: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 12], [5, 6, 11, 13, 17, 20, 22, 23, 14], [18, 28, 24, 10], [21, 27, 25, 26, 29]]
2: [[9, 16, 19, 7, 2], [1, 3, 15, 4, 8, 12], [5, 6, 10, 11, 25, 13, 14, 17, 21], [22, 20, 18, 23], [24, 26, 28, 29, 27]]
3: [[9, 16, 19, 7, 2], [1, 3, 15, 4, 8, 12], [5, 6, 10, 11, 14, 13, 17, 25, 21], [22, 18, 20, 23], [29, 27, 28, 24, 26]]
4: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 12, 5, 6, 10, 13], [21, 11, 26, 27, 14], [20, 18, 17, 25], [23, 22, 24, 28, 29]]
5: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 12], [5, 6, 10, 11, 25, 14, 18, 13, 20], [17, 21, 23, 22], [26, 27, 24, 28, 29]]
6: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 12], [5, 6, 11, 13, 17, 25, 21, 10, 14], [22, 24, 20, 18], [23, 26, 27, 28, 29]]
7: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 5, 6, 10, 11, 12], [13, 17, 14, 29, 18], [20, 21, 23, 22], [26, 25, 28, 27, 24]]
8: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 12], [5, 6, 10, 11, 29, 13, 17, 25, 21], [22, 14, 20, 18], [23, 26, 28, 24, 27]]
9: [[9, 16, 19, 7, 2], [1, 3, 15, 4, 8, 12], [5, 6, 11, 29, 13, 17, 25, 21, 10], [22, 20, 18, 14], [23, 24, 26, 27, 28]]
10: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 12], [5, 6, 10, 14], [20, 13, 11, 21, 22, 23, 26, 27, 17], [18, 25, 29, 24, 28]]
11: [[9, 16, 19, 7, 2], [1, 3, 15, 4, 8, 12, 5, 6, 10], [11, 13, 14, 17, 21, 25], [18, 22, 23, 20], [27, 26, 24, 29, 28]]
12: [[9, 16, 19, 7, 2, 1], [3, 15, 4, 8, 13], [5, 10, 6, 14, 11, 18, 12, 17, 20], [21, 22, 29, 23], [27, 26, 24, 25, 28]]
