0: [[33], [20, 35, 3, 1, 2], [9, 5, 7], [24, 12], [8, 14, 15, 13, 4, 6, 10, 21], [11, 25, 27, 17], [31], [26, 22, 23], [28], [30], [19], [50, 37, 16, 29], [40, 32, 18], [46], [34, 36], [47, 44, 39, 42], [49, 57], [38], [41, 52], [43, 54], [45, 58], [48, 51], [53, 56, 55], [59], [60]]
1: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 10, 6, 31, 13, 17, 16, 21, 26, 15, 28, 18, 30], [23, 22, 25, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 57, 58, 60]]
2: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 10, 13, 6, 15, 22, 16, 17, 23, 26, 21, 30, 18, 28], [29, 25, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 59, 57, 58, 60]]
3: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 6, 15, 28, 10, 13, 17, 16, 30, 18, 22, 23, 26, 21], [25, 29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 59, 57, 58, 60]]
4: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 6, 10, 15, 30, 13, 25, 16, 21, 18, 31, 23, 26, 17], [22, 28, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 59, 51, 58, 60]]
5: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 10, 15, 13, 16, 18, 25, 17, 21, 23, 26, 30, 6], [22, 29, 28, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 59, 58, 57, 60]]
6: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 10, 15, 13, 6, 17, 25, 21, 18, 16, 26, 23, 30], [22, 28, 29, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 58, 57, 51, 59, 60]]
7: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 30, 26, 13, 25, 16, 15, 23, 17, 18, 10, 21, 6], [22, 29, 28, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 58, 57, 60]]
8: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 18, 6, 15, 10, 16, 21, 13, 17, 26, 23, 28, 31, 22], [25, 30, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 58, 51, 59, 57, 60]]
9: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 10, 15, 13, 6, 16, 23, 22, 18, 17, 21, 26, 28], [30, 29, 25, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 57, 58, 60]]
10: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 15, 13, 16, 23, 22, 18, 17, 26, 28, 10, 21, 6], [30, 29, 25, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 57, 58, 60]]
11: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 6, 10, 13, 30, 23, 16, 21, 17, 18, 15, 26, 22, 28], [29, 25, 31, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 51, 59, 55, 57, 58, 60]]
12: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7], [8, 19, 11, 6, 10, 15, 13, 16, 17, 23, 31, 18, 21, 22, 25, 28], [30, 26, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 59, 51, 57, 58, 60]]
13: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 6, 10, 13, 22, 15, 17, 16, 18, 23, 28, 31, 26, 21, 25], [30, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 51, 59, 58, 57, 60]]
14: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 10, 22, 13, 6, 16, 21, 26, 25, 23, 15, 18, 17, 28, 31], [29, 30, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 58, 59, 60]]
15: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 10, 6, 15, 25, 17, 13, 23, 22, 16, 18, 21, 26, 28], [31, 30, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 59, 58, 60]]
16: [[33, 20, 35, 2, 3, 4, 12, 1, 9, 14, 24, 27, 5, 7, 8, 19], [11, 10, 6, 15, 25, 13, 16, 23, 18, 17, 21, 26, 22, 28], [30, 31, 29, 50, 44, 32, 36, 45, 42, 37, 43, 38, 39, 40, 34], [41, 46, 56, 52, 47, 49, 48, 53, 54, 55, 57, 51, 59, 58, 60]]
