0: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 6, 21], [9, 14, 12, 17, 29, 10], [15, 16, 11, 18], [20, 19, 31, 24, 30], [28, 23, 22], [25, 26, 36, 58, 44, 41, 37], [34, 32, 33, 43], [38, 39, 47, 42], [40, 45, 46], [51, 50, 52, 53], [48, 55, 56], [49, 54, 57], [59, 60]]
1: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 6, 21], [9, 14, 12, 17, 29, 10], [15, 16, 11, 18], [20, 19, 31, 24, 30], [28, 23, 22], [25, 26, 36, 58, 44, 41, 37], [34, 32, 33, 43], [38, 39, 47, 42], [40, 45, 46], [51, 50, 52, 53], [48, 55, 56], [49, 54, 57], [59, 60]]
2: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 6, 21], [9, 14, 12, 17, 29, 10], [15, 16, 11, 18], [20, 19, 31, 24, 30], [28, 23, 22], [25, 26, 36, 58, 44, 41, 37], [34, 32, 33, 43], [38, 39, 47, 42], [40, 45, 46], [51, 50, 52, 53], [48, 55, 56], [49, 54, 57], [59, 60]]
3: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 5, 6, 21], [9, 14, 12, 17, 29, 10], [15, 16, 11, 18], [20, 19, 31, 24, 30], [28, 23, 22], [25, 26, 36, 58, 44, 41, 37], [34, 32, 33, 43], [38, 39, 47, 42], [40, 45, 46], [51, 50, 52, 53], [48, 55, 56], [49, 54, 57], [59, 60]]
4: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 20], [9, 14, 6, 16, 11, 10, 15, 12, 18, 17], [23, 19, 31, 22, 30], [28, 29, 24], [25, 26, 34, 58, 44, 45, 33], [38, 32, 43, 42], [36, 37, 47, 39], [40, 41, 46], [50, 51, 52, 55], [53, 54, 48], [49, 60, 57], [56, 59]]
5: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [11, 10, 9, 24, 12, 14, 15], [17, 16, 19, 18, 23, 22, 20], [28, 26, 25, 30, 29, 31, 34, 43, 44, 37, 39, 32, 36, 33, 45, 38, 40, 47, 46, 41, 42, 50, 55, 48, 52, 53, 51, 54], [49, 60, 56, 59, 57, 58]]
6: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [11, 10, 9, 30, 14, 12, 15], [22, 16, 17, 18, 23, 19, 20], [24, 26, 25], [31, 29, 28, 32, 41, 44, 37, 38, 34, 36, 39, 43, 40, 42], [46, 47, 45, 33, 51, 59, 48, 52, 54, 50, 55], [49, 56, 53, 58, 57, 60]]
7: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 6], [9, 14, 10, 12, 30, 11, 23, 17, 15, 16, 18, 24], [19, 22, 28, 26, 25, 20, 31, 29, 32, 41, 36, 38, 33, 34, 40, 37, 46, 39, 44, 47, 42, 45, 52, 49, 51, 50, 55, 43, 48, 53, 56, 54, 59, 57, 58, 60]]
8: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 23], [9, 12, 6, 14, 10, 17, 11, 19, 18, 20, 15, 16, 22, 25, 24, 26, 29, 31, 30, 28, 42, 46, 40, 37, 33, 32, 38, 41, 39, 36, 34, 44, 45, 43, 47, 51, 48, 52, 50, 53], [49, 55, 54, 57, 56, 59, 58, 60]]
9: [[35, 27, 8, 1, 7, 2], [3, 4, 13, 21, 5, 14, 9, 6], [11, 15, 12, 10, 20, 22, 18, 17, 23, 16, 24, 30, 25, 28, 19, 26, 29, 31, 32, 40, 37, 36, 33, 38, 34, 46, 43], [39], [41, 47, 60, 45, 42], [54, 57, 49, 56, 50, 44, 51, 48, 52, 55, 53, 59, 58]]
10: [[35, 27, 8, 1, 7, 2], [3, 4, 13], [21, 5, 6, 11, 14, 9, 12, 10, 15, 31, 24, 26, 16, 23, 17, 18], [30, 19, 20, 22, 29, 25, 28, 40, 46, 37, 38], [33, 34, 32, 42, 36, 39], [44, 45, 58, 43, 47, 48, 51, 53, 54, 55], [49, 57, 52, 41, 60, 50, 56, 59]]
