0: [[13, 6, 5, 4, 3], [1, 2, 9], [7, 11, 10, 14], [12, 8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
1: [[13, 5, 6], [1, 2, 9], [7, 11, 10, 14], [12, 8, 15, 18], [16, 17, 19, 20, 22, 4, 3], [21, 23, 24]]
2: [[13], [3, 1, 2, 9, 6], [7, 11, 10, 14], [12, 8, 15, 18, 16], [17, 19, 20, 22, 5, 4], [21, 23, 24]]
3: [[13, 5, 6, 4], [1, 2, 9, 3], [7, 11, 10, 14], [12, 8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
4: [[13, 5, 6, 4], [1, 2, 9, 3], [7, 11, 10, 14], [12, 8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
5: [[13, 5, 6, 4], [1, 2, 9, 3], [7, 11, 10, 14], [12, 8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
6: [[13, 5, 6, 4], [1, 2, 9, 3], [7, 11, 10, 14], [12, 8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
7: [[13, 5, 6, 4], [1, 2, 9, 3], [7, 11, 10, 14], [12, 8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
8: [[13, 5, 6, 4], [1, 2, 9, 3], [7, 11, 10, 14], [12, 8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
9: [[13, 5, 6, 4], [1, 2, 9, 3], [7, 11, 10, 14], [12, 8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
10: [[13, 5, 6, 4], [1, 2, 9, 3], [7, 11, 10, 14], [12, 8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
11: [[13, 5, 6, 4], [1, 2, 9, 3], [7, 11, 10, 14], [12, 8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
12: [[13, 5, 6, 4], [1, 2, 9, 7, 11], [10, 14], [12, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
13: [[13, 5, 6, 4], [1, 2], [9, 7, 11, 10, 14], [12, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
14: [[13, 5, 6, 4], [1, 2], [9, 7, 11, 10, 14], [12, 8, 15, 18, 16, 3], [17, 19, 20, 22], [21, 23, 24]]
15: [[13, 6, 5, 4], [3, 1, 2, 9], [7, 11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
16: [[13, 6, 5, 4], [3, 1, 2, 9], [7, 11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
17: [[13, 6, 5, 4], [3, 1, 2, 9], [7, 11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
18: [[13, 6, 5, 4], [3, 1, 2, 9], [7, 11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
19: [[13, 6, 5, 4], [3, 1, 2, 9], [7, 11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
20: [[13, 5, 6, 4], [1, 2, 9], [7, 11, 10, 14], [12, 8, 15, 18], [16, 17, 19, 20, 3], [22, 21, 23, 24]]
21: [[13, 6, 5, 4], [3, 1, 2, 9], [7, 11, 10, 14, 12], [8, 15, 18], [16, 17, 19, 20, 22], [21, 23, 24]]
22: [[13, 6, 5, 4], [3, 1, 2, 9], [7, 11, 10, 14, 12], [8, 15, 18], [16, 17, 19, 20, 22], [21, 23, 24]]
23: [[13, 5, 6, 4], [1, 2, 9, 3], [7, 11, 10], [14, 12, 8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
24: [[13, 5, 6, 4], [1, 2], [9, 7, 11, 10, 14], [12, 8, 15, 18, 16, 3], [17, 19, 20], [22, 21, 23, 24]]
25: [[13, 6, 5], [4, 3, 1, 2, 9], [7, 11, 10, 14], [12, 8, 15, 18, 16], [17, 19, 20], [22, 21, 23, 24]]
26: [[13], [3, 1, 2, 9, 6], [7, 11, 10], [14, 12, 8, 15, 18, 5], [16, 17, 19, 20, 22, 4], [21, 23, 24]]
27: [[13, 5], [1, 2], [9, 7, 11, 10, 14, 6], [12, 8, 15, 18], [16, 17, 19, 20, 22, 4, 3], [21, 23, 24]]
28: [[13, 6, 5, 4, 3], [1, 2, 9, 7], [11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
29: [[13, 6, 5, 4, 3], [1, 2, 9, 7], [11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
30: [[13, 6, 5, 4, 3], [1, 2, 9, 7], [11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
31: [[13, 6, 5, 4, 3], [1, 2, 9, 7], [11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
32: [[13, 6, 5, 4, 3], [1, 2, 9, 7], [11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
33: [[13, 6, 5, 4], [3, 1, 2, 9, 7, 11], [10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
34: [[13, 5, 6, 4], [1, 2, 9], [7, 11, 10, 14, 12, 8, 15], [18, 16, 3], [17, 19, 20, 22, 21], [23, 24]]
35: [[13, 6, 5, 4], [3, 1, 2, 9, 7, 11], [10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
36: [[13], [3, 1, 6], [2, 9, 7, 11, 10], [14, 12, 8, 15, 18, 5], [16, 17, 19, 20, 22, 4], [21, 23, 24]]
37: [[13, 6, 5, 4], [3, 1, 2, 9, 7], [11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
38: [[13], [3, 1, 2], [9, 7, 11, 10, 6], [14, 12, 8, 15, 18, 5], [16, 17, 19, 20, 22, 4], [21, 23, 24]]
39: [[13, 6, 5, 4], [3, 1, 2, 9, 7], [11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
40: [[13, 6, 5, 4], [3, 1, 2, 9, 7], [11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
41: [[13, 6, 5, 4], [3, 1, 2, 9, 7], [11, 10, 14, 12], [8, 15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
42: [[13, 6, 5, 4, 3], [1, 2, 9, 7], [11, 10, 14, 12, 8], [15, 18, 16], [17, 19, 20, 22], [21, 23, 24]]
43: [[5, 4], [3, 1, 2, 13, 6], [9, 7, 11, 10, 14, 12], [8, 15, 18, 16, 17], [19, 20], [22, 21, 23, 24]]
44: [[13, 6, 5, 4], [3, 1, 2, 9, 7], [11, 10, 14, 12], [8, 15, 18], [16, 17, 19, 20, 22], [21, 23, 24]]
45: [[13, 6, 5, 4], [3, 1, 2, 9, 7], [11, 10, 14, 12], [8, 15, 18], [16, 17, 19, 20, 22], [21, 23, 24]]
46: [[13, 6, 5, 4], [3, 1], [2, 9, 7, 11, 10, 14], [12, 8, 15, 18], [16, 17, 19, 20], [22, 21, 23, 24]]
