0: [[3, 9, 6], [2, 14, 10, 4], [7, 12, 11, 8, 13, 15, 16, 18, 5], [19, 20, 17, 22, 1], [23, 21, 24]]
1: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
2: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
3: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
4: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
5: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
6: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
7: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
8: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
9: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
10: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
11: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
12: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
13: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
14: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
15: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
16: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
17: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
18: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
19: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
20: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
21: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
22: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
23: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
24: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
25: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
26: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
27: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
28: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
29: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
30: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
31: [[3, 9, 6], [2, 14, 10, 4, 5], [7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
32: [[3, 9, 6], [2, 14, 10], [4, 5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22, 1], [23, 21, 24]]
33: [[1, 6, 3, 9, 2], [14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22], [23, 21, 24]]
34: [[1, 6, 3, 9, 2], [14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22], [23, 21, 24]]
35: [[1, 6, 3, 9, 2], [14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22], [23, 21, 24]]
36: [[1, 6, 3, 9, 2], [14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22], [23, 21, 24]]
37: [[1, 6, 3, 9, 2], [14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 22], [23, 21, 24]]
38: [[3, 9, 1, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18, 19], [20, 17, 22], [23, 21, 24]]
39: [[3, 9, 1, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18, 19], [20, 17, 22], [23, 21, 24]]
40: [[3, 9, 1, 6], [2, 14, 10, 4, 5], [7, 12, 11, 8, 13, 15, 16, 18, 19], [20, 17, 22], [23, 21, 24]]
41: [[3, 9, 6], [2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16, 18], [19, 20, 17, 1], [22, 23, 21, 24]]
42: [[3, 9, 2, 1, 6], [14, 10, 4, 5, 7], [12, 11, 8, 13, 15, 16, 18, 19], [20, 17, 22], [23, 21, 24]]
43: [[3, 9, 1, 6], [2, 14, 10], [4, 5, 7, 12, 11, 8, 13, 15, 16], [18, 19, 20, 17], [22, 23, 21, 24]]
44: [[1, 6, 3], [9, 2, 14, 10, 4], [5, 7, 12, 11, 8, 13, 15, 16], [18, 19, 20, 17, 22], [23, 21, 24]]
45: [[1, 6, 3], [9, 2, 14, 10], [4, 5, 7, 12, 11, 8, 13, 15, 16], [18, 19, 20, 17], [22, 23, 21, 24]]
