0: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
1: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
2: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
3: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
4: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
5: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
6: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
7: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
8: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
9: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
10: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
11: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
12: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
13: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
14: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
15: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
16: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
17: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
18: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
19: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
20: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
21: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
22: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
23: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
24: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
25: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
26: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
27: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
28: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
29: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
30: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
31: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
32: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
33: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
34: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
35: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
36: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
37: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
38: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
39: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
40: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
41: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
42: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
43: [[18, 15, 7, 24, 8, 2], [5, 6, 3, 4, 10, 12], [9, 1, 11, 13, 17, 14], [16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
44: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
45: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
46: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
47: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
48: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
49: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
50: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
51: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
52: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
53: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
54: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
55: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
56: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
57: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
58: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
59: [[18, 15, 7, 24, 8], [2, 5, 6, 3, 4, 10], [12, 9, 1, 11, 13, 17], [14, 16, 28, 23, 19, 22], [27, 21, 20, 26, 25, 29]]
