0: [[19, 2, 9, 7, 1, 6], [4, 3, 8, 11, 12], [13, 5, 16, 24, 17, 15, 18, 10, 14], [20, 28, 23, 22], [21, 25, 26, 27, 29]]
1: [[19, 2, 9, 7], [1, 6, 4, 3, 8, 13, 5, 11, 24, 10, 14], [15, 16, 17, 12], [18, 20, 28, 22, 23], [21, 25, 26, 27, 29]]
2: [[19, 2, 9, 7], [1, 6, 4, 3, 8, 13, 24, 22, 12], [5, 18, 11, 14], [15, 16, 17, 20, 28, 23, 10], [21, 25, 26, 27, 29]]
3: [[19, 2, 9, 7], [1, 6, 4, 3, 8, 5, 11, 12, 14], [24, 25, 13, 15, 10], [17, 16, 20, 22, 23, 18], [21, 27, 26, 28, 29]]
4: [[19, 2, 9, 7], [1, 6, 4, 3, 8, 11, 24, 13, 12], [16, 5, 17, 22], [15, 20, 28, 18, 23, 10, 14], [21, 25, 26, 27, 29]]
5: [[19, 2, 9, 7], [1, 6, 4, 3, 8, 13, 5, 11, 10, 12, 14], [15, 25, 24, 16], [17, 20, 18, 23, 22], [21, 28, 26, 27, 29]]
6: [[19, 2, 9, 7, 1, 6], [4, 3, 8, 13, 5, 11, 10, 12, 14], [29, 18, 15, 16, 25], [20, 17, 22, 23], [21, 24, 26, 27, 28]]
7: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 12], [13, 5, 24, 10], [15, 23, 18, 11, 16, 17], [20, 28, 22, 14], [21, 25, 26, 27, 29]]
8: [[19, 2, 9, 7], [1, 6, 4, 3], [8, 13, 5, 16, 10], [15, 11, 18, 17, 22, 23, 28, 24, 20, 12, 14], [21, 25, 26, 27, 29]]
9: [[19, 2, 9, 7], [1, 6, 4, 3], [8, 12, 13, 5, 20, 10], [11, 15, 17, 16, 18, 22, 23, 28, 24, 14], [21, 25, 26, 27, 29]]
10: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 13, 12], [5, 16, 24, 11, 14], [15, 22, 18], [17, 20, 28, 23, 10], [21, 25, 26, 27, 29]]
11: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 13, 12], [5, 16], [11, 22, 15, 18], [17, 20, 23, 28, 24, 10, 14], [21, 25, 26, 27, 29]]
12: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 12], [11, 5, 16, 24, 14], [13, 22, 15, 28], [17, 18, 20, 23, 10], [21, 27, 25, 26, 29]]
13: [[19, 2, 9, 7, 1, 6, 4], [3, 8], [11, 17, 13, 15, 16, 20, 18, 5, 10, 12, 14], [25, 28, 22, 23], [21, 26, 24, 27, 29]]
14: [[19, 2, 9, 7, 1, 6], [4, 3, 8, 13, 5, 15, 11, 10, 12], [17, 26, 16, 25, 14], [20, 18, 22, 23], [21, 24, 29, 27, 28]]
15: [[19, 2, 9, 7, 1], [6, 4, 3, 8, 13, 12], [16, 17, 11, 15, 18, 20, 5, 10, 14], [28, 22, 23, 21], [24, 25, 26, 27, 29]]
16: [[19, 2, 9, 7], [1, 6, 4, 3, 8, 12], [13, 5, 24, 11, 27, 18, 16, 15, 10, 14], [20, 17, 23, 22], [21, 25, 26, 28, 29]]
17: [[19, 2, 9, 7, 1, 6, 4, 3, 8], [13, 5, 18, 15, 10, 12], [23, 22, 16, 11, 14], [20, 28, 24, 25], [21, 17, 26, 27, 29]]
18: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 12], [11, 5, 13, 10], [15, 16, 22, 25], [17, 23, 18, 29, 24, 14], [21, 20, 26, 27, 28]]
19: [[19, 2, 9, 7], [1, 6, 4, 3, 8, 13, 12], [5, 25, 11, 14], [15, 22, 16, 17, 20, 18, 26, 21, 10], [23, 24, 29, 27, 28]]
20: [[19, 2, 9, 7, 1], [6, 4, 3, 8, 12], [13, 5, 21, 16, 17, 14], [11, 15, 18, 22, 23, 26, 20, 10], [25, 24, 28, 27, 29]]
21: [[19, 2, 9, 7, 1], [6, 4, 3, 8, 13, 12], [5, 11, 29, 15, 27, 16, 24, 10, 14], [20, 17, 22, 23], [21, 28, 26, 18, 25]]
22: [[19, 2, 9, 7, 1, 6], [4, 3, 8, 13, 5], [11, 21, 20, 15, 17, 16, 23, 22, 12], [18, 24, 10, 14], [29, 25, 26, 27, 28]]
23: [[19, 2, 9, 7, 1], [6, 4, 3, 8, 13, 5, 11, 12], [20, 18, 24, 15, 23, 10, 14], [16, 21, 17, 22], [25, 29, 26, 27, 28]]
24: [[19, 2, 9, 7, 1], [6, 4, 3, 8, 13, 5, 12], [11, 15, 17, 18, 23, 21, 10, 14], [22, 28, 16, 20], [24, 29, 26, 25, 27]]
25: [[19, 2, 9, 7, 1, 6, 4, 3, 8, 11, 5, 12], [20, 10, 14], [29, 18, 13], [15, 16, 17, 22, 24, 23], [21, 28, 26, 27, 25]]
