0: [[3, 16, 6], [10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
1: [[3, 16, 6], [10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
2: [[3, 16, 6], [10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
3: [[3, 16], [6, 10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
4: [[3, 16], [6, 10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
5: [[3, 16], [6, 10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
6: [[3, 16], [6, 10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
7: [[3, 16], [6, 10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
8: [[3, 16], [6, 10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
9: [[3, 16, 6], [10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8], [22, 23, 24, 21]]
10: [[3, 16, 6], [10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8], [22, 23, 24, 21]]
11: [[3, 16, 6], [10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8], [22, 23, 24, 21]]
12: [[3, 16, 6], [10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8], [22, 23, 24, 21]]
13: [[3, 16, 6], [10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8], [22, 23, 24, 21]]
14: [[10, 3, 16], [14, 4, 5, 6], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
15: [[3, 16], [6, 10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8], [22, 23, 24, 21]]
16: [[10, 3, 16], [14, 4, 6], [5, 20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
17: [[10, 3, 16], [14, 4, 5, 6], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8], [22, 23, 24, 21]]
18: [[3, 16], [6, 10, 14, 4, 5, 20], [9, 2], [12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
19: [[3, 16], [6, 10, 14, 4, 5, 20], [9, 2], [12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
20: [[10, 3, 16], [14, 4, 5, 20, 9, 6], [2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
21: [[10, 14, 3, 16, 6], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18], [19, 8], [22, 23, 24, 21]]
22: [[10, 3, 16], [14, 4, 5, 20, 9, 2, 12, 6], [13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
23: [[3, 16], [6, 10, 14, 4, 5, 20, 9], [2, 12], [13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
24: [[3, 16, 6], [10, 14, 4, 5, 20, 9], [2, 12], [13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
25: [[3, 14, 4, 16, 6, 10], [5, 20], [9, 2], [12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
26: [[3, 16], [6, 10, 14, 4, 5], [20, 9, 2, 12], [13, 1], [7, 11], [15, 17, 18, 19, 8], [22, 23, 24, 21]]
27: [[3, 14, 4, 16, 6, 10], [5, 20], [9, 2], [12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
28: [[10, 14, 4, 3, 16, 6], [5, 20, 9, 2, 12], [13, 1], [7, 11], [15, 17], [18, 19, 8, 22], [23, 24, 21]]
29: [[10, 3], [14, 4, 5, 20, 6], [9, 2], [12, 13, 1, 7, 11, 16], [15, 17, 18, 19, 8, 22], [23, 24, 21]]
30: [[10, 14, 4, 5, 3, 16, 6], [20, 9], [2, 12], [13, 1], [7, 11], [15, 17, 18, 19, 8], [22, 23, 24, 21]]
31: [[10, 3], [14, 4], [5, 20, 9, 2, 12, 13, 6], [1, 7, 16], [11, 15, 17, 18, 19, 8, 22], [23, 24, 21]]
32: [[10, 14, 4, 5, 20, 3, 6], [9, 2], [12, 13], [1, 7, 16], [11, 15, 17, 18, 19, 8, 22], [23, 24, 21]]
33: [[10, 14, 4, 3, 6], [5, 20], [9, 2], [12, 13], [1, 7, 11, 15, 17, 16], [18, 19, 8, 22], [23, 24, 21]]
34: [[3, 16], [6, 10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22, 23], [24, 21]]
35: [[10, 14, 3, 6], [4, 5], [20, 9], [2, 12, 13], [1, 7, 16], [11, 15, 17, 18, 19, 8], [22, 23, 24, 21]]
36: [[10, 3], [14, 4], [5, 20, 9, 2, 12, 13, 6], [1, 7, 16], [11, 15, 17, 18, 19, 8], [22, 23, 24, 21]]
37: [[10, 3, 16], [14, 4, 5, 6], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19, 8, 22, 23], [24, 21]]
38: [[10, 14, 4, 5, 3, 6], [20, 9, 2, 12, 13], [1, 7, 16], [11, 15], [17, 18, 19, 8, 22], [23, 24, 21]]
39: [[10, 14, 4, 5, 20, 9, 2, 6], [12, 13], [1, 7, 16], [11, 15], [17, 18, 19, 8, 22, 3], [23, 24, 21]]
40: [[10, 14, 4, 3], [5, 20], [9, 2, 12, 13, 1, 7, 6], [11, 15], [17, 18, 19, 16], [8, 22], [23, 24, 21]]
41: [[10, 14, 4, 5, 20], [9, 2], [12, 13], [1, 7, 16, 6], [11, 15], [17, 18, 19, 8, 22, 3], [23, 24, 21]]
42: [[10, 14, 3], [4, 5, 20, 9, 6], [2, 12], [13, 1, 7, 11, 15, 17, 16], [18, 19], [8, 22], [23, 24, 21]]
43: [[3, 16], [6, 10, 14], [4, 5], [20, 9, 2, 12, 13, 1], [7, 11], [15, 17, 18, 19], [8, 22, 23, 24, 21]]
44: [[10, 14, 4, 5, 3, 16, 6], [20, 9], [2, 12, 13, 1, 7, 11], [15, 17, 18], [19, 8], [22, 23], [24, 21]]
45: [[3, 16], [6, 10, 14], [4, 5], [20, 9, 2, 12, 13, 1, 7], [11, 15], [17, 18, 19, 8, 22, 23], [24, 21]]
46: [[10, 14, 4], [5, 20, 9, 2, 12, 13, 6], [1, 7], [11, 15], [17, 18, 3, 16], [19, 8, 22, 23], [24, 21]]
47: [[10, 3], [14, 4], [5, 20, 9, 2, 12, 13, 6], [1, 7, 16], [11, 15], [17, 18, 19, 8, 22, 23], [24, 21]]
48: [[10, 14, 4, 5, 3, 6], [20, 9, 2], [12, 13], [1, 7, 16], [11, 15, 17, 18, 19], [8, 22, 23, 24, 21]]
49: [[10, 3, 6], [14, 4], [5, 20], [9, 2, 12], [13, 1], [7, 11, 15, 17, 18, 19, 16], [8, 22, 23, 24, 21]]
