0: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
1: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
2: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
3: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
4: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
5: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
6: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
7: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
8: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
9: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
10: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
11: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
12: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
13: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
14: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
15: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
16: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
17: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
18: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
19: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
20: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
21: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
22: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
23: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
24: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
25: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
26: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
27: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
28: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
29: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
30: [[25, 5], [4, 3, 10], [2, 6], [17, 1, 9, 7], [13, 8, 11, 12], [15, 16], [19, 18, 14], [20, 23, 22], [24, 28, 29], [27, 26, 21]]
