0: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36, 6], [9, 8], [14, 29, 10], [15, 13, 17, 19], [24, 22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34, 37]]
1: [[1, 20, 7], [2, 5, 11, 12], [3, 4, 36], [6, 9, 8], [14, 29, 10], [15, 13, 17, 19], [24, 22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34, 37]]
2: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36, 6], [9, 8, 14], [29, 10, 15], [13, 17], [19, 24, 22, 16], [18, 21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34, 37]]
3: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6, 9, 8], [14, 29, 10], [15, 13, 17, 19], [24, 22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34], [37]]
4: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6, 9, 8], [14, 29, 10], [15, 13, 17, 19], [24, 22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34], [37]]
5: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6, 9, 8], [14, 29, 10], [15, 13, 17, 19], [24, 22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34], [37]]
6: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36, 6], [9, 8, 14, 29], [10, 15, 13], [17, 19, 24], [22, 16], [18, 21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34, 37]]
7: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36], [6, 9, 8, 14], [29, 10, 15], [13, 17, 19, 24], [22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34], [37]]
8: [[1, 20], [7, 2, 5], [11, 12, 3], [4, 36, 6], [9, 8], [14, 29, 10], [15, 13, 17, 19], [24, 22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34], [37]]
9: [[1, 20, 7], [2, 5, 11], [12, 3], [4, 36, 6], [9, 8, 14], [29, 10], [15, 13], [17, 19, 24], [22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34], [37]]
10: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6, 9, 8], [14, 29, 10], [15, 13, 17, 19], [24, 22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33], [32, 35, 34, 37]]
11: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36], [6, 9, 8, 14], [29, 10, 15, 13], [17, 19], [24, 22, 16], [18, 21, 27, 23], [25, 26, 28], [30, 31, 33], [32, 35, 34, 37]]
12: [[1, 20, 7], [2, 5, 11], [12, 3], [4, 36, 6], [9, 8, 14, 29], [10, 15, 13], [17, 19, 24], [22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34, 37]]
13: [[1, 20, 7], [2, 5, 11], [12, 3], [4, 36, 6], [9, 8, 14, 29], [10, 15, 13], [17, 19, 24], [22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35], [34, 37]]
14: [[1, 20, 7], [2, 5, 11], [12, 3], [4, 36, 6], [9, 8, 14, 29], [10, 15, 13], [17, 19, 24], [22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34, 37]]
15: [[1, 20, 7], [2, 5, 11], [12, 3], [4, 36, 6], [9, 8, 14, 29], [10, 15, 13], [17, 19, 24], [22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35], [34, 37]]
16: [[1, 20, 7], [2, 5], [11, 12, 3], [4, 36, 6], [9, 8], [14, 29, 10], [15, 13, 17], [19, 24, 22], [16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34], [37]]
17: [[1, 20, 7], [2, 5, 11, 12], [3, 4, 36], [6, 9, 8, 14], [29, 10, 15, 13], [17, 19], [24, 22, 16], [18, 21, 27, 23], [25, 26, 28], [30, 31, 33], [32, 35, 34, 37]]
18: [[1, 20, 7], [2, 5, 11], [12, 3], [4, 36, 6], [9, 8, 14, 29], [10, 15, 13], [17, 19, 24], [22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32, 35], [34, 37]]
19: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6, 9], [8, 14, 29], [10, 15, 13], [17, 19, 24], [22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34, 37]]
20: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6, 9], [8, 14, 29], [10, 15, 13], [17, 19, 24, 22, 16], [18, 21, 27, 23], [25, 26, 28], [30, 31, 33], [32, 35, 34, 37]]
21: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36, 6], [9, 8, 14], [29, 10, 15], [13, 17, 19], [24, 22, 16, 18], [21, 27], [23, 25, 26], [28, 30, 31, 33, 32, 35, 34, 37]]
22: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6], [9, 8, 14], [29, 10, 15], [13, 17], [19, 24], [22, 16, 18], [21, 27, 23], [25, 26, 28], [30, 31], [33, 32, 35], [34, 37]]
23: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36, 6], [9, 8], [14, 29, 10], [15, 13, 17], [19, 24, 22], [16, 18, 21, 27], [23, 25, 26, 28, 30, 31, 33], [32, 35, 34, 37]]
24: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36, 6], [9, 8, 14], [29, 10, 15, 13], [17, 19, 24, 22, 16, 18, 21], [27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
25: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36], [6, 9], [8, 14, 29, 10], [15, 13, 17], [19, 24, 22, 16], [18, 21, 27], [23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
26: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36], [6, 9, 8, 14], [29, 10, 15], [13, 17, 19], [24, 22, 16, 18], [21, 27, 23], [25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
27: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36, 6], [9, 8, 14, 29], [10, 15, 13], [17, 19, 24], [22, 16, 18, 21], [27, 23], [25, 26], [28, 30, 31, 33, 32, 35, 34, 37]]
28: [[1, 20, 7, 2], [5, 11, 12, 3], [4, 36, 6, 9], [8, 14, 29], [10, 15, 13], [17, 19, 24], [22, 16, 18], [21, 27, 23], [25, 26, 28, 30], [31, 33, 32], [35, 34, 37]]
29: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36, 6], [9, 8, 14, 29], [10, 15, 13, 17, 19, 24], [22, 16, 18, 21, 27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
30: [[1, 20, 7], [2, 5, 11, 12], [3, 4, 36, 6], [9, 8, 14], [29, 10, 15], [13, 17, 19], [24, 22, 16], [18, 21, 27], [23, 25, 26, 28], [30, 31, 33], [32, 35, 34, 37]]
31: [[1, 20, 7], [2, 5, 11, 12], [3, 4], [36, 6, 9], [8, 14, 29, 10], [15, 13, 17, 19], [24, 22, 16], [18, 21, 27], [23, 25, 26, 28], [30, 31, 33], [32, 35, 34, 37]]
32: [[1, 20], [7, 2, 5], [11, 12, 3, 4], [36, 6], [9, 8, 14], [29, 10, 15, 13], [17, 19, 24], [22, 16, 18, 21], [27, 23], [25, 26, 28], [30, 31, 33, 32], [35, 34], [37]]
33: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36, 6], [9, 8, 14], [29, 10, 15, 13], [17, 19, 24], [22, 16, 18, 21], [27, 23], [25, 26, 28, 30], [31, 33, 32], [35, 34], [37]]
34: [[1, 20, 7], [2, 5], [11, 12], [3, 4, 36, 6], [9, 8, 14], [29, 10, 15, 13], [17, 19, 24], [22, 16, 18], [21, 27, 23, 25], [26, 28], [30, 31, 33], [32], [35, 34, 37]]
35: [[1, 20, 7, 2], [5, 11, 12, 3], [4, 36, 6], [9, 8, 14, 29], [10, 15, 13, 17, 19, 24, 22, 16, 18, 21, 27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
36: [[1, 20, 7], [2, 5, 11], [12, 3, 4], [36, 6], [9, 8, 14], [29, 10], [15, 13, 17], [19, 24, 22, 16], [18, 21, 27, 23], [25, 26], [28], [30, 31, 33, 32, 35, 34, 37]]
37: [[1, 20, 7, 2], [5, 11, 12], [3, 4, 36], [6, 9, 8, 14, 29, 10, 15, 13, 17, 19, 24, 22, 16, 18, 21, 27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
38: [[1, 20, 7], [2, 5, 11, 12], [3, 4, 36, 6], [9, 8, 14, 29], [10, 15, 13], [17, 19, 24, 22], [16, 18], [21, 27, 23], [25, 26, 28, 30], [31, 33, 32], [35, 34, 37]]
39: [[1, 20, 7, 2, 5], [11, 12, 3], [4, 36, 6, 9], [8, 14, 29, 10], [15, 13, 17], [19, 24, 22, 16, 18, 21, 27], [23, 25, 26, 28, 30, 31, 33, 32], [35, 34, 37]]
40: [[1, 20, 7], [2, 5, 11, 12], [3, 4, 36], [6, 9, 8, 14], [29, 10, 15, 13], [17, 19, 24], [22, 16, 18], [21, 27, 23, 25], [26, 28], [30, 31], [33, 32, 35, 34, 37]]
41: [[1, 20, 7, 2], [5, 11, 12, 3], [4, 36, 6], [9, 8, 14, 29], [10, 15, 13], [17, 19, 24, 22, 16, 18, 21, 27, 23, 25, 26, 28, 30, 31, 33, 32, 35, 34, 37]]
42: [[1, 20, 7], [2, 5, 11, 12], [3, 4, 36], [6, 9, 8, 14], [29, 10, 15], [13, 17, 19], [24, 22], [16, 18, 21, 27], [23, 25, 26, 28], [30, 31, 33, 32], [35, 34], [37]]
43: [[1, 20, 7, 2], [5, 11, 12, 3], [4, 36, 6], [9, 8, 14, 29], [10, 15, 13], [17, 19, 24, 22], [16, 18, 21, 27, 23, 25, 26], [28, 30, 31, 33, 32, 35, 34, 37]]
