0: [[13, 12, 7], [3, 5, 1, 2], [6, 9, 10, 8, 11, 4]]
1: [[1, 4], [13, 12, 7, 2], [3, 5], [6, 9, 10, 8, 11]]
2: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9, 10, 8, 11]]
3: [[1, 4], [13, 12, 7, 2], [3, 5], [6, 9], [10, 8, 11]]
4: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9, 10], [8, 11]]
5: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9, 10], [8, 11]]
6: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9, 10], [8, 11]]
7: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9, 10], [8, 11]]
8: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9, 10], [8, 11]]
9: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9, 10], [8, 11]]
10: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9, 10], [8, 11]]
11: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9, 10], [8, 11]]
12: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9, 10], [8, 11]]
13: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9, 10], [8, 11]]
14: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9], [10, 8, 11]]
15: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9], [10, 8, 11]]
16: [[1, 4], [13, 2], [12, 7], [3, 5], [6, 9], [10, 8, 11]]
17: [[1, 4, 3], [13, 2], [12, 7], [5, 6, 9, 10, 8, 11]]
18: [[1, 4], [13, 2], [12, 7, 3, 5], [6, 9, 10, 8, 11]]
19: [[1, 4], [13, 2], [12, 7, 3, 5], [6, 9, 10, 8, 11]]
20: [[1], [13, 2], [12], [3, 5, 6], [9, 10, 4], [8, 11, 7]]
21: [[1], [13, 12, 7], [3], [5, 6, 2], [9, 10, 4], [8, 11]]
22: [[1], [13, 12, 7], [3], [5, 6, 2], [9, 10, 4], [8, 11]]
23: [[1, 4], [13, 2], [12, 7, 3], [5, 6, 9, 10, 8, 11]]
24: [[1, 4], [13, 2], [12, 7, 3, 5, 6, 9, 10, 8, 11]]
25: [[1, 4, 13, 2, 12], [7, 3, 5, 6, 9, 10], [8, 11]]
26: [[1, 4, 13], [2, 12], [7, 3, 5, 6, 9, 10, 8, 11]]
27: [[1, 4], [13, 2, 12], [7, 3], [5, 6], [9, 10, 8, 11]]
