0: [[39, 10, 9], [37, 7], [4, 3, 1], [6, 5, 8], [2, 68], [14, 41, 15], [18, 11, 17], [28, 12, 13, 22], [24, 16, 23], [19, 20, 29], [21, 59, 25], [27, 31, 26], [58, 62, 34], [30, 33], [32, 35], [46, 42, 38], [40, 56, 45, 47], [36, 43, 52], [44, 51, 53], [49, 48, 61], [50, 54, 55], [60, 63, 57], [67, 70, 65], [64, 69, 73], [76, 66, 75], [71, 74, 72], [79, 82], [78, 80, 77], [85], [83, 81, 86], [84, 87, 88]]
1: [[39, 10, 9], [37, 7, 4], [3, 1, 6], [5, 8, 2], [68, 14], [41, 15, 18], [11, 17, 28], [12, 13, 22], [24, 16, 23], [19, 20, 29], [21, 59], [25, 27, 31], [26, 58, 62], [34, 30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43, 52], [44, 51, 53], [49, 48, 61], [50, 54, 55], [60, 63, 57], [67, 70, 65], [64, 69, 73], [76, 66, 75], [71, 74, 72], [79, 82], [78, 80, 77], [85, 83, 81], [86, 84, 87], [88]]
2: [[39, 10, 9], [37, 7], [4, 3, 1], [6, 5, 8], [2, 68, 14], [41, 15, 18], [11, 17, 28], [12, 13, 22], [24, 16, 23], [19, 20, 29], [21, 59, 25], [27, 31], [26, 58, 62], [34, 30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43, 52], [44, 51, 53], [49, 48, 61], [50, 54], [55, 60, 63], [57, 67, 70], [65, 64, 69], [73, 76, 66], [75, 71, 74], [72, 79, 82], [78, 80], [77, 85, 83], [81, 86, 84], [87, 88]]
3: [[39, 10], [9, 37, 7], [4, 3, 1], [6, 5, 8], [2, 68, 14], [41, 15, 18], [11, 17, 28], [12, 13, 22], [24, 16, 23], [19, 20], [29, 21, 59], [25, 27, 31], [26, 58, 62], [34, 30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43, 52], [44, 51], [53, 49], [48, 61, 50], [54, 55, 60], [63, 57, 67], [70, 65, 64], [69, 73, 76], [66, 75], [71, 74, 72], [79, 82], [78, 80, 77, 85, 83, 81, 86, 84, 87, 88]]
4: [[39, 10], [9, 37, 7], [4, 3], [1, 6, 5], [8, 2], [68, 14], [41, 15, 18], [11, 17, 28], [12, 13, 22], [24, 16, 23], [19, 20, 29], [21, 59, 25], [27, 31], [26, 58, 62], [34, 30, 33], [32, 35], [46, 42, 38], [40, 56, 45], [47, 36, 43], [52, 44], [51, 53, 49], [48, 61, 50], [54, 55, 60], [63, 57, 67], [70, 65, 64], [69, 73, 76], [66, 75], [71, 74, 72], [79, 82, 78], [80, 77, 85], [83, 81, 86], [84, 87, 88]]
5: [[39, 10], [9, 37, 7], [4, 3], [1, 6, 5], [8, 2], [68, 14], [41, 15, 18], [11, 17, 28], [12, 13, 22], [24, 16, 23], [19, 20, 29], [21, 59, 25], [27, 31], [26, 58, 62], [34, 30, 33], [32, 35], [46, 42, 38], [40, 56, 45], [47, 36, 43], [52, 44], [51, 53, 49], [48, 61, 50], [54, 55, 60], [63, 57, 67], [70, 65, 64], [69, 73, 76], [66, 75], [71, 74, 72], [79, 82, 78], [80, 77, 85], [83, 81, 86], [84, 87, 88]]
6: [[39, 10, 9], [37, 7], [4, 3, 1], [6, 5, 8], [2, 68], [14, 41, 15], [18, 11, 17], [28, 12, 13, 22], [24, 16, 23], [19, 20, 29], [21, 59, 25], [27, 31, 26], [58, 62, 34], [30, 33, 32], [35, 46, 42], [38, 40], [56, 45, 47], [36, 43, 52], [44], [51, 53, 49], [48, 61, 50], [54, 55, 60], [63, 57, 67], [70, 65, 64], [69, 73, 76, 66, 75, 71, 74, 72, 79, 82, 78, 80, 77, 85, 83, 81, 86, 84, 87, 88]]
7: [[39, 10], [9, 37, 7], [4, 3], [1, 6, 5], [8, 2, 68], [14, 41, 15, 18], [11, 17, 28], [12, 13, 22], [24, 16, 23], [19, 20, 29], [21, 59, 25], [27, 31], [26, 58, 62], [34, 30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43, 52], [44, 51, 53], [49, 48, 61], [50, 54, 55], [60, 63], [57, 67, 70], [65, 64, 69], [73, 76, 66], [75, 71, 74], [72, 79, 82, 78, 80, 77, 85, 83, 81, 86, 84, 87, 88]]
8: [[39, 10], [9, 37, 7], [4, 3], [1, 6, 5], [8, 2, 68], [14, 41, 15, 18], [11, 17, 28], [12, 13, 22], [24, 16, 23], [19, 20, 29], [21, 59, 25], [27, 31], [26, 58, 62], [34, 30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43, 52], [44, 51, 53], [49, 48, 61], [50, 54, 55], [60, 63], [57, 67, 70], [65, 64, 69, 73, 76, 66, 75, 71, 74, 72, 79, 82, 78, 80, 77, 85, 83, 81, 86, 84, 87, 88]]
9: [[39, 10], [9, 37, 7], [4, 3], [1, 6, 5], [8, 2, 68], [14, 41, 15, 18], [11, 17, 28], [12, 13, 22], [24, 16, 23], [19, 20, 29], [21, 59, 25], [27, 31], [26, 58, 62], [34, 30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43, 52], [44, 51, 53], [49, 48, 61], [50, 54, 55], [60, 63], [57, 67, 70], [65, 64, 69], [73, 76, 66], [75, 71, 74], [72, 79], [82, 78], [80, 77, 85], [83, 81], [86, 84, 87, 88]]
10: [[39, 10], [9, 37, 7], [4, 3, 1], [6, 5], [8, 2, 68], [14, 41, 15], [18, 11, 17], [28, 12, 13], [22, 24, 16], [23, 19, 20], [29, 21, 59], [25], [27, 31, 26], [58, 62], [34, 30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43], [52, 44], [51, 53], [49, 48, 61], [50, 54, 55], [60, 63], [57, 67, 70], [65, 64], [69, 73, 76], [66, 75, 71], [74, 72], [79, 82, 78], [80, 77, 85], [83, 81, 86], [84, 87, 88]]
11: [[39, 10, 9], [37, 7], [4, 3, 1], [6, 5, 8], [2, 68], [14], [41, 15, 18], [11, 17], [28, 12, 13], [22, 24, 16], [23, 19, 20], [29, 21, 59], [25, 27, 31], [26, 58, 62], [34, 30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43, 52], [44, 51, 53], [49, 48, 61], [50, 54, 55], [60, 63, 57], [67, 70, 65], [64, 69, 73], [76, 66, 75], [71, 74, 72], [79, 82, 78], [80, 77, 85], [83, 81, 86, 84, 87, 88]]
12: [[39, 10], [9, 37, 7], [4, 3, 1], [6, 5], [8, 2, 68], [14, 41, 15], [18, 11, 17], [28, 12, 13], [22, 24, 16], [23, 19, 20], [29, 21, 59], [25], [27, 31, 26], [58, 62], [34, 30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43], [52, 44], [51, 53], [49, 48, 61], [50, 54, 55], [60, 63], [57, 67, 70], [65, 64], [69, 73, 76], [66, 75, 71], [74, 72], [79, 82, 78], [80, 77, 85], [83, 81, 86], [84, 87, 88]]
13: [[39, 10], [9, 37, 7], [4, 3, 1], [6, 5, 8], [2, 68], [14, 41, 15], [18, 11, 17, 28], [12, 13, 22], [24, 16, 23], [19, 20, 29], [21, 59, 25], [27, 31], [26, 58, 62], [34, 30, 33], [32, 35, 46], [42, 38], [40, 56], [45, 47, 36], [43, 52, 44], [51, 53, 49], [48, 61, 50], [54, 55, 60], [63, 57, 67], [70, 65, 64], [69, 73], [76, 66], [75, 71, 74], [72, 79, 82], [78, 80, 77], [85, 83, 81], [86], [84, 87, 88]]
14: [[39, 10], [9, 37, 7], [4, 3, 1], [6, 5, 8], [2, 68, 14], [41, 15, 18], [11, 17, 28], [12, 13, 22], [24, 16], [23, 19], [20, 29, 21, 59], [25, 27, 31], [26, 58, 62], [34, 30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43, 52], [44, 51, 53], [49, 48, 61], [50, 54, 55], [60, 63, 57], [67, 70, 65], [64, 69, 73], [76, 66, 75], [71, 74, 72], [79, 82, 78], [80, 77, 85], [83, 81, 86], [84, 87, 88]]
15: [[39, 10, 9], [37, 7], [4, 3, 1], [6, 5, 8], [2, 68], [14, 41, 15], [18, 11, 17], [28, 12, 13], [22, 24, 16], [23, 19, 20], [29, 21, 59], [25, 27, 31], [26, 58, 62], [34, 30, 33], [32, 35], [46, 42, 38], [40, 56, 45], [47, 36, 43], [52, 44, 51], [53, 49, 48], [61, 50, 54], [55, 60, 63], [57, 67, 70], [65, 64, 69], [73, 76, 66], [75, 71], [74, 72], [79, 82, 78], [80, 77, 85], [83, 81], [86, 84, 87, 88]]
16: [[39, 10], [9, 37, 7], [4, 3, 1], [6, 5], [8], [2, 68, 14], [41, 15], [18, 11, 17], [28, 12, 13], [22, 24, 16], [23, 19, 20], [29, 21, 59], [25, 27, 31], [26, 58, 62], [34, 30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43, 52], [44, 51, 53], [49, 48, 61], [50, 54, 55], [60, 63], [57, 67, 70], [65, 64, 69], [73, 76, 66], [75, 71, 74], [72, 79, 82], [78, 80, 77], [85], [83, 81, 86], [84, 87, 88]]
17: [[39, 10, 9], [37, 7, 4], [3, 1, 6], [5, 8], [2, 68, 14], [41, 15, 18], [11, 17, 28], [12, 13, 22], [24, 16, 23], [19, 20, 29], [21, 59, 25], [27, 31, 26], [58, 62, 34], [30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43, 52], [44, 51, 53], [49, 48, 61], [50, 54, 55, 60, 63, 57, 67, 70, 65, 64, 69, 73, 76, 66, 75, 71, 74, 72, 79, 82, 78, 80, 77, 85, 83, 81, 86, 84, 87, 88]]
18: [[39, 10], [9, 37, 7], [4, 3, 1], [6, 5], [8], [2, 68, 14], [41, 15], [18, 11, 17], [28, 12, 13], [22, 24, 16], [23, 19, 20], [29, 21, 59], [25, 27, 31], [26, 58, 62], [34, 30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43, 52], [44, 51, 53], [49, 48, 61], [50, 54, 55], [60, 63, 57], [67, 70, 65], [64, 69, 73], [76, 66, 75], [71, 74, 72], [79, 82, 78], [80, 77, 85], [83, 81, 86], [84, 87, 88]]
19: [[39, 10, 9], [37, 7], [4, 3, 1], [6, 5, 8], [2, 68], [14, 41, 15], [18, 11, 17], [28], [12, 13, 22], [24, 16], [23, 19, 20], [29, 21, 59], [25, 27, 31], [26, 58], [62, 34, 30], [33, 32, 35], [46, 42, 38], [40, 56, 45], [47, 36], [43, 52], [44, 51, 53], [49, 48, 61], [50, 54], [55, 60, 63, 57, 67, 70, 65, 64, 69, 73], [76, 66, 75, 71, 74, 72, 79, 82, 78, 80, 77, 85, 83, 81, 86, 84, 87, 88]]
20: [[39, 10], [9, 37, 7], [4, 3, 1], [6, 5, 8], [2, 68], [14, 41, 15], [18, 11, 17], [28, 12, 13], [22, 24, 16], [23, 19, 20], [29, 21, 59], [25, 27, 31], [26, 58, 62], [34, 30, 33], [32, 35, 46], [42, 38, 40], [56, 45, 47], [36, 43, 52], [44, 51, 53], [49, 48, 61], [50, 54, 55], [60, 63, 57, 67, 70, 65, 64, 69, 73, 76, 66, 75, 71, 74, 72], [79, 82, 78, 80, 77, 85, 83, 81, 86, 84, 87, 88]]
