0: [[2, 1], [3, 8], [5, 7], [13, 11, 12], [10, 9], [14, 16, 4, 6, 15], [18, 17, 19, 20]]
1: [[2, 1], [3, 8], [5, 7, 13], [11, 9, 12], [10, 6, 14, 4], [16, 15], [17, 19, 18, 20]]
2: [[2, 1], [3, 8], [5, 7, 13], [11, 12, 10, 9], [14, 16, 6], [18, 17, 19, 20, 4, 15]]
3: [[2, 1], [3, 8], [5, 7, 13], [11, 12, 9], [14, 10, 6], [16, 19, 17, 18, 20, 4, 15]]
4: [[2, 1], [3, 8], [5, 7], [13, 11, 9], [12, 10], [14, 4, 6], [18, 19, 20], [17, 16, 15]]
5: [[2, 1], [3, 8], [5, 7], [13, 11, 9], [10, 12], [14, 6], [17, 16, 18, 19, 20, 4, 15]]
6: [[2, 1], [3, 8], [5, 7], [13, 11, 9], [10, 12], [14, 6], [17, 16, 18, 19, 20, 4, 15]]
7: [[2, 1], [3, 8], [5, 7], [13, 11, 9], [14, 6], [10, 12, 4], [17, 16, 18, 19, 20, 15]]
8: [[2, 1], [3, 8], [5, 7], [13, 11, 9], [14, 4, 6], [10, 12], [17, 16, 19, 15], [18, 20]]
9: [[2, 1], [3, 8], [5, 7], [13, 11, 9], [14, 6], [10, 4], [12, 15], [17, 16, 18, 19, 20]]
10: [[2, 1], [3, 8], [5, 7], [13, 11, 9], [12], [14, 20, 4], [10, 6], [19, 17], [16, 18, 15]]
11: [[2, 1, 3, 8], [5, 7], [13, 11, 4, 10, 9, 14], [6], [12, 15, 17, 16, 18, 19, 20]]
12: [[2, 1], [3, 8], [5, 7], [13, 11, 12], [14, 9, 6, 15], [16], [10, 17], [19, 18], [20, 4]]
13: [[2, 1], [3, 8], [5, 7], [13, 11, 9], [12], [14, 4, 6], [10, 16, 19, 17, 15], [20, 18]]
14: [[2, 1], [3, 8], [5, 7], [13, 11, 4], [10, 9, 14, 6, 12], [15, 17, 18, 16], [19, 20]]
15: [[2, 1], [3, 8], [5, 7], [13, 11, 12], [10], [20, 14, 9, 4], [18, 17], [16, 19, 6, 15]]
16: [[1], [3, 8], [5, 7, 13, 11, 9, 2], [10, 12, 14, 4, 6], [18, 15, 19, 17, 20, 16]]
17: [[2, 1, 3, 8], [5, 7], [13, 11, 10, 14, 9, 4], [12, 6], [18, 15, 16, 17, 19, 20]]
18: [[2, 1], [3, 8], [5, 7, 13], [11, 12], [14, 10, 9, 6], [20], [19, 17], [18, 16, 4, 15]]
19: [[2, 1], [3, 8], [5, 7], [13, 11], [9, 14, 4], [10, 6], [12, 16, 17, 15, 18, 19, 20]]
20: [[1, 2], [3, 8], [5, 7, 13, 11, 9], [14], [12, 10, 4, 6, 15], [17, 19, 16, 20, 18]]
21: [[2, 1], [3, 8, 5], [7, 13, 11, 10, 9, 6], [12, 14, 18, 15, 17, 19, 16, 20, 4]]
22: [[2, 1, 3, 8], [5, 7], [13, 11, 12, 4], [14, 10, 15, 16, 18, 17, 19, 20, 9, 6]]
23: [[2, 1], [3, 8], [5, 7, 13, 11, 9], [12, 10, 14, 16, 15, 19, 17, 18, 20, 4, 6]]
24: [[2, 1], [3, 8], [5, 7], [13, 11, 9, 4, 6], [12, 14, 10, 15, 17, 18, 16, 19, 20]]
25: [[2, 1, 3, 8], [5, 7], [13, 11, 12, 14], [10, 15, 16, 18, 17, 19, 20, 9, 4], [6]]
26: [[2, 1], [3, 8], [5, 7, 13, 11, 9], [12], [10, 18], [14, 16, 4, 6], [17, 15], [19, 20]]
27: [[2, 1], [3, 8, 5], [7], [13], [11, 12, 10, 9], [14, 4, 6], [17, 16, 18, 15], [19, 20]]
28: [[2, 1, 3], [8, 5, 7, 13, 11, 9], [12, 10, 14, 4, 6], [15, 18, 16, 17, 19, 20]]
29: [[2, 1], [3, 8, 5], [7, 13, 9], [11, 12], [10, 4, 6], [14], [16, 19, 17, 15], [20, 18]]
30: [[2, 1, 3], [8, 5], [7, 13, 11, 9], [12, 14, 4, 6], [10], [16, 15], [18, 17, 19, 20]]
31: [[2, 1, 3, 8, 5], [7, 13, 11, 9, 6, 14], [12, 4, 15, 10, 16, 19, 17, 18, 20]]
32: [[2, 1], [3, 8], [5, 7, 13, 11, 9], [12, 14], [10], [19, 18], [17, 16, 6, 15], [20, 4]]
33: [[2, 1], [3, 8, 5], [7, 13, 9], [11], [14, 4], [10], [12, 16, 6, 15], [17], [18, 19, 20]]
34: [[2, 1, 3], [8, 5, 7, 13, 9], [11], [12, 10, 14, 6], [15, 16, 17, 18, 19, 20, 4]]
35: [[2, 1], [3], [8, 5, 7], [13, 11, 9], [10, 12], [14, 4, 6], [18], [17, 19, 16, 20, 15]]
36: [[2, 1], [3, 8, 5], [7, 13, 9], [11, 14], [10, 12, 17, 4, 6], [19, 18, 20, 16, 15]]
37: [[2, 1], [3, 8, 5], [7, 13, 11, 9, 4], [10, 12, 14, 16, 15, 19, 17, 18, 20, 6]]
38: [[2, 1], [3, 8, 5], [7, 13, 11, 9], [14], [10, 6], [20, 18], [12, 19, 15], [16, 17, 4]]
39: [[2, 1], [3, 8, 5, 7], [13, 11, 12, 4, 9, 6, 14, 10, 15, 16, 19, 17, 18, 20]]
40: [[2, 1], [3, 8, 5, 7], [13, 11, 12, 9, 14, 6, 10, 4, 16, 15, 17, 18, 19, 20]]
41: [[2, 1], [3, 8, 5, 7], [13, 11, 4, 6, 9, 10, 12, 14, 19, 15, 18, 17, 20, 16]]
