0: [[9, 6, 4, 2, 1, 5, 13], [11, 7], [12, 10, 14], [8, 15], [18, 16, 3], [17, 19, 20], [21, 22, 23, 24]]
1: [[9, 6, 4, 2, 5, 1], [11, 7], [12, 10, 14], [8, 13, 15], [18, 16, 3], [17, 19, 20], [21, 22, 23, 24]]
2: [[3, 6, 4, 5], [2, 11, 7], [12, 10, 14], [8, 13, 15], [18, 16], [17, 19, 20, 9, 1], [21, 22, 23, 24]]
3: [[3], [6, 4, 2, 5], [11, 7, 12], [10, 14], [8, 13, 9], [15, 18], [16, 17, 19, 20, 1], [21, 22, 23, 24]]
4: [[3], [6, 4, 2, 5], [11, 7, 12], [10, 14], [8, 13, 9, 1], [15, 18, 16], [17, 19, 20], [21, 22, 23, 24]]
5: [[9, 6, 4, 5, 3], [2, 11], [7, 12, 10, 14], [8, 13, 15, 18], [16, 17, 19, 20, 1], [21, 22, 23, 24]]
6: [[3, 6, 5, 9], [4, 2, 11, 7], [12, 10, 14], [8, 13, 15, 18], [16, 17, 19, 20, 1], [21, 22, 23, 24]]
7: [[3, 6, 4, 5], [2, 11, 7], [12, 10, 14], [8, 13, 9], [15, 18], [16, 17, 19, 20, 1], [21, 22], [23, 24]]
8: [[3, 6, 4, 2, 11, 5], [7, 12], [10, 14, 8, 13, 15], [18, 16], [17, 19, 20, 9, 1], [21, 22, 23, 24]]
9: [[3, 6, 4, 5], [2, 11, 7], [12, 10, 14, 8], [13, 15, 18], [16, 17, 19, 20, 9, 1], [21, 22], [23, 24]]
10: [[3, 6, 4, 5], [2, 11, 7], [12, 10, 14, 8], [13, 15, 18], [16, 17, 19, 20, 9, 1], [21, 22], [23, 24]]
11: [[3, 6, 4, 5], [2, 11, 7], [12, 10, 14, 8], [13, 15, 18], [16, 17, 19, 20, 9, 1], [21, 22], [23, 24]]
12: [[3, 6, 4, 5], [2, 11, 7], [12, 10, 14, 8], [13, 15, 18], [16, 17, 19, 20, 9, 1], [21, 22], [23, 24]]
13: [[3, 6, 9, 1], [4, 2], [11, 7], [12, 10, 14], [8, 13, 15, 18], [16, 17, 19, 5], [20, 21, 22], [23, 24]]
14: [[9], [6, 4, 5, 3], [2, 11, 1], [7, 12, 10, 14], [8, 13, 15, 18, 16, 17, 19, 20], [21, 22], [23, 24]]
15: [[9, 6, 4, 5], [2, 11], [7, 12, 10, 3], [14, 8], [13, 15, 18], [16, 17, 19, 20, 1], [21, 22, 23, 24]]
16: [[3, 6], [4, 2, 11, 1], [7, 12], [10, 14], [8, 13, 5, 9], [15, 18, 16], [17, 19, 20], [21, 22], [23, 24]]
17: [[3, 6, 4, 5, 1], [2, 11, 7], [12, 10, 14], [8, 13, 15, 9], [18, 16, 17, 19], [20, 21], [22, 23, 24]]
18: [[5, 9, 3, 6, 4, 2, 1], [11, 7], [10, 14, 8, 13, 15, 18, 16, 17, 19, 12], [20, 21], [22, 23, 24]]
19: [[3], [6, 4, 5], [2, 11, 7], [12, 10, 14], [8, 13, 9], [15, 18, 16, 17], [19, 20, 21, 1], [22, 23, 24]]
20: [[3, 6], [4, 2], [11, 7], [12, 10, 14], [8, 13, 5, 9], [15, 18], [16, 17, 19, 1], [20, 21], [22, 23, 24]]
21: [[3], [6, 4, 2, 5], [11, 7], [12, 10], [14, 8, 13, 9], [15, 18, 16, 17], [19, 20, 21, 22, 1], [23, 24]]
22: [[3, 6, 4, 2, 11, 7, 12, 5], [10, 14, 8, 13], [15, 18, 16], [17, 19, 20, 21, 9, 1], [22, 23, 24]]
23: [[5, 9, 3, 4, 1, 6], [2, 11], [7, 12, 10, 14, 8, 13], [15, 18, 16, 17, 19, 20, 21, 22], [23, 24]]
24: [[9, 6, 4, 5], [2, 11], [7, 12, 10, 14], [8, 13], [15, 18], [16, 17, 3], [19, 20, 21, 1], [22, 23, 24]]
25: [[5, 9, 1, 3, 6, 4], [2, 11], [7, 10, 14, 8, 13, 15, 18, 16, 19, 20, 12, 17], [21, 22], [23, 24]]
26: [[5, 9, 1, 3, 6, 4, 2, 11, 7, 12, 10, 14, 8, 13, 15, 18, 16, 17, 19, 20], [21, 22], [23, 24]]
27: [[3, 6, 4, 5], [2, 11, 7], [12, 10], [14, 8, 13], [15, 18, 16], [17, 19, 9, 1], [20, 21], [22, 23, 24]]
28: [[9, 6, 4, 5, 1], [2, 11, 7], [12, 10, 14], [8, 13, 15, 18], [16, 17, 3], [19, 20, 21, 22, 23, 24]]
29: [[9, 6, 4, 5], [2, 11], [7, 12], [10, 14, 8, 13], [15, 18, 16, 3], [17, 19, 20, 21, 1], [22, 23, 24]]
30: [[3], [6, 4, 2, 11, 7, 5], [12, 10, 14, 8, 13], [15, 18], [16, 17, 9, 1], [19, 20], [21, 22], [23, 24]]
31: [[3, 6, 4, 5], [2, 11], [7, 12], [10, 14, 8], [13, 15, 18], [16], [17, 19, 9, 1], [20, 21, 22], [23, 24]]
32: [[3, 6, 9], [4, 2, 11, 7, 1], [12, 10, 5], [14, 8, 13], [15, 18], [16, 17, 19], [20, 21, 22, 23, 24]]
33: [[5, 9, 1, 3, 6, 4, 2], [11, 7, 12, 10, 14, 8, 13, 15, 18, 16, 17], [19, 20, 21, 22, 23, 24]]
34: [[3, 6, 4, 5], [2, 11], [7, 12, 10], [14, 8, 9], [13, 15, 18], [16, 17, 19, 1], [20, 21], [22, 23, 24]]
35: [[9, 3, 6, 4, 2, 5, 1], [11, 7], [12, 10, 14], [8, 13], [15, 18, 16, 17, 19, 20, 21, 22, 23, 24]]
36: [[1, 3, 6, 4, 2, 11, 5], [7, 12, 10, 14, 8, 13, 15, 18], [16, 17, 9], [19, 20, 21, 22, 23, 24]]
37: [[5, 9, 1, 3, 6, 4], [2, 11, 7], [12, 10, 14, 8, 13, 15, 18, 16, 17, 19, 20, 21, 22, 23, 24]]
38: [[9, 3, 6, 4, 2, 11, 7, 5, 1], [12, 10], [14, 8, 13, 15], [18, 16], [17, 19, 20, 21, 22, 23, 24]]
39: [[9, 6, 4, 5], [2, 11], [7, 12, 10], [14, 8, 13], [15, 18], [16, 17, 19, 1, 3], [20, 21, 22, 23], [24]]
40: [[5, 9, 1], [3, 4, 6], [2, 11, 7], [12, 10, 14, 8, 13, 15, 18, 16, 17, 19, 20, 21, 22, 23, 24]]
41: [[9, 1, 3, 6], [4, 2, 5], [11, 7, 12, 10, 14, 8, 13, 15, 18, 16, 17, 19, 20, 21, 22, 23, 24]]
42: [[5, 9, 6, 4, 1, 3], [2, 11], [7, 12], [10, 14], [8, 13, 15, 18, 16, 17, 19, 20, 21, 22, 23, 24]]
43: [[9, 5], [3, 6], [4, 2, 11, 1], [7, 12, 10, 14], [8, 13, 15, 18, 16, 17, 19, 20, 21, 22, 23, 24]]
44: [[5, 9, 1], [3, 6, 4, 2], [11, 7, 12, 10, 14, 8, 13, 15, 18, 16, 17, 19, 20, 21, 22, 23, 24]]
45: [[5, 9], [1, 3, 6, 4, 2, 11, 7], [12, 10, 14, 8, 13, 15, 18, 16, 17, 19, 20, 21, 22, 23, 24]]
46: [[9, 1], [3, 6, 4, 5], [2, 11], [7, 12], [10, 14, 8, 13, 15, 18, 16, 17, 19, 20, 21, 22, 23, 24]]
47: [[5], [3], [6, 4, 2, 11, 9, 1], [7, 12, 10, 14, 8, 13, 15, 18, 16, 17, 19, 20, 21, 22, 23, 24]]
48: [[3], [6, 4, 5, 9, 1], [2, 11], [7, 12], [10, 14, 8, 13], [15, 18, 16, 17, 19, 20, 21, 22, 23, 24]]
49: [[5, 9], [1, 3], [6, 4, 2, 11, 7, 12, 10, 14, 8, 13, 15, 18, 16, 17, 19, 20, 21, 22, 23, 24]]
