0: [[1, 3], [4], [7, 10, 8, 5, 2], [12, 9, 11, 13], [6, 14, 15, 16], [18, 19, 20, 17]]
1: [[1, 3], [7, 10, 8, 5, 4, 2], [12, 9, 11, 13], [6, 14, 15, 16], [18, 19, 20, 17]]
2: [[1, 3], [7, 10, 8, 4, 5, 2], [9, 12, 11, 13], [6, 14, 15, 16], [18, 19, 20, 17]]
3: [[1, 3], [7, 10, 8, 5, 4, 2], [13, 9, 11, 12], [6, 14, 15, 16], [18, 19, 20, 17]]
4: [[1, 3], [7, 10, 8], [2, 5], [6, 4], [12, 11, 13], [9, 14, 15, 16], [18, 19, 20, 17]]
5: [[1, 3, 11], [8, 4, 7, 2, 6], [5, 9, 10, 13], [12, 14, 15, 16], [18, 19, 20, 17]]
6: [[1, 3], [7, 8, 10, 2], [5, 9], [4, 6, 11, 13], [12, 14, 15, 16], [18, 19, 20, 17]]
7: [[1], [7, 10, 2], [8, 6, 3], [4, 5], [11, 13, 9], [12, 14, 15, 16], [18, 19, 20, 17]]
8: [[1, 3], [11, 10], [8, 7, 2, 6], [4, 5], [9, 13, 12, 14], [15, 16], [18, 19, 20, 17]]
9: [[1, 3, 7], [10, 8, 2], [4, 6], [12, 5], [11, 13, 9], [14, 15, 16], [18, 19, 20, 17]]
10: [[1], [4, 8, 2], [9, 5, 7, 10], [6, 11, 13, 3], [12, 14, 15, 16], [18, 19, 20, 17]]
11: [[1, 3], [7, 10], [8, 9, 2, 6], [4, 5], [11, 13], [12, 14, 15, 16], [18, 19, 20, 17]]
12: [[1, 3], [7, 10], [8, 9, 2, 6], [4, 5], [11, 13], [12, 14, 15, 16], [18, 19, 20, 17]]
13: [[1, 3], [7, 10], [8, 9, 2, 6], [4, 5], [11, 13], [12, 14, 15, 16], [18, 19, 20, 17]]
14: [[1, 3, 7], [8, 10], [2, 4, 6], [12, 5, 11, 13], [9, 14, 15, 16], [18, 19, 20, 17]]
15: [[1, 3], [6, 11], [8, 4, 2], [5, 7], [10, 9, 13, 14], [12, 15, 16], [18, 19, 20, 17]]
16: [[1], [14, 8, 2], [4, 5, 3], [7, 9, 10, 15, 6], [12, 13, 11, 16], [18, 19, 20, 17]]
17: [[1], [14, 8, 2], [4, 5, 3], [7, 9, 10, 15, 6], [12, 13, 11, 16], [18, 19, 20, 17]]
18: [[1, 3], [6, 2], [10, 8, 5], [4, 9], [7, 11, 13, 12], [14, 15, 16, 18], [19, 20, 17]]
19: [[1, 3], [7, 10, 8], [2, 12, 4], [5, 11, 13, 6, 9], [14, 15, 16, 18], [19, 20, 17]]
20: [[1, 3], [7, 10, 8], [4, 2], [6, 5, 9, 11], [13, 12, 14, 15], [16, 18, 19], [20, 17]]
21: [[1, 3, 5], [6, 10], [7, 4, 2], [12, 11], [9, 13, 8], [14, 15, 16, 18], [19, 20, 17]]
22: [[1, 3], [7], [10, 2, 8], [4, 9], [5, 6, 11, 13], [12, 14, 15, 16], [18, 19, 20, 17]]
23: [[1, 3], [6, 11, 8], [5, 4, 2, 12], [7, 10, 13, 9], [14, 15, 16, 18, 19, 20, 17]]
24: [[1, 3], [7, 8, 10, 2], [6, 12, 4, 5], [11, 13, 9, 14, 15, 16, 18, 19, 20, 17]]
25: [[1], [7], [5, 6, 2, 10, 4], [12, 9, 11, 14, 3], [8, 13, 15, 16], [18, 19, 20, 17]]
26: [[1], [7], [5, 6, 2, 10, 4], [12, 9, 11, 14, 3], [8, 13, 15, 16], [18, 19, 20, 17]]
27: [[1, 3], [7, 10, 8, 4], [2, 6, 5, 9], [11, 13, 12, 14, 15, 16, 18, 19, 20, 17]]
28: [[1, 3], [7, 10], [8, 4, 5], [2, 12, 6], [9, 13, 11], [14, 15], [16, 18], [19, 20, 17]]
29: [[1, 3], [11, 8, 9, 2], [5, 6], [4, 12, 7, 13], [10, 14, 15, 16], [18, 19, 20, 17]]
30: [[1, 3, 9], [2, 8, 4, 5], [6, 10, 12, 7], [13, 11, 14, 15], [16, 18, 19, 20, 17]]
31: [[1, 3], [7, 2], [10, 9, 4], [6, 8, 5], [11, 13, 12], [14, 15], [16, 18], [19, 20, 17]]
32: [[1, 3], [6, 11, 8], [4, 5], [2, 12], [7, 9, 13], [10, 14, 15, 16], [18, 19, 20, 17]]
33: [[1, 3], [5, 12, 10, 2], [4, 7, 8, 9], [11, 13, 6, 14], [15, 16, 18, 19, 20, 17]]
34: [[1, 3], [6, 14, 8, 2], [5, 4, 12, 13, 10, 15, 7, 9, 11, 16, 18, 19, 20, 17]]
35: [[1, 3, 7], [10, 4], [2, 9, 12], [8, 5, 11, 13], [6, 14, 15, 16], [18, 19, 20, 17]]
36: [[1, 3, 7], [8, 4], [13, 2, 6, 5], [9, 10, 11, 12], [14, 15, 16, 18, 19, 20, 17]]
37: [[1, 3], [6, 2], [10, 8, 5], [4, 9], [13, 11], [7, 12, 14], [15, 16, 18], [19, 20, 17]]
38: [[1, 3], [6, 8, 7, 5], [15, 2], [4, 9, 11, 13], [12, 14, 10, 16], [18, 19, 20, 17]]
39: [[1, 3, 5], [6], [10, 9], [4, 2], [12, 7, 11], [13, 8, 14, 15], [16, 18, 19, 20, 17]]
