0: [[37, 4, 22, 20, 1, 2, 6, 7], [9, 11, 3], [12, 5, 13], [8, 19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23, 27], [25, 28, 26], [30, 31, 34, 33, 32], [35], [36]]
1: [[37, 4, 22, 20, 1, 2, 6, 7], [9, 11, 3], [12, 5, 13], [8, 19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23, 27], [25, 28, 26], [30, 31, 34, 33, 32], [35], [36]]
2: [[37, 4, 22, 20, 1, 2, 6, 7], [9, 11, 3], [12, 5, 13], [8, 19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23, 27], [25, 28, 26], [30, 31, 34, 33, 32], [35], [36]]
3: [[37, 4, 22, 20, 1, 2, 6, 7], [9, 11, 3], [12, 5, 13], [8, 19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23, 27], [25, 28, 26], [30, 31, 34, 33, 32], [35], [36]]
4: [[37, 4, 22, 20, 1, 2], [6, 7, 9], [11, 3, 12], [5, 13, 8], [19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23, 27], [25, 28, 26], [30, 31, 34, 33, 32], [35], [36]]
5: [[37, 4, 22, 20, 1, 2], [6, 7, 9], [11, 3, 12], [5, 13, 8], [19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23, 27], [25, 28, 26], [30, 31, 34, 33, 32], [35], [36]]
6: [[37, 4, 22, 20, 1, 2, 6, 7], [9, 11, 3], [12, 5, 13], [8, 19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23, 27], [25, 28], [26], [30, 31, 34, 33, 32, 35, 36]]
7: [[37, 4, 22], [20, 1, 2], [6, 7, 9], [11, 3, 12], [5, 13, 8], [19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23, 27], [25, 28, 26], [30, 31, 34, 33], [32, 35, 36]]
8: [[37, 4, 22], [20, 1, 2], [6, 7, 9], [11, 3, 12], [5, 13, 8], [19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23, 27], [25, 28, 26], [30, 31, 34, 33], [32, 35, 36]]
9: [[37, 4, 22], [20, 1, 2], [6, 7, 9], [11, 3, 12, 5], [13, 8], [19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23], [27], [25, 28, 26], [30, 31, 34, 33, 32], [35, 36]]
10: [[37, 4, 22], [20, 1, 2], [6, 7, 9], [11, 3, 12], [5, 13, 8], [19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23, 27], [25, 28, 26], [30, 31, 34], [33, 32, 35, 36]]
11: [[37, 4, 22], [20, 1, 2], [6, 7, 9], [11, 3], [12, 5, 13], [8, 19, 15], [10, 18, 24], [17, 29, 14], [16, 21, 23], [27, 25, 28, 26], [30, 31, 34, 33, 32], [35, 36]]
12: [[37, 4, 22, 20, 1, 2, 6, 7], [9, 11, 3], [12, 5, 13], [8, 19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23], [27, 25, 28], [26, 30, 31, 34, 33, 32, 35, 36]]
13: [[37, 4, 22, 20], [1, 2, 6], [7, 9, 11, 3], [12, 5, 13], [8], [19, 15, 10], [18, 24, 17], [29, 14, 16, 21, 23], [27], [25, 28, 26], [30, 31, 34, 33, 32, 35, 36]]
14: [[37, 4, 22, 20, 1, 2, 6, 7], [9, 11, 3], [12, 5, 13], [8, 19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23, 27, 25, 28, 26, 30, 31, 34, 33, 32, 35, 36]]
15: [[37, 4, 22, 20, 1, 2, 6, 7], [9, 11, 3], [12, 5, 13], [8, 19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23, 27, 25, 28], [26, 30, 31, 34, 33, 32, 35, 36]]
16: [[37, 4, 22], [20, 1, 2], [6, 7], [9, 11, 3], [12, 5], [13, 8, 19], [15, 10, 18], [24, 17, 29], [14, 16, 21], [23, 27], [25, 28, 26], [30, 31, 34, 33], [32, 35, 36]]
17: [[37, 4, 22, 20, 1, 2, 6, 7], [9, 11, 3], [12, 5, 13], [8, 19, 15, 10], [18, 24, 17], [29, 14, 16], [21, 23, 27, 25, 28], [26, 30], [31, 34, 33, 32, 35, 36]]
18: [[37, 4, 22, 20, 1, 2, 6, 7], [9, 11, 3], [12, 5], [13], [8, 19, 15], [10, 18, 24, 17, 29], [14, 16], [21, 23, 27, 25, 28, 26, 30, 31, 34, 33, 32, 35, 36]]
19: [[37, 4, 22, 20], [1, 2, 6], [7, 9, 11, 3], [12, 5, 13], [8, 19, 15], [10, 18, 24], [17, 29], [14, 16], [21, 23, 27, 25, 28, 26], [30, 31, 34], [33, 32, 35, 36]]
20: [[37, 4, 22], [20, 1, 2], [6, 7, 9], [11, 3], [12, 5, 13], [8, 19, 15], [10, 18, 24], [17, 29, 14], [16, 21, 23], [27, 25, 28, 26], [30, 31, 34, 33, 32, 35, 36]]
21: [[37, 4, 22], [20, 1], [2, 6, 7], [9, 11, 3], [12, 5, 13], [8, 19, 15], [10, 18], [24, 17, 29], [14, 16], [21, 23, 27, 25], [28, 26], [30, 31, 34], [33, 32, 35, 36]]
22: [[37, 4, 22], [20, 1, 2], [6, 7], [9], [11, 3, 12], [5, 13], [8, 19, 15], [10, 18, 24], [17, 29, 14], [16, 21, 23], [27, 25, 28, 26], [30, 31, 34, 33], [32, 35, 36]]
