0: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10, 29], [12, 18, 20, 24], [16, 23], [27, 21], [25, 28, 26], [30, 31, 34, 32, 33], [35, 37, 36]]
1: [[19, 4], [17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10, 29], [12, 18, 20, 24], [16, 23], [27, 21], [25, 28, 26], [30, 31, 34], [32, 33, 35, 37, 36]]
2: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10, 29], [12, 18, 20, 24], [16, 23, 27, 21, 25], [28, 26], [30, 31, 34], [32, 33, 35], [37, 36]]
3: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10, 29], [12, 18, 20, 24], [16, 23, 27], [21, 25, 28], [26, 30, 31], [34, 32, 33], [35, 37, 36]]
4: [[19], [4, 17, 9], [3, 22, 1], [2, 6, 13], [5, 11, 15, 7, 8], [14, 10, 29], [12, 18, 20, 24, 16], [23, 27, 21], [25, 28, 26], [30, 31, 34, 32, 33, 35, 37, 36]]
5: [[19], [4, 17, 9], [3, 22, 1], [2, 6, 13], [5, 11], [15, 7, 8], [14, 10, 29], [12, 18], [20, 24, 16], [23, 27, 21], [25, 28, 26], [30, 31, 34, 32, 33, 35, 37, 36]]
6: [[19, 4, 17], [9, 3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10, 29], [12, 18, 20], [24, 16], [23, 27, 21], [25, 28, 26], [30, 31], [34, 32], [33, 35, 37], [36]]
7: [[19], [4, 17, 9], [3, 22, 1], [2, 6, 13], [5, 11, 15, 7, 8, 14, 10, 29], [12, 18, 20], [24, 16], [23, 27, 21], [25, 28, 26], [30, 31, 34], [32, 33, 35], [37, 36]]
8: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10, 29], [12, 18, 20, 24, 16], [23, 27, 21], [25, 28, 26, 30, 31], [34, 32, 33], [35, 37, 36]]
9: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5], [11, 15, 7], [8, 14], [10, 29, 12], [18, 20, 24], [16, 23, 27], [21, 25, 28, 26], [30, 31, 34, 32, 33, 35, 37, 36]]
10: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5], [11, 15], [7, 8, 14], [10, 29, 12], [18, 20], [24, 16], [23, 27, 21], [25, 28, 26], [30, 31, 34], [32, 33, 35, 37, 36]]
11: [[19, 4, 17], [9, 3, 22, 1], [2, 6, 13], [5, 11], [15, 7, 8], [14, 10], [29], [12, 18, 20], [24, 16], [23, 27, 21], [25, 28, 26], [30, 31, 34], [32, 33], [35, 37, 36]]
12: [[19], [4, 17], [9, 3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10, 29], [12, 18, 20, 24], [16, 23, 27], [21, 25, 28], [26, 30, 31], [34, 32, 33], [35, 37, 36]]
13: [[19], [4, 17], [9, 3], [22, 1, 2], [6, 13, 5, 11], [15, 7, 8], [14, 10], [29, 12], [18, 20, 24], [16, 23], [27, 21, 25], [28, 26], [30, 31, 34], [32, 33, 35], [37, 36]]
14: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11], [15, 7], [8, 14, 10], [29, 12, 18], [20, 24, 16], [23, 27, 21], [25, 28], [26, 30], [31, 34, 32, 33], [35, 37, 36]]
15: [[19], [4, 17], [9, 3, 22], [1, 2, 6], [13, 5, 11], [15, 7, 8], [14, 10, 29], [12, 18, 20], [24, 16], [23, 27], [21, 25, 28], [26, 30, 31, 34], [32, 33, 35], [37, 36]]
16: [[19], [4, 17, 9], [3, 22], [1, 2, 6], [13, 5, 11, 15], [7, 8], [14, 10, 29], [12, 18, 20], [24, 16, 23, 27], [21, 25, 28], [26, 30, 31], [34, 32], [33, 35, 37, 36]]
