0: [[15, 18, 6, 8, 17, 13], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
1: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
2: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
3: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
4: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
5: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
6: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
7: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
8: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
9: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
10: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
11: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
12: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
13: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
14: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
15: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
16: [[15, 18, 13, 6, 8, 17], [16, 3], [10, 7, 11, 14], [21, 23, 24], [19, 5, 4, 12], [1, 2, 9, 22, 20]]
