0: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24], [4, 8, 13, 12], [9, 19, 17, 16], [15, 18, 28, 10, 14], [25, 20]]
1: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24], [4, 8, 13, 12], [9, 19, 17, 16], [15, 18, 28, 10, 14], [25, 20]]
2: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24, 4, 8, 13, 9, 16, 12, 17, 19, 15, 18, 28, 10, 14], [20, 25]]
3: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24], [4, 8, 13, 12], [9, 19, 17, 16], [15, 18, 28], [10, 14], [25, 20]]
4: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24], [4, 12], [8, 13], [9, 19, 17, 16, 15, 18, 28, 10, 14], [20, 25]]
5: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24], [4, 8, 13, 12], [9, 19, 17, 16], [15, 18, 28], [25, 20, 10, 14]]
6: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24], [4, 8], [13, 12], [9, 19, 17, 16], [15, 18], [28, 10, 14, 25, 20]]
7: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24], [4, 8, 13, 12], [9, 19, 17, 16], [15, 18, 28, 25], [20, 10, 14]]
8: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24], [4, 8], [13, 12, 9, 19], [17, 16], [15, 18], [28, 10], [14, 25, 20]]
9: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24], [4, 8], [13, 12], [9, 16, 17, 19], [15, 18, 28], [10, 14], [25, 20]]
10: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24], [4, 12, 8, 13, 9, 19, 17, 16, 15, 18, 28, 20, 25, 10, 14]]
11: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24], [4, 8], [13, 12], [9, 19, 17, 16], [15, 18, 28], [10, 14], [25, 20]]
12: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5, 2, 24], [4, 8], [13, 12], [9, 19, 17, 16], [15, 18, 28], [10, 14], [25, 20]]
13: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24, 4, 8], [13, 12], [9, 19], [17, 16, 15, 18], [28, 10], [20, 25, 14]]
14: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24], [4, 8, 13, 12], [9, 19], [17, 16], [15, 18, 28], [10, 14, 20, 25]]
15: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24], [4, 8, 13, 12], [9, 19, 17], [16, 15], [18, 28], [10, 14, 25, 20]]
16: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24, 4, 8], [13, 12, 9, 19, 17], [16, 15, 18, 28, 10, 14, 25, 20]]
17: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24], [4, 8, 13], [12, 9, 19, 17], [16, 15, 18, 28, 10, 14, 20, 25]]
18: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11], [6, 5], [2, 24, 4, 12], [8, 13, 9], [19, 17], [16, 15], [18, 28], [10, 14], [25, 20]]
19: [[26, 29, 21, 27], [1, 23, 7, 22], [3, 11, 6, 5], [2, 24, 4, 12], [8, 13, 9, 19, 17, 16, 15, 18, 28], [25, 20], [10, 14]]
