It No., Best MQ, No clusters, max clus, min clus
1,1.5218472251021875,5,18,17
2,2.7060619481158774,16,6,5
3,1.6936425495938396,5,18,17
4,2.4636579769295803,10,9,8
5,1.6059814223331486,11,8,8
6,1.7471755571280936,4,22,22
7,1.7183023522226932,4,22,22
8,1.670414447664645,4,22,22
9,2.0489082116411406,12,8,7
10,1.754473895471193,7,13,12
11,2.502278488977442,10,9,8
12,2.378953507901038,17,6,5
13,2.2309031593106927,12,8,7
14,1.5939546680263992,4,22,22
15,1.6537663814291224,4,22,22
16,1.854620480236983,12,8,7
17,1.4860600701500641,3,30,29
18,1.6830183778714112,4,22,22
19,1.4811257700069915,8,11,11
20,2.222317548246488,20,5,4
21,1.7704524056471007,9,10,9
22,2.0701260640993953,8,11,11
23,1.9632102136404412,14,7,6
24,1.685853591812982,4,22,22
25,2.0804933541741364,12,8,7
26,1.6098361995774295,4,22,22
27,1.4409349195124712,7,13,12
28,1.9175674719450877,18,5,4
29,1.6449845095618683,12,8,7
30,2.19205008643425,27,4,3
31,1.8359267267620374,16,6,5
