0: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
1: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
2: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
3: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
4: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
5: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
6: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
7: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
8: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
9: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
10: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
11: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
12: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
13: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
14: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
15: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
16: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
17: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
18: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
19: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
20: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
21: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
22: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
23: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
24: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
25: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
26: [[5, 2], [10, 3, 1, 4], [6, 11, 8], [13, 7, 12, 9]]
27: [[5], [10, 3, 1, 4], [6, 11, 8], [13, 12, 9, 7, 2]]
