0: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 9, 12, 11, 15, 8, 13, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
1: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 9, 8, 11, 15, 12, 13, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
2: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 15, 12, 9, 7, 8, 11, 13, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
3: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 13, 8, 11, 9, 12, 15, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
4: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [7, 13, 4, 8, 11, 9, 15, 12, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
5: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 12, 8, 11, 9, 13, 15, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
6: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 15, 12, 11, 13, 8, 9, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
7: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 13, 9, 11, 8, 12, 15, 18, 17, 16, 19], [22, 23, 20, 29, 25], [27, 26, 21]]
8: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 15, 12, 11, 7, 9, 8, 13, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
9: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 15, 8, 7, 11, 9, 12, 13, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
10: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 9, 8, 15, 11, 12, 13, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
11: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 13, 11, 8, 9, 12, 15, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
12: [[24, 5, 3, 28, 10, 1, 2, 6, 14], [4, 7, 8, 9, 15, 11, 13, 12, 18, 19, 16, 17], [22, 23, 20, 29, 25], [27, 26, 21]]
