0: [[1], [5, 25], [6, 2], [3, 10], [8, 4, 11, 13, 9, 12], [15, 17, 7, 14], [18, 16, 19], [20, 23, 22], [21, 26, 27], [24, 28, 29]]
1: [[1], [5, 25], [6, 2], [3, 10], [8, 4, 11, 13, 9, 12], [15, 17, 7, 14], [18, 16, 19], [20, 23, 22], [21, 26, 27], [24, 28, 29]]
2: [[1], [5, 25], [6, 2], [3, 10], [4, 9, 12], [13, 8, 11, 15, 7], [16, 18, 23, 17, 19, 22, 14], [20, 21, 27, 24, 26, 29, 28]]
3: [[1], [5, 25], [6, 2], [3, 8, 12, 4, 15, 7, 9, 11, 10, 17, 21, 14, 18, 13, 16, 20, 23, 22, 19, 24], [29, 26, 28, 27]]
4: [[1], [5, 25], [6, 2, 3, 12], [4], [13, 11, 7, 8, 9, 20, 24, 15, 10, 14], [17, 23, 27, 16, 18, 19, 22], [21, 26, 29], [28]]
5: [[1], [5, 25], [6, 2], [3, 12, 7, 4, 11, 13, 8, 9], [15, 29, 14, 10, 16, 17, 19, 20, 23, 18, 26, 22, 21, 24, 27, 28]]
6: [[1], [5, 25], [6, 2], [3, 12, 8, 4, 11, 9, 7, 13], [10, 15, 14, 26, 22, 29, 17, 16, 18, 23, 19, 28, 20, 24, 21, 27]]
7: [[1], [5, 25], [6, 2], [3, 7, 8, 12], [9, 13, 11, 4, 10, 15, 14, 16], [17], [20, 19, 18, 22, 23, 21], [24, 27, 26, 28, 29]]
8: [[1], [5, 25], [6, 2], [3, 12, 7, 4, 15, 8, 11, 9], [10, 13, 14, 17, 18, 29, 16, 22, 19, 23, 26, 28, 21, 24, 20, 27]]
9: [[1], [5, 25], [6, 2], [3, 13, 12, 4, 11], [8, 7, 9, 10, 15, 14, 16, 22, 21, 17, 19, 18, 20, 23, 28, 24, 26, 27, 29]]
10: [[1], [5, 25], [6, 2, 3, 8, 12, 7, 9, 14, 4, 11, 10, 13, 15, 16, 18, 21, 19, 22, 23, 20, 17, 27], [24, 28, 29, 26]]
11: [[1], [5, 25], [6, 2], [3, 12, 4, 14, 7, 11, 8], [9, 13, 15, 10, 20, 19, 22, 18, 16, 21, 17, 23, 26, 29, 24, 27, 28]]
12: [[1], [5, 25], [6, 2], [3, 4, 7, 12], [8, 14, 9, 11, 15, 10, 17, 16, 24, 28], [13, 18, 19, 21, 23, 26, 20, 29, 27, 22]]
13: [[1], [5, 25], [6, 2, 3, 4, 12, 10], [9, 7, 11, 15, 29, 28, 17, 16, 22, 18, 21, 13, 19, 23, 20, 24, 27, 26, 8, 14]]
14: [[1, 5, 25, 6, 2], [3, 8, 12, 4, 9, 15, 7, 11, 14, 10, 13, 17, 18, 16, 21, 20, 19, 23, 22], [27, 24, 26, 29, 28]]
15: [[1], [5, 25], [6, 2], [3, 14, 12, 7], [11, 4, 8], [9, 13], [15, 10], [16, 18, 19, 22, 17], [21, 20], [23, 29], [26, 24, 27, 28]]
16: [[1], [5, 25], [6, 2, 3, 12, 7, 4], [11, 8, 9, 13, 10, 14], [15, 16, 22, 29, 17], [20, 19], [18, 26, 28, 21, 27, 23, 24]]
17: [[1], [5, 25], [6, 2], [3, 4], [7, 15, 8], [9, 11, 10], [13, 21], [19, 14], [16, 17], [18, 20, 12], [26, 23, 22], [27], [28, 24, 29]]
18: [[1], [5, 25], [6, 2, 3, 12], [4], [7, 11, 10, 8, 9, 28, 13, 14, 19, 15], [21, 17, 16, 18, 22, 23, 20], [26, 24, 27], [29]]
19: [[1], [5, 25, 6], [2], [3, 4, 12, 7, 8], [15, 9, 10, 13], [11, 14, 18, 17, 16, 23, 20, 21, 19, 22, 29, 24, 26, 27, 28]]
20: [[1], [5, 25], [6, 2], [3, 12], [7, 4, 14, 15, 8, 9], [10, 11, 13, 18, 17, 16], [19, 21, 23, 20, 22, 27, 24, 26, 29, 28]]
21: [[1], [5, 25], [6, 2, 3, 14, 12, 4], [15, 13, 8, 10], [9, 7, 11, 27, 16, 17, 18, 21, 19, 20, 29, 22, 23, 24, 26, 28]]
22: [[1], [5, 25], [6, 2], [3, 4], [8, 12], [14, 15], [13, 9], [11, 10, 7], [19, 18, 16], [17, 21, 23], [22, 20, 26], [27, 24, 29, 28]]
23: [[1], [5, 25], [6, 2], [3, 8], [7, 4, 14, 9, 11, 12], [10, 13, 15, 21], [18, 16, 20, 17, 19, 22, 23, 26, 27, 24, 29, 28]]
24: [[1], [5, 25], [6, 2], [3, 4, 8, 7], [14, 15], [11, 9], [10, 12], [13, 17, 18, 20, 23], [24, 16], [19, 21, 22], [28], [26, 27, 29]]
25: [[1], [5, 25], [6, 2, 3, 12], [4], [13, 9, 15, 8], [14, 7, 11, 19, 18, 10, 16], [22, 27, 17], [20, 23, 26, 21], [24, 29, 28]]
26: [[1], [5, 25], [6, 2, 3], [4, 12, 7], [11, 8, 9], [10, 14, 15], [13, 21], [16, 19], [18, 17, 23, 20, 22, 28], [27, 24, 26, 29]]
27: [[1], [5, 25], [6, 2], [3, 10], [12, 4], [9, 13, 8, 7], [15, 11, 14, 16, 18, 20, 22, 17], [19], [23, 21, 27, 24], [26, 29, 28]]
28: [[1], [5, 25], [6, 2], [3, 10], [12, 4], [9, 13, 8, 7], [15, 11, 14, 16, 18, 20, 22, 17], [19], [23, 21, 27, 24], [26, 29, 28]]
29: [[1], [5, 25], [6, 2], [3, 10], [12, 4], [9, 13, 8, 7], [15, 11, 14, 16, 18, 20, 22, 17], [19], [23, 21, 27, 24], [26, 29, 28]]
30: [[1], [5, 25], [6, 2, 3], [8, 7, 4], [11, 10, 13, 9], [15, 23, 12], [20, 16, 14], [19, 17, 18], [21, 22, 26, 24, 27, 28, 29]]
31: [[1], [5, 25], [6, 2], [3, 14, 12, 4, 15, 8, 10, 11], [9, 7], [13, 27, 16, 17, 21, 20], [19, 22, 26, 28], [23, 24, 18, 29]]
32: [[1], [5, 25], [6, 2], [3, 4, 12, 7], [14, 10], [9, 11, 15, 13, 20], [17, 8, 16, 19, 22, 21, 18, 23, 24, 26, 27, 29, 28]]
33: [[1], [5, 25], [6, 2], [3, 7, 8], [4, 9], [13, 14, 11, 10, 15], [12], [24, 22, 21], [19, 16, 18, 17, 23, 20], [27, 26, 28, 29]]
34: [[1], [5, 25], [6, 2], [3, 4, 7, 14], [12, 8], [9, 11, 15, 10], [13, 18, 24, 28, 29, 16, 17, 21, 19, 27, 20, 22, 23, 26]]
35: [[1], [5, 25], [6, 2], [3, 8], [7, 4, 11, 10], [13, 9, 14], [12, 15, 17], [18, 16, 19], [21, 23], [20, 22, 26], [27, 24, 29, 28]]
36: [[1], [5, 25], [6, 2, 3], [9, 4], [12, 11], [7], [8, 10, 22, 24, 15, 18, 28, 17, 23, 13, 14, 16, 19, 20, 21, 26, 29, 27]]
37: [[1], [5, 25, 6, 2], [3, 12, 4, 8], [11, 15], [9, 7, 14], [13, 10, 18], [16, 17], [19, 21, 20], [22, 23, 26], [24, 27, 29, 28]]
38: [[1], [5, 25], [6, 2], [3, 7], [12], [4, 15], [9, 8, 10, 11, 13, 19], [27, 20, 17, 18], [21, 14, 22, 29, 26, 23, 24, 16, 28]]
39: [[1], [5, 25], [6, 2, 3], [7], [4, 15], [9, 8], [13, 11, 24, 29, 16, 10, 12, 14], [17, 19, 18, 20, 21, 23, 27, 28, 26, 22]]
40: [[1], [5, 25, 6, 2, 3, 4, 8], [7, 10, 15, 11, 9, 14, 12, 13, 17, 19, 20, 16, 28, 23, 18, 21, 22, 24, 26, 27, 29]]
41: [[1], [5, 25], [6, 2], [3, 7], [4, 14], [11, 8, 13], [12, 9, 15], [10, 27, 28, 21], [16, 22, 18, 17, 19, 20, 23, 24], [26, 29]]
42: [[1], [5, 25], [6, 2], [3, 14], [4, 10], [8, 13], [9, 12, 11, 17], [7, 27, 16], [15, 20, 21, 23], [22, 24, 26, 18, 19, 29, 28]]
43: [[1], [5, 25], [6, 2], [3, 8], [4, 13], [9, 15, 10, 7], [21, 11, 14, 12, 16, 18, 23, 17], [19], [20], [22, 27, 24, 26, 29, 28]]
44: [[1], [5, 25, 6, 2, 3, 12, 7, 4, 15, 8, 9, 10, 11, 13, 14, 17], [18, 26, 16, 21, 19, 22, 27, 20, 23, 24, 28, 29]]
45: [[1], [5, 25, 6], [2], [3], [10, 12], [4, 9], [15, 7], [13, 14], [8, 11, 19, 18], [16, 22, 21], [17], [23, 20, 29, 24], [26, 27, 28]]
46: [[1], [5, 25], [6, 2], [3, 4, 7], [12, 8, 14], [9, 11, 15, 10], [17, 16, 24, 28], [13, 18], [19, 21, 23, 26], [20, 29, 27, 22]]
47: [[1, 5, 25, 6], [2, 3, 13], [4, 7, 12, 8], [11, 9, 15, 26, 10, 28, 27, 14, 16, 23], [18, 21, 22, 17, 19, 20, 24, 29]]
