0: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
1: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
2: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
3: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
4: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
5: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
6: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
7: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
8: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
9: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
10: [[11, 21, 26, 15, 27, 13], [25, 3, 5, 6], [9, 17, 23, 18, 22], [16, 1, 2, 19], [7, 8, 4, 24, 28, 12], [29, 20, 10, 14]]
