0: [[1, 3, 5, 12, 2], [4, 10], [6, 9, 7, 8, 11, 13]]
1: [[1, 2, 3, 5, 12], [4, 10], [6, 9, 7, 8, 11, 13]]
2: [[1, 2, 3, 5, 12], [4, 10], [6, 9, 7, 8, 11, 13]]
3: [[1, 2, 3, 5, 12], [4, 10], [6, 9, 7, 8, 11, 13]]
4: [[1, 2, 3, 5, 12], [4, 10], [6, 9, 7, 8, 11, 13]]
5: [[1, 2, 3, 5, 12], [4, 10], [6, 9, 7, 8, 11, 13]]
6: [[1, 2, 3, 5, 12], [4, 10], [6, 9, 7, 8, 11, 13]]
7: [[1, 2, 3, 5, 12, 4, 10], [6, 9], [7, 8, 11, 13]]
8: [[1, 2, 3, 5, 12, 4], [10, 6], [9, 7, 8, 11, 13]]
9: [[1, 2, 3, 5, 12, 4], [10, 6], [9, 7, 8, 11, 13]]
10: [[1, 2, 3, 5, 12, 4], [10, 6], [9, 7, 8, 11, 13]]
11: [[1, 2, 3, 5, 12, 4], [10, 6], [9, 7, 8, 11, 13]]
12: [[1, 2, 3, 5, 12, 4], [10, 6], [9, 7, 8, 11, 13]]
13: [[1, 2, 3, 5, 12, 4], [10, 6], [9, 7, 8, 11, 13]]
14: [[1, 2, 3, 5, 12, 4], [10, 6], [9, 7, 8, 11, 13]]
15: [[1, 2, 3, 5, 12, 4], [10, 6], [9, 7, 8, 11, 13]]
16: [[1, 2, 3, 5, 12, 4], [10, 6], [9, 7, 8, 11, 13]]
17: [[1, 2, 3, 5, 12, 4], [10, 6], [9, 7, 8, 11, 13]]
18: [[1, 2, 3, 5, 12, 4], [10, 6], [9, 7, 8, 11, 13]]
19: [[1, 2], [3, 5, 12, 4, 10], [6, 9, 7, 8, 11, 13]]
20: [[1, 2], [3, 5, 12, 4, 10], [6, 9, 7, 8, 11, 13]]
21: [[1, 2], [3, 5, 12, 4, 10], [6, 9, 7, 8, 11, 13]]
22: [[1, 2], [3, 5, 12, 4, 10], [6, 9, 7, 8, 11, 13]]
23: [[1, 2], [3, 5, 12, 4, 10, 6], [9, 7, 8, 11, 13]]
24: [[1, 2], [3, 5, 12, 4, 10, 6, 9], [7, 8, 11, 13]]
25: [[1, 2], [3, 5, 12, 4, 10, 6, 9], [7, 8, 11, 13]]
26: [[1, 2], [3, 5, 12, 4, 10, 6, 9], [7, 8, 11, 13]]
27: [[1, 2, 3, 5], [12, 4], [10, 6, 9, 7, 8, 11, 13]]
