It No., Best MQ, No clusters, max clus, min clus
1,1.9653494653494652,8,12,1
2,2.0135773440331777,8,9,2
3,1.7241241518427022,9,8,2
4,1.9978273851513288,8,7,2
5,1.8462341833285036,9,7,2
6,1.7680176243909453,9,8,2
7,1.97425431711146,9,5,2
8,1.8604827960410721,6,16,1
9,1.978805893559992,5,10,3
10,1.6212824542620807,7,10,2
11,1.6555231381166011,6,12,2
12,1.9055444555444554,6,10,3
13,1.9688339617371873,8,13,1
14,1.957987601377389,7,8,2
15,1.9980441998809406,8,6,1
16,1.7675880789689282,8,6,2
17,2.048878318064365,7,16,1
18,1.6720209873446947,6,10,2
19,1.4792443064182195,6,13,1
20,1.8584132833678013,7,8,2
21,2.0377766677766678,11,4,1
22,1.597184465897251,8,7,2
23,1.9468190646601438,10,4,2
24,1.5583334614845494,10,6,2
25,1.8180519719437915,7,8,2
26,1.8167379672005408,10,5,2
27,1.5374396312104506,5,17,2
28,1.9753165744302263,11,4,2
29,1.8249342444994618,10,4,1
30,1.7591161160820605,7,11,2
31,1.9275877860382882,10,6,2
