0: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18, 65], [2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88, 8, 79], [80, 14, 41, 15], [4, 3, 16, 34], [37, 26, 75], [29, 9, 20], [31, 33, 6], [57, 35, 51], [52, 64], [21, 17, 32], [54, 28, 25], [36, 56, 66], [59, 44, 40], [60, 62, 43], [71, 72], [48, 61], [68, 77], [63, 73, 76], [84, 67, 82], [81, 74]]
1: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18, 65], [2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50, 49], [1, 19, 46], [7, 45, 69], [88, 8, 79], [80, 14, 41, 15], [4, 3, 16, 34], [37, 26, 75], [29, 9, 20], [31, 33, 6], [57, 35, 51], [52, 64], [21, 17, 32], [54, 28, 25], [36, 56, 66], [59, 44, 40], [60, 62, 43], [71, 72], [48, 61], [68, 77], [63, 73, 76], [84, 67, 82], [81, 74]]
2: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18, 65], [2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50, 49], [1, 19, 46], [7, 45, 69], [88, 8, 79, 80], [14, 41, 15], [4, 3], [16, 34, 37], [26, 75, 29], [9, 20, 31], [33, 6, 57], [35, 51, 52], [64, 21, 17], [32, 54], [28, 25, 36], [56, 66, 59], [44, 40, 60], [62, 43, 71], [72, 48, 61], [68, 77, 63], [73, 76, 84], [67, 82], [81, 74]]
3: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18, 65], [2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88, 8, 79], [80, 14, 41, 15], [4, 3, 16], [34, 37, 26], [75, 29, 9], [20, 31, 33], [6, 57, 35], [51, 52, 64], [21, 17, 32], [54, 28, 25], [36, 56, 66], [59, 44, 40], [60, 62], [43, 71, 72], [48, 61, 68], [77, 63, 73], [76, 84, 67], [82, 81, 74]]
4: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10, 87], [18, 65], [2, 86, 23], [13, 70], [24, 12], [42, 5, 38], [22, 50, 49], [1, 19], [46, 7, 45], [69, 88], [8, 79, 80], [14, 41, 15], [4, 3], [16, 34, 37], [26, 75, 29], [9, 20, 31], [33, 6], [57, 35], [51, 52, 64], [21, 17, 32], [54, 28, 25], [36, 56, 66], [59, 44], [40, 60, 62, 43], [71, 72], [48, 61], [68, 77, 63], [73, 76, 84], [67, 82, 81, 74]]
5: [[53, 55], [39, 30, 58], [85, 78, 11], [47, 27, 83], [10, 87], [18, 65, 2], [86, 23], [13, 70], [24, 12, 42], [5, 38], [22, 50, 49], [1, 19], [46, 7, 45], [69, 88], [8, 79, 80], [14, 41, 15], [4, 3, 16, 34], [37, 26, 75], [29, 9, 20], [31, 33, 6], [57, 35, 51], [52, 64], [21, 17, 32], [54, 28, 25], [36, 56, 66], [59, 44, 40], [60, 62, 43], [71, 72], [48, 61], [68, 77], [63, 73, 76], [84, 67, 82], [81, 74]]
6: [[53, 55], [39, 30], [58, 85], [78, 11], [47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1], [19, 46, 7], [45, 69, 88], [8, 79], [80, 14], [41, 15, 4], [3, 16, 34], [37, 26, 75], [29, 9, 20], [31, 33, 6], [57, 35, 51], [52, 64], [21, 17, 32], [54, 28, 25], [36, 56, 66, 59], [44, 40, 60], [62, 43, 71], [72, 48, 61], [68, 77], [63, 73, 76], [84, 67, 82], [81, 74]]
7: [[53, 55], [39, 30], [58, 85, 78], [11, 47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88], [8, 79, 80], [14, 41, 15], [4, 3, 16], [34, 37, 26], [75, 29], [9, 20, 31], [33, 6, 57], [35, 51, 52], [64, 21, 17], [32, 54, 28], [25, 36], [56, 66, 59], [44, 40], [60, 62, 43], [71, 72, 48], [61, 68, 77], [63, 73, 76], [84, 67], [82, 81, 74]]
8: [[53, 55], [39, 30], [58, 85, 78], [11, 47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7, 45], [69, 88], [8, 79, 80], [14, 41, 15], [4, 3, 16], [34, 37, 26], [75, 29], [9, 20, 31], [33, 6, 57], [35, 51, 52], [64, 21, 17], [32, 54, 28], [25, 36], [56, 66, 59], [44, 40], [60, 62, 43], [71, 72, 48], [61, 68, 77], [63, 73, 76], [84, 67], [82, 81, 74]]
9: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10], [87, 18, 65], [2, 86], [23, 13, 70], [24, 12], [42, 5, 38], [22, 50, 49, 1], [19, 46, 7], [45, 69, 88], [8, 79, 80], [14, 41, 15], [4, 3, 16], [34, 37, 26], [75, 29], [9, 20], [31, 33, 6], [57, 35, 51], [52, 64, 21], [17, 32, 54], [28, 25, 36, 56], [66, 59, 44], [40, 60, 62], [43, 71, 72], [48, 61, 68], [77, 63], [73, 76, 84], [67, 82, 81, 74]]
10: [[53, 55, 39], [30, 58, 85], [78, 11], [47, 27], [83, 10, 87], [18, 65, 2], [86, 23, 13], [70, 24, 12], [42, 5, 38], [22, 50], [49, 1, 19], [46, 7], [45, 69, 88], [8, 79, 80], [14, 41, 15], [4, 3, 16], [34, 37, 26], [75, 29, 9, 20], [31, 33, 6], [57, 35, 51], [52, 64, 21], [17, 32, 54], [28, 25, 36], [56, 66], [59, 44], [40, 60, 62], [43, 71, 72], [48, 61, 68], [77, 63, 73], [76, 84, 67], [82, 81, 74]]
