0: [[10, 1, 24, 19, 2, 5, 7, 25], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14, 20], [23, 28], [27, 21, 26, 29]]
1: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
2: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
3: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
4: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
5: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
6: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
7: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
8: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
9: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
10: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
11: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
12: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
13: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
14: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
15: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
16: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
17: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
18: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
19: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
20: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
21: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
22: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
23: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
24: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
25: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
26: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
27: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
28: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
29: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
30: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
31: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
32: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
33: [[10, 5, 1, 24, 19, 7, 2, 3, 6], [4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
34: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 14], [22, 20, 23, 28, 25], [27, 21, 26, 29]]
35: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 14], [22, 20, 23, 28, 25], [27, 21, 26, 29]]
36: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 20, 14], [23, 28, 25], [27, 21, 26, 29]]
37: [[10, 5, 1, 24, 19, 7, 2, 3], [6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
38: [[10, 5, 1, 24, 19, 7, 2], [3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 20, 14], [23, 28, 25], [27, 21, 26, 29]]
39: [[10, 5, 1, 24, 19, 7], [2, 3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
40: [[10, 5, 1, 24, 19, 7], [2, 3, 6, 4, 12, 17, 8, 11, 15, 9, 13, 18, 16, 22, 14], [20, 23, 28, 25], [27, 21, 26, 29]]
