0: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
1: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
2: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
3: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
4: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
5: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
6: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
7: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
8: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
9: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
10: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
11: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
12: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
13: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
14: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
15: [[24, 3, 6, 5, 1, 4, 8, 10, 12, 14], [2, 7, 13, 9, 15, 16, 17, 19, 18], [22, 23, 11, 28], [29, 20, 27, 21, 26, 25]]
