0: [[11, 17, 21, 74], [15, 41, 14], [67, 37, 7], [1, 3, 2], [4, 5, 6], [8, 9, 10], [29], [28, 12, 22, 13], [16, 23, 24, 18], [19, 20, 50], [26, 25, 27], [30, 31, 56, 33], [32, 43, 39, 34], [44, 36, 42, 38], [35, 63, 57], [45, 47, 40, 46], [61, 48, 55], [51, 54, 49], [53, 52, 60, 59], [62, 58, 80], [70, 69, 64, 65], [66, 68, 75], [71, 72, 77], [73, 76, 78], [79, 82, 83], [81, 84, 85, 86], [87, 88]]
1: [[11, 17, 21, 74], [15, 41, 14], [67, 37, 7], [1, 3, 2, 4], [5, 6, 8, 9], [10, 29, 28], [12, 22, 13], [16, 23, 24, 18], [19, 20, 50], [26, 25, 27], [30, 31, 56, 33], [32, 43, 39, 34], [44, 36], [42, 38, 35, 63], [40, 45, 47, 46], [48, 61, 51], [53, 52, 54, 49], [55, 62, 58], [59, 60, 57, 80, 70, 69, 64, 65, 66, 68, 75, 71, 72, 77, 73], [76, 78, 79, 82, 83, 81, 84, 85, 86, 87, 88]]
2: [[11, 17, 21, 74], [15, 41, 14], [67, 37, 7], [1, 3, 2], [4, 5, 6], [8, 9, 10], [29, 28, 12], [22, 13], [16, 23, 24, 18], [19, 20, 50], [26, 25, 27], [30, 31, 56, 33], [32, 43, 39, 34], [44, 36, 42, 38], [35, 63, 57], [45, 47, 46, 40], [61, 52, 51], [48, 53, 49], [54, 55, 60, 59], [62, 58, 80], [70, 69, 64, 65], [66, 68, 75], [71, 72, 77], [73, 76, 78], [79, 82, 83], [81, 84, 85, 86], [87, 88]]
3: [[11, 17, 21, 74], [15, 41, 14], [67, 37, 7], [1, 3, 2], [4, 5, 6], [8, 9, 10], [29, 28, 12], [22, 13], [16, 23, 24, 18], [19, 20, 50], [26, 25, 27], [30, 31, 56, 33], [32, 43, 39, 34], [44, 36, 42, 38], [35, 63, 57], [45, 47, 46, 40], [61, 52, 51], [48, 53, 49], [54, 55, 60, 59], [62, 58, 80], [70, 69, 64, 65], [66, 68, 75], [71, 72, 77], [73, 76, 78], [79, 82, 83], [81, 84, 85, 86], [87, 88]]
4: [[11, 17, 21, 74], [15, 41, 14], [67, 37, 7], [1, 3, 2], [4, 5, 6], [8, 9, 10], [29, 28, 12], [22, 13], [16, 23, 24, 18], [19, 20, 50], [26, 25, 27], [30, 31, 56, 33], [32, 43, 39, 34], [44, 36, 42, 38], [35, 63, 57], [45, 47, 46, 40], [61, 52, 51], [48, 53, 49], [54, 55, 60, 59], [62, 58, 80], [70, 69, 64, 65], [66, 68, 75], [71, 72, 77], [73, 76, 78], [79, 82, 83], [81, 84, 85, 86], [87, 88]]
5: [[11, 17, 21, 74], [15, 41, 14], [67, 37, 7], [1, 3, 2, 4], [5, 6, 8], [9, 10, 29], [28, 12, 22, 13], [16, 23, 24, 18], [19, 20, 50], [26, 25, 27, 30], [31, 56, 33, 32], [43, 39, 34, 44, 36], [42, 38, 35], [63, 40, 47], [45, 46, 48], [61, 49, 55, 51, 54], [52, 53, 57, 59, 58, 62, 60, 80, 70, 69], [64, 65, 66, 68, 75, 71, 72], [77, 73, 76, 78], [79, 82, 83], [81, 84, 85], [86, 87, 88]]
6: [[11, 17, 21, 74], [15, 41, 14], [67, 37, 7], [1, 3, 2, 4], [5, 6, 8], [9, 10, 29], [28, 12, 22, 13, 16], [23, 24, 18], [19, 20, 50, 26], [25, 27, 30, 31], [56, 33, 32], [43, 39, 34], [44, 36, 42, 38], [35], [63, 40, 47], [45, 46, 51], [61, 48, 55, 49], [52, 53, 54, 57], [58, 59, 60], [62, 80, 70], [69, 64], [65, 66, 68], [75, 71, 72, 77], [73, 76, 78], [79, 82, 83], [81, 84, 85], [86, 87, 88]]
7: [[11, 17, 21, 74], [15, 41, 14], [67, 37, 7], [1, 3, 2, 4], [5, 6, 8], [9, 10, 29], [28, 12, 22, 13], [16, 23, 24, 18], [19, 20, 50], [26, 25, 27], [30], [31, 56, 33, 32], [43, 39, 34, 44], [36, 42, 38], [35, 63, 40, 45], [47, 46, 48, 61], [55, 54, 49, 51], [57, 52, 53], [62, 59, 60, 58], [80, 70, 69, 64], [65, 66, 68, 75], [71, 72, 77], [73, 76, 78], [79, 82, 83, 81, 84, 85, 86, 87, 88]]
8: [[11, 17, 21, 74], [15, 41, 14], [67, 37, 7], [1, 3, 2, 4], [5, 6, 8], [9, 10, 29, 28], [12, 22, 13, 16], [23, 24, 18], [19, 20, 50], [26, 25, 27, 30], [31], [56, 33, 32], [43, 39, 34], [44, 36, 42, 38], [35, 63, 40, 47], [45, 46, 55], [61, 48, 51], [49, 54], [52, 53, 57], [58, 59, 60, 62], [80, 70, 69], [64, 65, 66], [68, 75, 71], [72, 77, 73], [76, 78, 79, 82, 83, 81, 84, 85, 86, 87, 88]]
9: [[11, 17, 21, 74], [15, 41, 14], [67, 37, 7], [1, 3, 2, 4], [5, 6, 8], [9, 10, 29, 28], [12, 22, 13, 16], [23, 24, 18], [19, 20, 50], [26, 25, 27, 30], [31], [56, 33, 32], [43, 39, 34], [44, 36, 42, 38], [35, 63, 40, 47], [45, 46, 55], [61, 48, 51], [49, 54], [52, 53, 57], [58, 59, 60, 62], [80, 70, 69], [64, 65, 66], [68, 75, 71], [72, 77, 73], [76, 78, 79, 82, 83, 81, 84, 85, 86, 87, 88]]
10: [[11, 17, 21, 74], [15, 41, 14], [67, 37, 7], [1, 3, 2], [4, 5, 6], [8, 9, 10], [29], [28, 12, 22, 13], [16, 23, 24, 18], [19, 20, 50], [26, 25, 27, 30], [31, 56, 33], [32, 43, 39, 34], [44, 36, 42, 38], [35, 63, 40, 45], [47, 46, 48, 61], [49, 55, 52, 51], [54, 53, 59, 60], [58, 62, 57], [80, 70, 69, 64], [65, 66, 68], [75, 71, 72, 77, 73, 76, 78, 79, 82, 83, 81, 84, 85, 86, 87, 88]]
