0: [[1, 5, 2, 3], [6, 8, 11, 9], [10, 4], [7, 13, 12]]
1: [[1, 5, 2, 3], [6, 8, 11, 9], [10, 4], [7, 13, 12]]
2: [[1, 5, 2, 3], [6, 8, 11], [9, 10, 4], [13, 12, 7]]
3: [[1, 5, 3, 2], [6, 8, 4], [9, 10, 11], [13, 12, 7]]
4: [[1, 5, 3], [6, 8, 10, 2], [11, 9, 4], [13, 12, 7]]
5: [[1, 5, 3, 2], [6, 8, 11], [9, 4], [10, 13, 12, 7]]
6: [[1, 5, 2], [3, 6, 8, 4], [9, 10, 11], [7, 13, 12]]
7: [[1, 5, 2], [3, 6, 8, 4], [11, 10, 9], [13, 12, 7]]
8: [[1, 5, 2], [3, 6, 8, 4], [9, 10, 11], [13, 12, 7]]
9: [[1, 5, 2], [3, 6, 8, 4], [9, 10, 11], [7, 13, 12]]
10: [[1, 5, 3], [6, 8, 2], [11, 9, 10, 4], [13, 7], [12]]
11: [[1, 5, 3, 2], [6, 8, 11, 9], [10, 4, 7, 13], [12]]
12: [[1, 5, 2, 3], [6, 8, 11], [7, 9], [4, 10, 13, 12]]
13: [[1, 5, 3, 2], [6, 8, 11], [9, 10, 4, 7], [13, 12]]
14: [[1, 5], [3, 6], [9, 11], [10, 8, 4], [13, 12, 2, 7]]
15: [[1, 5, 3, 2], [6, 8, 4], [11, 10], [9, 13, 7], [12]]
16: [[1], [5, 2, 3], [6, 8, 9, 13, 11, 4], [7, 10, 12]]
17: [[1, 5, 3, 2], [6], [8, 10, 7, 11, 4, 9, 13, 12]]
18: [[1, 5], [3, 6, 2], [8, 9, 4, 10], [7, 11, 13, 12]]
19: [[1, 5, 2], [3, 6, 8], [11, 9, 10, 4, 7, 13, 12]]
20: [[1, 5, 2], [3, 6, 8], [11, 9, 10, 4, 7, 13, 12]]
21: [[1, 5], [3, 8, 7], [9, 10, 4, 6], [11, 13, 12, 2]]
22: [[1, 5], [2, 3, 6, 8, 9, 11, 10, 4, 7, 13], [12]]
23: [[1, 5, 3, 2], [6, 8, 9], [4, 10, 11, 7], [13, 12]]
24: [[1, 5], [2, 3, 6, 8, 9, 10, 11, 4, 7, 13], [12]]
25: [[1, 5], [2, 3, 6], [8, 11, 13, 9, 4, 7, 10, 12]]
26: [[1, 5], [3], [9], [11, 12, 6], [8, 13, 2, 7], [10, 4]]
27: [[1, 5, 2, 3, 6, 8, 4, 7, 10], [9, 13], [11, 12]]
