0: [[1, 2, 7, 10, 5], [11, 3, 12, 13, 8, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
1: [[1, 2, 7, 10, 5], [11, 3, 12, 8, 9, 13], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
2: [[1, 2, 7, 10, 5], [11, 3, 12, 8, 13, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
3: [[1, 2, 7, 10, 5], [11, 3, 12, 9, 8, 13], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
4: [[1, 2, 7, 10, 5], [11, 3, 12, 8, 13, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
5: [[1, 2, 7, 10, 5], [11, 3, 12, 8, 13, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
6: [[1, 2, 7, 10, 5], [11, 3, 12, 9, 13, 8], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
7: [[1, 2, 7, 10, 5], [11, 3, 12, 8, 13, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
8: [[1, 2, 7, 10, 5], [11, 3, 12, 8, 13, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
9: [[1, 2, 7, 10, 5], [11, 3, 12, 13, 8, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
10: [[1, 2, 7, 10, 5], [11, 3, 12, 13, 8, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
11: [[1, 2, 7, 10, 5], [11, 3, 12, 13, 8, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
12: [[1, 2, 7, 10, 5], [11, 3, 12, 13, 8, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
13: [[1, 2, 7, 10, 5], [11, 3, 12, 13, 8, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
14: [[1, 2, 7, 10, 5], [11, 3, 12, 8, 13, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
15: [[1, 2, 7, 10, 5], [11, 3, 12, 9], [13, 8, 14, 15, 16, 6], [19, 17, 20, 18, 4]]
16: [[1, 2, 7, 10, 5, 11], [3, 12, 8, 13, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
17: [[1, 2, 7, 10, 5, 11], [3, 12, 13, 8, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
18: [[1, 2, 7, 10, 5, 11], [3, 12, 8, 13, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
19: [[1, 2, 7, 10, 5, 11], [3, 12, 9, 13, 8], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
20: [[1, 2, 7, 10, 5, 11], [3, 12, 13, 8, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
21: [[1, 2, 7, 10, 5, 11], [3, 12, 13, 8, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
22: [[1, 2, 7, 10, 5, 11], [3, 12, 13, 8, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
23: [[1, 2, 7, 10, 5, 11], [3, 12, 9, 13, 8], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
24: [[1, 2, 7, 10, 5, 11], [3, 12, 13, 8, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
25: [[1, 2, 7, 10, 5, 11], [3, 12, 8, 13, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
26: [[1, 2, 7, 10, 5, 11], [3, 12, 13, 8, 9], [14, 15, 16, 6], [19, 17, 20, 18, 4]]
27: [[1, 2, 7, 10], [5, 11, 3, 12, 13, 9], [8, 14, 15, 16, 6], [19, 17, 20, 18, 4]]
28: [[1, 2, 7, 10], [5, 11, 3, 12, 13, 9], [8, 14, 15, 16, 6], [19, 17, 20, 18, 4]]
29: [[1, 2, 7, 10], [5, 11, 3, 12, 13, 9], [8, 14, 15, 16, 6], [19, 17, 20, 18, 4]]
30: [[1, 2, 7, 10], [5, 11, 3, 12, 8, 9], [13, 14, 15, 16, 6], [19, 17, 20, 18, 4]]
31: [[1, 2, 7, 10, 5, 11], [3, 12, 13, 9], [8, 14, 15, 16, 6], [19, 17, 20, 18, 4]]
32: [[1, 2, 7, 10], [5, 11, 3, 12, 8, 9], [13, 14, 15, 6, 4], [19, 17, 20, 18, 16]]
33: [[1, 2, 7, 10], [5, 11, 3, 12, 9], [13, 8, 14, 15, 16, 6], [19, 17, 20, 18, 4]]
34: [[1, 2, 7, 10], [5, 11, 3, 12, 9], [13, 8, 14, 15, 16, 6], [19, 17, 20, 18, 4]]
35: [[1, 2, 7, 10], [5, 11, 3, 12, 9], [13, 8, 14, 15, 16, 6], [19, 17, 20, 18, 4]]
36: [[1, 2, 7, 10], [5, 11, 3, 12, 13, 8], [14, 15, 16, 6, 9], [19, 17, 20, 18, 4]]
37: [[1, 2, 7, 10], [5, 11, 3, 12, 13, 8], [14, 15, 16, 6, 9], [19, 17, 20, 18, 4]]
38: [[1, 2, 7, 10, 5, 11], [3, 12, 8, 9], [14, 15, 6, 13, 16], [19, 17, 20, 18, 4]]
39: [[1, 2, 7, 10], [5, 11, 3, 12, 9], [13, 14, 15, 8, 6, 4], [19, 17, 20, 18, 16]]
40: [[1, 2, 7, 10], [5, 11, 3, 12, 8], [13, 9, 14, 15, 16, 6], [19, 17, 20, 18, 4]]
41: [[1, 2, 7, 10], [5, 11, 3, 12, 8], [13, 14, 15, 16, 6, 9], [19, 17, 20, 18, 4]]
