0: [[3, 10, 6, 1, 8, 2, 5, 7, 4], [11, 13, 12, 9], [14, 15, 16], [19, 17, 18, 20]]
1: [[3, 10, 6, 1, 8, 2, 5, 7, 4], [11, 13, 12, 9], [14, 15, 16], [19, 17, 18, 20]]
2: [[3, 10, 6, 1, 8, 2, 5, 7, 4], [11, 13, 12, 9], [14, 15, 16], [19, 17, 18, 20]]
3: [[3, 10, 1, 8, 6], [2, 5, 7, 4], [9, 11, 13, 12], [14, 15, 16, 19, 17, 18, 20]]
4: [[3, 10, 1, 8, 6], [2, 5, 7, 4], [9, 11, 13, 12], [14, 15, 16, 19, 17, 18, 20]]
5: [[3, 10, 1, 8, 6], [2, 5, 7, 4], [9, 11, 13, 12], [14, 15, 16, 19, 17, 18, 20]]
6: [[3, 10, 1, 8, 6], [2, 5, 7, 4], [9, 11, 13, 12], [14, 15, 16, 19, 17, 18, 20]]
7: [[3, 10, 1, 8, 6], [2, 5, 7, 4], [9, 11, 13, 12], [14, 15, 16, 19, 17, 18, 20]]
8: [[3, 10, 1, 8, 6], [2, 5, 7, 4], [9, 11, 13, 12], [14, 15, 16, 19, 17, 18, 20]]
9: [[3, 10, 1, 8, 6], [2, 5, 7, 4], [9, 11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
10: [[3, 10, 1, 8, 6], [2, 5, 7, 4], [9, 11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
11: [[3, 10, 1, 8, 6], [2, 5, 7, 4], [9, 11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
12: [[3, 10, 1, 8, 6], [2, 5, 7, 4], [9, 11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
13: [[3, 10, 1, 8, 6], [2, 5, 7, 4], [9, 11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
14: [[3, 10, 1, 8, 6], [2, 5, 7, 4], [9, 11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
15: [[3, 10, 1, 8, 6], [2, 5, 7], [9, 11, 13, 12, 14, 4], [15, 16, 19, 17, 18, 20]]
16: [[3, 10, 1, 8, 6], [2, 5, 7], [9, 11, 13, 12, 14, 4], [15, 16, 19, 17, 18, 20]]
17: [[3, 10, 1, 6], [8, 2, 5, 7, 4], [9, 11, 13, 12], [14, 15, 16, 19, 17, 18, 20]]
18: [[3, 10, 1, 6], [8, 2, 5, 7, 4], [9, 11, 13, 12], [14, 15, 16, 19, 17, 18, 20]]
19: [[3, 10, 1, 8, 6], [2, 5, 7], [9, 11, 13, 12, 4], [14, 15, 16, 19, 17, 18, 20]]
20: [[3, 10, 1, 8, 6], [2, 5, 7], [9, 11, 13, 12, 4], [14, 15, 16, 19, 17, 18, 20]]
21: [[3, 10, 1, 8, 6], [2, 5, 7, 9, 4], [11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
22: [[3, 10, 1, 8, 6], [2, 5, 7, 9, 4], [11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
23: [[3, 10, 1, 8, 6], [2, 5, 7, 9, 4], [11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
24: [[3, 10, 1, 8, 6], [2, 5, 7, 9, 4], [11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
25: [[3, 10, 1, 8, 2, 6], [5, 7, 9, 4], [11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
26: [[3, 10, 6], [1, 8, 2, 5, 7, 4], [9, 11, 13, 12], [14, 15, 16, 19, 17, 18, 20]]
27: [[3, 10, 1, 6], [8, 2, 5, 7, 4], [9, 11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
28: [[3, 10, 1, 6], [8, 2, 5, 7, 4], [9, 11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
29: [[3, 10, 1, 6], [8, 2, 5, 7, 4], [9, 11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
30: [[3, 10, 1, 6], [8, 2, 5, 7, 4], [9, 11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
31: [[3, 10, 1, 6], [8, 2, 5, 7, 4], [9, 11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
32: [[3, 10, 6, 1], [8, 2, 5, 7, 4, 9], [11, 13, 12], [14, 15, 16, 19, 17, 18, 20]]
33: [[3, 10, 1, 8, 2, 6], [5, 7, 9, 11, 4], [13, 12, 14], [15, 16, 19, 17, 18, 20]]
34: [[3, 10, 6, 1], [8, 2, 5, 7, 11, 13, 12, 4, 9], [14, 15, 16], [19, 17, 18, 20]]
35: [[3, 10, 1, 8, 6], [2, 5, 7, 9, 4], [11, 13, 12, 14, 15], [16, 19, 17, 18, 20]]
36: [[3, 10, 1, 8, 6], [2, 5, 7, 9, 4], [11, 13, 12, 14, 15], [16, 19, 17, 18, 20]]
37: [[3, 10, 1, 6], [8, 2, 5, 7, 9, 4], [11, 13, 12, 14], [15, 16, 19, 17, 18, 20]]
38: [[3, 10, 6], [1, 8, 2], [5, 7, 11, 13, 12, 14, 15, 16, 4, 9], [19, 17, 18, 20]]
39: [[3, 10, 1, 6], [8, 2, 5, 7, 4], [9, 11, 13, 12, 14, 15], [16, 19, 17, 18, 20]]
40: [[3, 10, 1, 6], [8, 2, 5, 7], [9, 11, 13, 4], [12, 14, 15, 16, 19, 17, 18, 20]]
41: [[3, 10, 1, 6], [8, 2, 5, 7], [9, 11, 13, 4], [12, 14, 15, 16, 19, 17, 18, 20]]
