0: [[53, 13, 49, 52, 59, 21], [14, 20, 9, 33, 19, 26, 31, 51], [41, 35, 27, 46, 2], [16, 48, 34, 54], [5, 32, 8, 17, 44, 18], [15, 30, 37, 55, 3, 47, 6, 10], [43, 56], [22, 40, 7, 39], [38, 29, 23], [4, 28, 60, 57, 36, 25, 50], [1, 42, 58, 12, 11, 24, 45]]
1: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
2: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
3: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
4: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
5: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
6: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
7: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
8: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
9: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
10: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
11: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
12: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
13: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
14: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
15: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
16: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
17: [[21, 40, 17, 35, 1, 7, 2, 6, 3, 4, 12, 13, 9, 5, 10, 24, 14, 27, 11, 30], [8, 15, 19, 20, 18, 16, 22, 23, 28, 26, 25, 29, 31, 37, 32, 33, 38, 34, 44, 42], [36, 47, 39, 45, 53, 41, 46, 57, 48, 43, 50, 51, 49, 52, 54, 55, 56, 58, 59, 60]]
