0: [[4, 9, 1], [11, 8, 6], [2, 10], [5, 3], [7, 13, 12]]
1: [[1, 11, 8, 6, 4, 9], [2, 10], [5, 3], [7, 13, 12]]
2: [[1], [11, 8], [6, 2, 10, 4, 9], [5, 3], [7, 13, 12]]
3: [[11], [8, 6, 4, 9], [2, 10], [5, 3, 1], [7, 13, 12]]
4: [[4, 9, 1, 11], [8, 6], [2, 10], [5, 3], [7, 13, 12]]
5: [[4, 9], [1, 8, 6, 11], [2, 10, 5, 3], [7, 13, 12]]
6: [[1, 11], [8, 6, 2, 10, 4, 9], [5, 3], [7, 13, 12]]
7: [[1, 11], [8, 6, 4, 9], [2, 10, 5, 3], [7, 13, 12]]
8: [[1, 11], [8, 6, 4, 9], [2, 10, 5, 3], [7, 13, 12]]
9: [[1, 11], [8, 6, 4, 9], [2, 10, 5, 3], [7, 13, 12]]
10: [[4, 9, 1], [11, 8], [6, 2, 10, 5], [3, 7, 13, 12]]
11: [[4, 9], [1, 11, 8, 6], [2, 10, 5, 3, 7, 13, 12]]
12: [[1, 11], [8, 6, 2, 9], [10, 5, 3, 4], [7, 13, 12]]
13: [[1, 11], [8, 6, 4, 9], [2, 10, 5, 3, 7, 13, 12]]
14: [[1, 11], [8, 6, 4, 9], [2, 10], [5, 3, 7, 13, 12]]
15: [[1, 11, 8, 6, 4, 9], [2, 10, 5], [3, 7], [13, 12]]
16: [[4, 9], [1, 11, 8, 6, 2], [10, 5], [3, 7, 13, 12]]
17: [[4, 9], [1, 11, 8, 6, 2], [10, 5], [3, 7, 13, 12]]
18: [[11], [8, 6, 4, 9], [2, 10, 1], [5, 3, 7], [13, 12]]
19: [[11], [8, 6, 4, 9], [2, 10, 1], [5, 3, 7], [13, 12]]
20: [[11], [8, 6, 4, 9], [2, 10, 1], [5, 3, 7], [13, 12]]
21: [[11], [8, 6, 4, 9], [2, 10, 1], [5, 3, 7], [13, 12]]
22: [[11], [8, 6, 4, 9], [2, 10, 1], [5, 3, 7], [13, 12]]
23: [[11], [8, 6, 4, 9], [2, 10, 1], [5, 3, 7], [13, 12]]
24: [[11], [8, 6, 4, 9], [2, 10, 1], [5, 3, 7], [13, 12]]
25: [[4, 9], [1, 11, 8, 6, 2, 10, 5, 3, 7], [13, 12]]
26: [[1, 11], [8, 6, 4, 9], [2, 10, 5, 3, 7], [13, 12]]
27: [[4, 9], [1, 11], [8, 6, 2, 10, 5, 3, 7, 13, 12]]
