0: [[1, 3, 5], [10, 4], [8, 9, 11, 6], [12, 7, 13, 2]]
1: [[1, 3, 5], [10, 4], [8, 9, 11, 6], [12, 7, 13, 2]]
2: [[1, 3, 5], [10, 4, 8, 6], [11, 2, 12, 7, 9, 13]]
3: [[1, 3, 5], [10, 8, 9, 2, 4], [11, 6], [12, 13, 7]]
4: [[1, 3, 5], [10, 8, 4], [11, 6], [12, 9, 13, 2, 7]]
5: [[1, 3, 5], [10, 8, 4], [11, 6], [12, 9, 13, 2, 7]]
6: [[1, 3, 5], [10, 8, 4], [11, 6], [12, 9, 13, 2, 7]]
7: [[1, 3, 5], [10, 8, 4], [6, 11], [12, 9, 13, 2, 7]]
8: [[1, 3, 5], [10, 8, 4], [11, 6], [12, 9, 13, 2, 7]]
9: [[1, 3, 5], [10, 4, 8, 2, 11, 6, 12, 9], [7, 13]]
10: [[1, 3, 5], [10, 4], [11, 6, 8, 2], [12, 9, 7], [13]]
11: [[1, 3, 5], [10, 4], [8], [11, 6], [12, 9, 13, 2, 7]]
12: [[1, 3, 5], [10, 4, 8, 2], [11, 6, 12, 9, 13, 7]]
13: [[1, 3, 5], [10, 8, 4], [11, 6, 12, 2], [9, 13, 7]]
14: [[1, 3, 5], [10, 8, 4], [11, 6, 12, 2], [9, 13, 7]]
15: [[1, 3, 5], [10, 8, 4, 2], [12], [13, 9, 7], [11, 6]]
16: [[1, 3, 5], [10, 8, 4], [12, 9, 6], [13, 11, 2, 7]]
17: [[1, 3, 5], [10, 8, 2, 4], [11, 6, 12], [9, 13, 7]]
18: [[1, 3, 5, 10, 4], [8, 12, 2], [11, 6], [9, 13, 7]]
19: [[1, 3, 5], [10, 12, 8, 2], [11, 6, 4, 9, 13, 7]]
20: [[1, 3, 5, 10], [4, 8, 2, 11, 6, 12], [9, 13, 7]]
21: [[1, 3, 5], [10, 8, 11, 4], [6, 12, 13, 2, 7], [9]]
22: [[1, 3, 5], [10, 12, 11, 4], [6, 8, 2], [9, 13, 7]]
23: [[1, 3, 5], [10, 4, 12, 11], [2, 6, 8, 9, 13, 7]]
24: [[1, 3, 5], [10, 12], [8, 6, 11, 2], [13, 4], [9, 7]]
25: [[1, 3], [5, 10, 8, 2, 4], [11], [6, 12, 9, 7], [13]]
26: [[1, 3], [5, 10, 4, 8, 2, 11, 6, 12, 7], [9, 13]]
27: [[1, 3, 4], [5, 10], [8], [11, 6, 12], [9, 13, 2, 7]]
