0: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
1: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
2: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
3: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
4: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
5: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
6: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
7: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
8: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
9: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
10: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
11: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
12: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
13: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
14: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
15: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
16: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
17: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
18: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
19: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
20: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
21: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
22: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
23: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11, 12], [9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
24: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11, 12], [9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
25: [[22, 13, 2, 1, 4], [5, 3, 14, 10, 7, 6, 11, 12], [9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
26: [[22, 13, 2, 1, 4], [5, 3, 14, 10, 7, 6, 11, 12], [9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
27: [[22, 13, 2, 1, 4], [5, 3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
28: [[22, 13, 2, 1, 4], [5, 3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
29: [[22, 13, 2, 1, 4], [5, 3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
30: [[22, 13, 2, 1, 4], [5, 3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
31: [[22, 13, 2, 1, 4, 5, 3], [14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
32: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6], [11, 12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
33: [[22, 13, 2, 1, 4, 5, 3], [14, 10, 7, 6, 11, 12], [9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
34: [[22, 13, 2, 1, 4, 5, 3], [14, 10, 7, 6, 11, 12], [9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
35: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11, 12, 9], [8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
36: [[22, 13, 2, 1, 4], [5, 3, 14, 10, 7, 6], [11, 12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
37: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7], [6, 11, 12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
38: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7], [6, 11, 12, 9, 8, 15, 17, 20, 19], [16, 18], [21, 23, 24]]
39: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19, 16], [18, 21], [23, 24]]
40: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19, 16], [18, 21], [23, 24]]
41: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11], [12, 9, 8, 15, 17, 20, 19, 16], [18, 21], [23, 24]]
42: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11, 12], [9, 8, 15, 17, 20, 19, 16], [18, 21], [23, 24]]
43: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11, 12], [9, 8, 15, 17, 20, 19, 16], [18, 21], [23, 24]]
44: [[22, 13, 2, 1, 4, 5], [3, 14, 10, 7, 6, 11, 12], [9, 8, 15, 17, 20, 19, 16], [18, 21], [23, 24]]
45: [[22, 13, 2, 1, 4], [5, 3, 14, 10, 7, 6, 11, 12], [9, 8, 15, 17, 20, 19, 16], [18, 21], [23, 24]]
46: [[22, 13, 2, 1, 4], [5, 3, 14, 10, 7, 6, 11, 12], [9, 8, 15, 17, 20, 19, 16], [18, 21], [23, 24]]
47: [[22, 13, 2, 1, 4], [5, 3, 14, 10, 7, 6, 11, 12], [9, 8, 15, 17, 20, 19, 16], [18, 21], [23, 24]]
48: [[22, 13, 2, 1, 4, 5, 3], [14, 10, 7, 6, 11, 12], [9, 8, 15, 17, 20, 19, 16], [18, 21], [23, 24]]
49: [[22, 13, 2, 1, 4], [5, 3, 14, 10, 7, 6], [11, 12, 9, 8, 15, 17, 20], [19, 16], [18, 21, 23, 24]]
