0: [[15, 4, 14, 20, 17], [6, 10, 5, 2, 7], [1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
1: [[15, 4, 14, 20, 17], [6, 10, 5, 2, 7], [1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
2: [[15, 4, 14, 20, 17], [6, 10, 5, 2, 7], [1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
3: [[15, 4, 14, 20, 17], [6, 10, 5, 2, 7], [1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
4: [[15, 4, 14, 20, 17], [6, 10, 5, 2, 7], [1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
5: [[15, 4, 14, 20, 17], [6, 10, 5, 2, 7], [1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
6: [[15, 4, 14, 20, 17, 6], [10, 5, 2, 7], [1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
7: [[15, 4, 14, 20, 17], [6, 10, 5, 2, 7], [1, 3, 8, 16], [9, 13, 12, 11, 19, 18]]
8: [[15, 4, 14, 20, 17], [6, 10, 5, 2, 7], [1, 3, 8, 16], [9, 13, 12, 11, 19, 18]]
9: [[15, 4, 14, 20, 17, 6], [10, 5, 2, 7], [1, 3, 8, 16], [9, 13, 12, 11, 19, 18]]
10: [[15, 4, 14, 20, 17, 6], [10, 5, 2, 7], [1, 3, 8, 16], [9, 13, 12, 11, 19, 18]]
11: [[15, 4, 14, 20, 17, 6], [10, 5, 2, 7, 1], [3, 8], [16, 9, 13, 12, 11, 19, 18]]
12: [[15, 4, 14, 20, 17, 6], [10, 5, 2, 7, 1], [3, 8, 16], [9, 13, 12, 11, 19, 18]]
13: [[15, 4, 14, 20, 17], [6, 10, 5, 2, 7, 1], [3, 8, 16], [9, 13, 12, 11, 19, 18]]
14: [[15, 4, 14, 20, 17], [6, 10, 5, 2, 7], [1, 3], [8, 16, 9, 13, 12, 11, 19, 18]]
15: [[15, 4, 14, 20, 17], [6, 10, 5, 2, 7, 1], [3, 8, 16, 9], [13, 12, 11, 19, 18]]
16: [[15, 4, 14, 20, 17], [6, 10, 5, 2, 7, 1], [3, 8, 16, 9], [13, 12, 11, 19, 18]]
17: [[15, 4, 14, 20], [17, 6, 10, 5, 2, 7], [1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
18: [[15, 4, 14, 20, 17, 6, 10], [5, 2, 7, 1], [3, 8], [16, 9, 13, 12, 11, 19, 18]]
19: [[15, 4, 14, 20, 17, 6, 10], [5, 2, 7, 1], [3, 8, 16], [9, 13, 12, 11, 19, 18]]
20: [[15, 4, 14, 20, 17, 6, 10], [5, 2, 7, 1], [3, 8, 16], [9, 13, 12, 11, 19, 18]]
21: [[15, 4, 14, 20, 17], [6, 10, 5, 2], [7, 1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
22: [[15, 4, 14, 20, 17], [6, 10, 5, 2], [7, 1, 3, 8, 16, 9], [13, 12, 11, 19, 18]]
23: [[15, 4, 14, 20, 17, 6], [10, 5, 2, 7, 1, 3], [8, 16], [9, 13, 12, 11, 19, 18]]
24: [[15, 4, 14, 20, 17], [6, 10], [5, 2, 7, 1, 3], [8, 16, 9, 13, 12, 11, 19, 18]]
25: [[15, 4, 14, 20, 17], [6, 10, 5, 2], [7, 1, 3], [8, 16, 9, 13, 12, 11, 19, 18]]
26: [[15, 4, 14, 20], [17, 6, 10], [5, 2, 7, 1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
27: [[15, 4, 14, 20], [17, 6, 10, 5], [2, 7, 1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
28: [[15, 4, 14, 20], [17, 6, 10, 5], [2, 7, 1, 3, 8, 16], [9, 13, 12, 11, 19, 18]]
29: [[15, 4, 14, 20], [17, 6, 10, 5], [2, 7, 1, 3, 8, 16], [9, 13, 12, 11, 19, 18]]
30: [[15, 4, 14, 20], [17, 6, 10, 5, 2], [7, 1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
31: [[15, 4, 14, 20, 17], [6, 10, 5, 2], [7, 1], [3, 8, 16, 9, 13, 12, 11, 19, 18]]
32: [[15, 4, 14], [20, 17, 6, 10, 5], [2, 7, 1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
33: [[15, 4, 14], [20, 17, 6, 10, 5], [2, 7, 1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
34: [[15, 4, 14], [20, 17, 6, 10, 5], [2, 7, 1, 3, 8, 16], [9, 13, 12, 11, 19, 18]]
35: [[15, 4, 14], [20, 17, 6, 10, 5, 2], [7, 1, 3, 8, 16], [9, 13, 12, 11, 19, 18]]
36: [[15, 4, 14], [20, 17, 6, 10, 5, 2], [7, 1, 3, 8, 16], [9, 13, 12, 11, 19, 18]]
37: [[15, 4], [14, 20, 17, 6, 10], [5, 2, 7, 1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
38: [[15, 4, 14, 20], [17, 6, 10, 5, 2], [7, 1, 3], [8, 16, 9, 13, 12, 11, 19, 18]]
39: [[15, 4, 14, 20], [17, 6, 10, 5, 2], [7, 1, 3], [8, 16, 9, 13, 12, 11, 19, 18]]
40: [[15, 4], [14, 20, 17, 6, 10, 5], [2, 7, 1, 3, 8], [16, 9, 13, 12, 11, 19, 18]]
41: [[15, 4, 14], [20, 17, 6, 10, 5], [2, 7, 1, 3], [8, 16, 9, 13, 12, 11, 19, 18]]
