0: [[10, 7, 5, 2, 9], [12], [3, 1, 8, 11], [13, 6, 14, 16, 4, 15], [18, 17, 19, 20]]
1: [[10, 7, 5, 2, 9], [12], [3, 1, 8, 11], [13, 6, 14, 16, 4, 15], [18, 17, 19, 20]]
2: [[10, 7, 5, 2, 9], [12], [3, 1, 8, 11], [13, 6, 14, 16, 4, 15], [18, 17, 19, 20]]
3: [[10, 7, 5, 2, 9], [12], [3, 1, 8, 11], [13, 6, 14, 16, 4, 15], [18, 17, 19, 20]]
4: [[10, 7, 5, 2, 9], [12], [3, 1, 8, 11], [13, 6, 14, 16, 4, 15], [18, 17, 19, 20]]
5: [[10, 7, 5, 2, 9], [12], [3, 1, 8, 11], [13, 6, 14, 16, 4, 15], [18, 17, 19, 20]]
6: [[10, 7, 5, 2, 9], [12], [3, 1, 8, 11], [13, 6, 14, 16, 4, 15], [18, 17, 19, 20]]
7: [[10, 7, 5, 2, 9], [12], [3, 1, 8, 11], [13, 6, 14, 16, 4, 15], [18, 17, 19, 20]]
8: [[10, 7, 5, 2, 9], [12], [3, 1, 8, 11], [13, 6, 14, 16, 4, 15], [18, 17, 19, 20]]
9: [[10, 7, 5, 2, 9], [12], [3, 1, 8, 11], [13, 6, 14, 16, 4, 15], [18, 17, 19, 20]]
10: [[10, 7, 5, 2, 9, 12], [3, 1, 8, 11], [13], [6, 14, 15, 16, 4], [18, 17, 19, 20]]
11: [[10, 7, 5, 2, 9, 12], [3, 1, 8, 11], [13], [6, 14, 15, 16, 4], [18, 17, 19, 20]]
12: [[10, 7, 5, 2, 9, 12], [3, 1, 8, 11], [13], [6, 14, 15, 16, 4], [18, 17, 19, 20]]
13: [[10, 7, 5, 2, 9, 12], [3, 1, 8, 11], [13], [6, 14, 15, 16, 4], [18, 17, 19, 20]]
14: [[10, 7, 5, 2, 9, 12], [3, 1, 8, 11], [13], [6, 14, 15, 16, 4], [18, 17, 19, 20]]
15: [[10, 7, 5, 2], [3, 1, 8, 11, 9, 12], [13], [6, 14, 15, 16, 4], [18, 17, 19, 20]]
16: [[10, 7, 5, 2], [3, 1, 8, 11, 9, 12], [13], [6, 14, 15, 16, 4], [18, 17, 19, 20]]
17: [[10, 7, 5, 2], [3, 1, 8, 11, 9, 12], [13], [6, 14, 15, 16, 4], [18, 17, 19, 20]]
18: [[10, 7, 5, 2], [3, 1, 8, 11, 9, 12], [13], [6, 14, 15, 16, 4], [18, 17, 19, 20]]
19: [[10, 7, 5, 2], [3, 1, 8, 11, 9, 12], [13], [6, 14, 15, 16, 4], [18, 17, 19, 20]]
20: [[10, 7, 5, 2], [9], [12, 3, 1, 8, 11], [13, 6, 14, 4, 15, 16], [18, 17, 19, 20]]
21: [[10, 7, 5, 2], [9], [12, 3, 1, 8, 11], [13, 6, 14, 4, 15, 16], [18, 17, 19, 20]]
22: [[10, 7, 5, 2, 9], [12, 3, 1, 8, 11, 13], [6, 14, 4, 15], [16], [18, 17, 19, 20]]
23: [[10, 7, 5, 2, 12, 9], [3, 1, 8, 11], [13, 6, 14, 4, 15], [16], [18, 17, 19, 20]]
24: [[10, 7, 5, 2, 9], [12, 3, 1, 8, 11, 13], [6], [14, 16, 4, 15], [18, 17, 19, 20]]
25: [[10], [7, 5, 2, 9], [12, 3, 1, 8, 11, 13], [6, 14, 16, 4, 15], [18, 17, 19, 20]]
26: [[10], [7, 5, 2, 9], [12, 3, 1, 8, 11, 13], [6, 14, 16, 4, 15], [18, 17, 19, 20]]
27: [[10], [7, 5, 2, 9], [12, 3, 1, 8, 11, 13], [6, 14, 16, 4, 15], [18, 17, 19, 20]]
28: [[10], [7, 5, 2, 12, 9], [3, 1, 8, 11], [13, 14, 15, 16, 4, 6], [18, 17, 19, 20]]
29: [[10], [7, 5, 2, 12, 9], [3, 1, 8, 11], [13, 14, 15, 16, 4, 6], [18, 17, 19, 20]]
30: [[10], [7, 5, 2, 12, 9], [3, 1, 8, 11], [13, 14, 15, 16, 4, 6], [18, 17, 19, 20]]
31: [[10], [7, 5, 2, 12, 9], [3, 1, 8, 11], [13, 14, 15, 16, 4, 6], [18, 17, 19, 20]]
32: [[10], [7, 5, 2, 12, 9], [3, 1, 8, 11], [13, 14, 15, 16, 4, 6], [18, 17, 19, 20]]
33: [[10], [7, 5, 2, 12, 9], [3, 1, 8, 11], [13, 14, 15, 16, 4, 6], [18, 17, 19, 20]]
34: [[10], [7, 5, 2, 9], [12, 3, 1, 8, 11], [13, 6, 14, 16, 4, 15], [18, 17, 19, 20]]
35: [[10, 7, 5, 2, 9], [12], [3, 1, 8, 11, 13, 6], [14, 16, 4, 15], [18, 17, 19, 20]]
36: [[10, 7, 5, 2], [9], [12, 3, 1, 8, 11], [13, 6, 14, 4, 18, 16], [15, 17, 19, 20]]
37: [[10, 7, 5, 2, 12, 9], [3, 1, 8, 11], [13], [14, 15, 20, 4, 6], [18, 17, 19, 16]]
38: [[10, 7, 5, 2, 11, 9], [1, 3, 8], [13], [6, 14, 12, 20, 4, 15], [18, 17, 19, 16]]
39: [[10, 7, 5, 2, 9], [3], [1, 8, 14, 13, 6, 4], [11, 12, 16, 15], [18, 17, 19, 20]]
40: [[10, 7, 5, 2, 9], [8], [1, 3, 4, 15], [13, 6, 14, 12, 11, 16], [18, 17, 19, 20]]
41: [[10, 7, 5, 2, 3], [1], [4, 8, 11, 13, 6, 9], [14, 12, 15, 16], [18, 17, 19, 20]]
