0: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
1: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
2: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
3: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
4: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
5: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
6: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
7: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
8: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
9: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
10: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
11: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
12: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
13: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
14: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
15: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
16: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
17: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
18: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
19: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
20: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
21: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
22: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
23: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
24: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
25: [[1, 5, 3, 4, 2, 6, 13, 10, 14], [7, 11], [12, 8, 9, 15, 18, 20, 19, 16, 17], [23, 21, 22, 24]]
