0: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
1: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
2: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
3: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
4: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
5: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
6: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
7: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
8: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
9: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
10: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
11: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
12: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
13: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
14: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
15: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
16: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
17: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
18: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
19: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
20: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
21: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
22: [[11, 6, 9, 3], [1, 5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
23: [[11, 6, 9, 3], [1, 5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
24: [[11, 6, 9, 3], [1, 5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
25: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12], [15, 16, 17, 20, 19, 18]]
26: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16, 17], [20, 19, 18]]
27: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16, 17], [20, 19, 18]]
28: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15, 16, 17], [20, 19, 18]]
29: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8], [13, 4, 14, 12, 15], [16, 17, 20, 19, 18]]
30: [[11, 6, 9, 3, 1], [5, 2, 10, 7], [8, 13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
31: [[11, 6, 9, 3, 1], [5, 2, 10, 7], [8, 13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
32: [[11, 6, 9, 3], [1, 5, 2, 10, 7], [8, 13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
33: [[11, 6, 9, 3, 1, 5], [2, 10, 7, 8], [13, 4, 14, 12, 15, 16], [17, 20, 19, 18]]
34: [[11, 6, 9, 3, 1], [5, 2, 10, 7, 8, 13], [4, 14, 12, 15, 16, 17], [20, 19, 18]]
35: [[11, 6, 9, 3, 1], [5, 2, 10, 7], [8, 13, 4, 14, 12, 15], [16, 17, 20, 19, 18]]
36: [[11, 6, 9, 3, 1], [5, 2, 10, 7], [8, 13, 4, 14, 12, 15], [16, 17, 20, 19, 18]]
37: [[11, 6, 9, 3, 1], [5, 2, 10, 7], [8, 13, 4, 14, 12, 15], [16, 17, 20, 19, 18]]
38: [[11, 6, 9, 3, 1], [5, 2, 10, 7], [8, 13, 4, 14, 12, 15], [16, 17, 20, 19, 18]]
39: [[11, 6, 9, 3], [1, 5, 2, 10, 7], [8, 13, 4, 14, 12, 15], [16, 17, 20, 19, 18]]
40: [[11, 6, 9, 3, 1, 5], [2, 10, 7, 8, 13], [4, 14, 12, 15, 16], [17, 20, 19, 18]]
41: [[11, 6, 9, 3, 1, 5, 2], [10, 7, 8, 13], [4, 14, 12, 15, 16, 17], [20, 19, 18]]
