0: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
1: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
2: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
3: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
4: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
5: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
6: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
7: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
8: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
9: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
10: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
11: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
12: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
13: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
14: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
15: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
16: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
17: [[11, 3, 1], [8, 10, 7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
18: [[11, 3, 1, 8, 10], [7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
19: [[11, 3, 1, 8, 10], [7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
20: [[11, 3, 1, 8, 10], [7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
21: [[11, 3, 1, 8, 10], [7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
22: [[11, 3, 1, 8, 10], [7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
23: [[11, 3, 1, 8, 10], [7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
24: [[11, 3, 1, 8, 10], [7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
25: [[11, 3, 1, 8, 10], [7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
26: [[11, 3, 1, 8, 10], [7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
27: [[11, 3, 1, 8, 10], [7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
28: [[11, 3, 1, 8, 10], [7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
29: [[11, 3, 1, 8, 10], [7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
30: [[11, 3, 1, 8, 10], [7, 5, 2], [14, 12, 15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
31: [[11, 3, 1, 8, 10, 7, 5], [2, 14, 12, 15, 13], [16, 6, 9], [19, 17, 20, 18, 4]]
32: [[11, 3, 1, 8, 10, 7, 5], [2, 14, 12, 15, 13], [16, 6, 9], [19, 17, 20, 18, 4]]
33: [[11, 3, 1, 8, 10, 7, 5], [2, 14, 12, 15, 13], [16, 6, 9], [19, 17, 20, 18, 4]]
34: [[11, 3, 1, 8, 10, 7, 5], [2, 14, 12, 15, 13], [16, 6, 9], [19, 17, 20, 18, 4]]
35: [[11, 3, 1, 8, 10, 7, 5], [2, 14, 12, 15, 13], [16, 6, 9], [19, 17, 20, 18, 4]]
36: [[11, 3, 1, 8, 10, 7, 5], [2, 14, 12, 15, 13], [16, 6, 9], [19, 17, 20, 18, 4]]
37: [[11, 3, 1, 8, 10, 7, 5], [2, 14, 12], [15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
38: [[11, 3, 1, 8, 10, 7, 5], [2, 14, 12], [15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
39: [[11, 3, 1, 8, 10, 7, 5], [2, 14, 12], [15, 13, 16, 6, 9], [19, 17, 20, 18, 4]]
40: [[11, 3, 1, 8, 10, 7, 5], [2, 14, 12, 15, 13, 6], [16, 9], [19, 17, 20, 18, 4]]
41: [[11, 3, 1, 8, 10, 7, 5], [2, 14, 12, 15, 13, 6], [16, 9], [19, 17, 20, 18, 4]]
