0: [[14, 12, 10, 3], [1, 9, 2], [5, 19, 6, 4], [7, 11, 16], [13, 8, 15, 18], [20, 17], [22], [23, 21, 24]]
1: [[14, 12, 10], [3, 1, 9], [2, 5, 19, 6, 4], [7, 11, 16], [13, 8, 15, 18], [20, 17, 22], [23, 21, 24]]
2: [[14, 12, 10], [3, 1, 9], [2, 5], [19, 6, 4], [7, 11, 16], [13], [8, 15, 18], [20, 17], [22], [23, 21, 24]]
3: [[14, 12, 10], [3, 1, 9, 2], [5, 19, 6], [4, 7, 11, 16], [13, 8, 15], [18, 20, 17, 22], [23, 21, 24]]
4: [[14, 12, 10, 3], [1, 9, 2], [5, 19, 6], [4], [7, 11, 16], [13, 8], [15, 18, 20, 17], [22, 23, 21, 24]]
5: [[14, 12, 10, 3], [1, 9, 2], [5, 19, 6], [4, 7, 11], [16, 13, 8], [15, 18, 20, 17], [22], [23, 21, 24]]
6: [[14, 12, 10], [3, 1, 9, 2, 5], [19, 6, 4], [7, 11, 16], [13, 8, 15], [18, 20, 17], [22, 23, 21, 24]]
7: [[14, 12, 10, 3], [1, 9, 2], [5, 19, 6], [4, 7, 11], [16, 13, 8, 15], [18, 20, 17, 22], [23, 21, 24]]
8: [[14, 12], [10, 3, 1], [9, 2, 5], [19, 6, 4], [7, 11, 16], [13, 8, 15], [18, 20, 17, 22], [23, 21, 24]]
9: [[14, 12, 10, 3, 1, 9, 2, 5, 19, 6, 4, 7, 11, 16, 13, 8], [15], [18, 20, 17, 22], [23, 21, 24]]
10: [[14, 12], [10, 3, 1], [9, 2, 5], [19, 6, 4], [7, 11], [16, 13, 8, 15], [18, 20, 17], [22], [23, 21, 24]]
11: [[14, 12, 10], [3, 1, 9], [2, 5, 19], [6, 4], [7, 11, 16], [13, 8, 15], [18, 20, 17], [22, 23, 21, 24]]
12: [[14, 12, 10], [3, 1, 9], [2, 5, 19], [6, 4], [7, 11, 16], [13], [8, 15, 18], [20, 17], [22, 23, 21, 24]]
13: [[14, 12], [10, 3, 1], [9, 2, 5], [19, 6, 4], [7, 11, 16], [13, 8, 15], [18, 20, 17], [22, 23, 21, 24]]
14: [[14, 12, 10], [3, 1], [9], [2, 5, 19], [6, 4], [7, 11], [16, 13, 8, 15], [18, 20, 17, 22], [23, 21, 24]]
15: [[14, 12, 10, 3, 1, 9, 2, 5, 19, 6, 4, 7, 11], [16], [13, 8, 15], [18, 20, 17], [22, 23, 21, 24]]
16: [[14, 12, 10], [3, 1, 9], [2, 5, 19], [6, 4, 7, 11], [16, 13, 8, 15], [18, 20, 17], [22], [23, 21, 24]]
17: [[14, 12, 10], [3, 1, 9], [2, 5, 19, 6], [4, 7, 11], [16, 13, 8, 15], [18, 20, 17], [22], [23, 21, 24]]
18: [[14, 12, 10], [3, 1, 9], [2, 5, 19], [6, 4, 7], [11, 16, 13, 8], [15, 18, 20, 17], [22], [23, 21, 24]]
19: [[14, 12, 10], [3, 1, 9], [2, 5, 19], [6, 4, 7, 11], [16, 13, 8, 15], [18], [20, 17, 22], [23, 21, 24]]
20: [[14, 12, 10], [3, 1, 9, 2], [5, 19, 6], [4, 7, 11], [16, 13, 8], [15, 18, 20], [17, 22], [23, 21, 24]]
21: [[14, 12, 10, 3], [1, 9, 2], [5, 19, 6, 4], [7, 11, 16], [13, 8, 15, 18], [20, 17, 22, 23, 21, 24]]
22: [[14, 12, 10], [3, 1, 9], [2, 5, 19], [6, 4], [7, 11, 16], [13], [8, 15], [18, 20], [17], [22, 23, 21, 24]]
23: [[14, 12, 10], [3, 1, 9], [2, 5, 19], [6, 4, 7, 11], [16, 13, 8, 15], [18, 20], [17, 22], [23, 21, 24]]
24: [[14, 12, 10], [3, 1, 9], [2, 5], [19, 6], [4, 7, 11], [16, 13, 8], [15, 18], [20, 17], [22, 23, 21, 24]]
25: [[14], [12, 10], [3, 1], [9, 2, 5], [19, 6, 4], [7, 11, 16], [13, 8, 15], [18, 20], [17, 22], [23, 21, 24]]
26: [[14, 12, 10, 3], [1, 9, 2], [5, 19, 6, 4], [7, 11, 16], [13, 8, 15], [18, 20, 17, 22, 23, 21, 24]]
27: [[14, 12, 10], [3, 1, 9], [2, 5, 19], [6, 4, 7], [11], [16, 13, 8], [15, 18, 20, 17], [22, 23, 21, 24]]
28: [[14, 12], [10, 3, 1, 9], [2, 5, 19], [6, 4, 7, 11], [16, 13, 8], [15], [18, 20, 17], [22, 23, 21, 24]]
29: [[14, 12, 10], [3, 1, 9, 2], [5, 19, 6, 4], [7, 11], [16], [13, 8, 15], [18, 20, 17, 22, 23, 21, 24]]
30: [[14, 12, 10], [3, 1, 9], [2, 5, 19], [6, 4], [7, 11, 16], [13, 8, 15, 18], [20], [17, 22, 23], [21, 24]]
31: [[14, 12, 10], [3, 1, 9], [2, 5, 19], [6, 4, 7], [11, 16, 13], [8, 15, 18], [20, 17, 22, 23], [21, 24]]
32: [[14, 12, 10], [3, 1, 9], [2, 5, 19], [6, 4], [7, 11, 16], [13, 8, 15], [18, 20, 17, 22, 23, 21, 24]]
33: [[14, 12, 10], [3, 1], [9, 2], [5, 19, 6], [4, 7, 11, 16], [13, 8], [15], [18, 20, 17], [22, 23, 21], [24]]
34: [[14, 12, 10], [3, 1, 9, 2], [5, 19, 6], [4], [7, 11, 16], [13, 8, 15, 18, 20, 17, 22, 23, 21, 24]]
35: [[14, 12], [10, 3, 1], [9, 2], [5, 19, 6], [4, 7], [11, 16, 13], [8, 15, 18], [20, 17, 22], [23, 21], [24]]
36: [[14, 12, 10, 3], [1, 9, 2], [5, 19, 6, 4, 7, 11, 16, 13, 8, 15, 18, 20, 17, 22, 23, 21, 24]]
37: [[14, 12, 10], [3, 1, 9], [2, 5, 19], [6, 4, 7, 11, 16, 13, 8], [15, 18, 20, 17, 22, 23, 21, 24]]
38: [[14, 12, 10], [3, 1], [9, 2, 5], [19, 6, 4, 7], [11, 16], [13, 8, 15], [18, 20], [17], [22, 23, 21], [24]]
39: [[14], [12, 10, 3], [1, 9, 2, 5], [19, 6], [4], [7, 11, 16], [13, 8, 15, 18, 20, 17, 22, 23, 21, 24]]
