0: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
1: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
2: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
3: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
4: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
5: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
6: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
7: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
8: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
9: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
10: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
11: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
12: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
13: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
14: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
15: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
16: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
17: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
18: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
19: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
20: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
21: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
22: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
23: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
24: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
25: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
26: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
27: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
28: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
29: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
30: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
31: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
32: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
33: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
34: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
35: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
36: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
37: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
38: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
39: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
40: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
41: [[11, 12], [19, 20, 18, 17, 15], [2, 10, 3, 8, 5, 1, 9], [7, 4, 6, 13, 14, 16]]
