0: [[1, 3, 5, 2], [4, 6, 10, 8, 11, 9], [7, 13, 12]]
1: [[1, 3, 2, 5], [4, 6, 10, 8], [11, 9, 7, 13, 12]]
2: [[1, 3, 5, 2], [6, 10, 4], [8, 11], [9, 7, 13, 12]]
3: [[1, 3], [5, 6, 2], [10, 8, 4], [11, 9], [7, 13, 12]]
4: [[1, 3, 5, 2], [4, 6, 10, 8, 11], [9], [13, 12, 7]]
5: [[1, 3, 5, 4, 2], [6, 10, 8], [11, 9], [13, 12, 7]]
6: [[1, 3, 2, 5, 4], [6, 10, 8, 11], [9, 7, 13, 12]]
7: [[1, 3, 2, 5], [4, 6, 10], [8, 11, 9, 7, 13, 12]]
8: [[1, 3, 2, 5], [4, 6, 10], [8, 11, 9, 7, 13, 12]]
9: [[1, 3, 2, 5], [4, 6, 10], [8, 11, 9, 7, 13, 12]]
10: [[1, 3, 5, 2], [4, 10, 8, 6], [11], [9, 7, 13, 12]]
11: [[1, 3, 2], [5, 4, 6, 10, 8, 11, 9], [7, 13, 12]]
12: [[1, 3, 2], [5, 4, 6, 10, 8, 11, 9], [7, 13, 12]]
13: [[1, 3, 2], [5, 4, 6, 10, 8, 11, 9], [7, 13, 12]]
14: [[1, 3], [5, 2], [4, 6, 10, 8, 11], [9], [7, 13, 12]]
15: [[1, 3, 5, 4, 6, 2], [10, 8], [11, 9], [7, 13, 12]]
16: [[1, 3], [2, 5], [4, 6, 10], [8, 11, 9, 7, 13, 12]]
17: [[1, 3, 5, 4, 2], [6, 10, 8, 11], [9, 13, 7], [12]]
18: [[1, 3], [5, 2], [4, 6, 10, 8], [11, 9, 7], [13, 12]]
19: [[1, 3], [2, 5, 4], [6, 10, 8, 11], [9, 7, 13, 12]]
20: [[1, 3], [2, 5], [4, 6], [10, 8, 11, 9], [7, 13, 12]]
21: [[1, 3], [5, 4, 6, 2], [10, 8, 11, 9], [13, 12, 7]]
22: [[1, 3], [5, 4, 6, 2], [10, 8, 11, 9], [13, 12, 7]]
23: [[1, 3, 2], [5, 6, 10, 4], [8, 11], [9, 7, 13, 12]]
24: [[1, 3], [2, 5, 4, 6, 10, 8, 11, 9, 7, 13], [12]]
25: [[1, 3, 5, 2], [4, 6], [10, 8, 11, 9, 7], [13, 12]]
26: [[1, 3], [2, 5], [4, 6], [10, 8], [11, 9, 7, 13, 12]]
27: [[1], [3, 2, 5, 4, 6, 10, 8, 11, 9, 7, 13, 12]]
