0: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
1: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
2: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
3: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
4: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
5: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
6: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
7: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
8: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
9: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
10: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
11: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
12: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
13: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
14: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
15: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
16: [[13], [8, 25], [3, 20], [23, 11, 4, 12, 22], [15, 17, 2, 1], [9, 5, 6, 7, 10, 14], [18, 19, 16], [24, 28], [21, 27, 26, 29]]
